task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
bbbp,classification,53,1,1,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7431370457293224,0.11444199993275106
bbbp,classification,53,1,2,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8279578672327917,0.12123719998635352
bbbp,classification,53,1,3,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7679447852760736,0.09285350004211068
bbbp,classification,53,1,1,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8821385392219615,0.17090309993363917
bbbp,classification,53,1,2,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.9060722353773712,0.16053779993671924
bbbp,classification,53,1,3,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8808410020449898,0.16548200009856373
bbbp,classification,53,1,1,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8276971765877248,0.10871209995821118
bbbp,classification,53,1,2,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8843798481260717,0.10361260001081973
bbbp,classification,53,1,3,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8913343558282208,0.1110493999440223
bbbp,classification,53,1,1,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.7849726193016144,0.03780879999976605
bbbp,classification,53,1,2,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.872703519229199,0.033735099947080016
bbbp,classification,53,1,3,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8216513292433536,0.03522200009319931
bbbp,classification,53,1,1,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9009672142806343,0.15274669998325408
bbbp,classification,53,1,2,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9306769004654201,0.16148540005087852
bbbp,classification,53,1,3,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9264698364008179,0.16206110001076013
bbbp,classification,53,1,1,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.897802432259441,0.06436979991849512
bbbp,classification,53,1,2,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.9164149043303123,0.05495170003268868
bbbp,classification,53,1,3,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.9033614519427403,0.055454200017265975
bbbp,classification,53,1,1,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8584204537372876,0.054336899891495705
bbbp,classification,53,1,2,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8933616395852045,0.05237189994659275
bbbp,classification,53,1,3,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8839468302658486,0.037798200035467744
