task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
bbbp,classification,53,1,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1301,738,0.7475405092592593,0.2010830999352038,0.7475405092592593,0.8960232055819468,
bbbp,classification,53,1,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1301,738,0.826383530521262,0.18663219991140068,0.826383530521262,0.9376325834799899,
bbbp,classification,53,1,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1301,738,0.8261370456104253,0.1150154999922961,0.8261370456104253,0.9360824051235532,
bbbp,classification,53,1,stratified_scaffold_group,4,maccs__linear,maccs,linear,1301,738,0.8174672067901234,0.05434060003608465,0.8174672067901234,0.9295788570387514,
bbbp,classification,53,1,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1301,738,0.8605699159807956,0.1740829999325797,0.8605699159807956,0.9536758777558744,
bbbp,classification,53,1,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1301,738,0.8565297067901236,0.07671960000880063,0.8565297067901236,0.9492830278374074,
bbbp,classification,53,1,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1301,738,0.8228523662551441,0.08630040008574724,0.8228523662551441,0.9300434130800678,
bbbp,classification,53,1,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1301,738,0.8590106310013716,0.1878132000565529,0.8590106310013716,0.9515783209045046,
bbbp,classification,53,1,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1301,738,0.8586462620027435,0.20801950001623482,0.8586462620027435,0.9514560019908106,
bbbp,classification,53,1,stratified_scaffold_group,10,multiview__linear,multiview,linear,1301,738,0.8083954903978052,0.44646520004607737,0.8083954903978052,0.9180445599667337,
bbbp,classification,53,1,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1301,738,0.8584158521947874,0.23990219994448125,0.8584158521947874,0.9536423724571889,
bbbp,classification,53,1,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1301,738,0.8597822359396434,0.3994585999753326,0.8597822359396434,0.9430874906300482,
bbbp,classification,53,2,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1436,603,0.7925330678424121,0.23719940008595586,0.7925330678424121,0.8982739000235315,
bbbp,classification,53,2,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1436,603,0.9109017209500784,0.1896588000236079,0.9109017209500784,0.9629276002905625,
bbbp,classification,53,2,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1436,603,0.8899587540890344,0.13010000006761402,0.8899587540890344,0.9495898335900235,
bbbp,classification,53,2,stratified_scaffold_group,4,maccs__linear,maccs,linear,1436,603,0.8339283174512871,0.06402420008089393,0.8339283174512871,0.9260573562485042,
bbbp,classification,53,2,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1436,603,0.9050561797752809,0.1739480000687763,0.9050561797752809,0.9587763665084093,
bbbp,classification,53,2,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1436,603,0.8885151472052341,0.06366670003626496,0.8885151472052341,0.9491310335202823,
bbbp,classification,53,2,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1436,603,0.8424619542028161,0.09758980001788586,0.8424619542028161,0.9191792091298873,
bbbp,classification,53,2,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1436,603,0.9174868439766747,0.1871277999598533,0.9174868439766747,0.9624959896473042,
bbbp,classification,53,2,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1436,603,0.9046508320295833,0.18197879998479038,0.9046508320295833,0.9582813210894375,
bbbp,classification,53,2,stratified_scaffold_group,10,multiview__linear,multiview,linear,1436,603,0.8366733039396956,0.5232545000035316,0.8366733039396956,0.9169952820885069,
bbbp,classification,53,2,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1436,603,0.9267813966718816,0.2416282999329269,0.9267813966718816,0.9688188107840484,
bbbp,classification,53,2,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1436,603,0.9079220594510027,0.4287860000040382,0.9079220594510027,0.9616087624890584,
bbbp,classification,53,3,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1341,698,0.8135202623073242,0.18480859999544919,0.8135202623073242,0.9161394229102496,
bbbp,classification,53,3,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1341,698,0.8561802079322295,0.19350930000655353,0.8561802079322295,0.9370363710122922,
bbbp,classification,53,3,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1341,698,0.8571370229052171,0.11568339995574206,0.8571370229052171,0.9443575383393373,
bbbp,classification,53,3,stratified_scaffold_group,4,maccs__linear,maccs,linear,1341,698,0.8451651672675932,0.05792189994826913,0.8451651672675932,0.9234001351858925,
bbbp,classification,53,3,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1341,698,0.9165295620821228,0.16280209994874895,0.9165295620821228,0.9681453710747336,
bbbp,classification,53,3,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1341,698,0.9066346950443985,0.07205790001899004,0.9066346950443985,0.9641083375233169,
bbbp,classification,53,3,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1341,698,0.8920432667063395,0.10291759995743632,0.8920432667063395,0.9462365122329828,
bbbp,classification,53,3,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1341,698,0.9141083534614531,0.18298479996155947,0.9141083534614531,0.956627032272663,
