task,task_type,seed,outer_fold,variant,candidate_count,policy,selected_candidate,selected_representation,selected_family,outer_utility,oracle_candidate,oracle_utility,raw_regret,normalized_regret
bbbp,classification,53,1,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.826383530521262,maccs__random_forest,0.8605699159807956,0.034186385459533564,0.30245567459941197
bbbp,classification,53,1,full_multiview,12,validation_best,multiview__random_forest,multiview,random_forest,0.8584158521947874,maccs__random_forest,0.8605699159807956,0.0021540637860081313,0.01905755191049501
bbbp,classification,53,1,full_multiview,12,one_se_stable,multiview__random_forest,multiview,random_forest,0.8584158521947874,maccs__random_forest,0.8605699159807956,0.0021540637860081313,0.01905755191049501
bbbp,classification,53,1,full_multiview,12,risk_adjusted,multiview__random_forest,multiview,random_forest,0.8584158521947874,maccs__random_forest,0.8605699159807956,0.0021540637860081313,0.01905755191049501
bbbp,classification,53,1,full_multiview,12,test_oracle,maccs__random_forest,maccs,random_forest,0.8605699159807956,maccs__random_forest,0.8605699159807956,0.0,0.0
bbbp,classification,53,1,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.826383530521262,morgan512__random_forest,0.826383530521262,0.0,0.0
bbbp,classification,53,1,morgan_only,3,validation_best,morgan512__random_forest,morgan512,random_forest,0.826383530521262,morgan512__random_forest,0.826383530521262,0.0,0.0
bbbp,classification,53,1,morgan_only,3,one_se_stable,morgan512__random_forest,morgan512,random_forest,0.826383530521262,morgan512__random_forest,0.826383530521262,0.0,0.0
bbbp,classification,53,1,morgan_only,3,risk_adjusted,morgan512__random_forest,morgan512,random_forest,0.826383530521262,morgan512__random_forest,0.826383530521262,0.0,0.0
bbbp,classification,53,1,morgan_only,3,test_oracle,morgan512__random_forest,morgan512,random_forest,0.826383530521262,morgan512__random_forest,0.826383530521262,0.0,0.0
bbbp,classification,53,1,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.826383530521262,maccs__random_forest,0.8605699159807956,0.034186385459533564,0.30245567459941197
bbbp,classification,53,1,fingerprints_only,6,validation_best,maccs__random_forest,maccs,random_forest,0.8605699159807956,maccs__random_forest,0.8605699159807956,0.0,0.0
bbbp,classification,53,1,fingerprints_only,6,one_se_stable,maccs__random_forest,maccs,random_forest,0.8605699159807956,maccs__random_forest,0.8605699159807956,0.0,0.0
bbbp,classification,53,1,fingerprints_only,6,risk_adjusted,maccs__random_forest,maccs,random_forest,0.8605699159807956,maccs__random_forest,0.8605699159807956,0.0,0.0
bbbp,classification,53,1,fingerprints_only,6,test_oracle,maccs__random_forest,maccs,random_forest,0.8605699159807956,maccs__random_forest,0.8605699159807956,0.0,0.0
bbbp,classification,53,1,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.826383530521262,maccs__random_forest,0.8605699159807956,0.034186385459533564,0.30245567459941197
bbbp,classification,53,1,no_multiview_concat,9,validation_best,maccs__random_forest,maccs,random_forest,0.8605699159807956,maccs__random_forest,0.8605699159807956,0.0,0.0
bbbp,classification,53,1,no_multiview_concat,9,one_se_stable,rdkit2d__lightgbm,rdkit2d,lightgbm,0.8586462620027435,maccs__random_forest,0.8605699159807956,0.0019236539780520534,0.017019057551909862
bbbp,classification,53,1,no_multiview_concat,9,risk_adjusted,maccs__random_forest,maccs,random_forest,0.8605699159807956,maccs__random_forest,0.8605699159807956,0.0,0.0
bbbp,classification,53,1,no_multiview_concat,9,test_oracle,maccs__random_forest,maccs,random_forest,0.8605699159807956,maccs__random_forest,0.8605699159807956,0.0,0.0
bbbp,classification,53,2,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9109017209500784,multiview__random_forest,0.9267813966718816,0.015879675721803266,0.11828583536391428
bbbp,classification,53,2,full_multiview,12,validation_best,multiview__random_forest,multiview,random_forest,0.9267813966718816,multiview__random_forest,0.9267813966718816,0.0,0.0
bbbp,classification,53,2,full_multiview,12,one_se_stable,maccs__random_forest,maccs,random_forest,0.9050561797752809,multiview__random_forest,0.9267813966718816,0.021725216896600785,0.1618285835363916
bbbp,classification,53,2,full_multiview,12,risk_adjusted,multiview__random_forest,multiview,random_forest,0.9267813966718816,multiview__random_forest,0.9267813966718816,0.0,0.0
bbbp,classification,53,2,full_multiview,12,test_oracle,multiview__random_forest,multiview,random_forest,0.9267813966718816,multiview__random_forest,0.9267813966718816,0.0,0.0
bbbp,classification,53,2,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9109017209500784,morgan512__random_forest,0.9109017209500784,0.0,0.0
bbbp,classification,53,2,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,0.8899587540890344,morgan512__random_forest,0.9109017209500784,0.02094296686104402,0.17693000901171546
bbbp,classification,53,2,morgan_only,3,one_se_stable,morgan512__random_forest,morgan512,random_forest,0.9109017209500784,morgan512__random_forest,0.9109017209500784,0.0,0.0
bbbp,classification,53,2,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,0.8899587540890344,morgan512__random_forest,0.9109017209500784,0.02094296686104402,0.17693000901171546
bbbp,classification,53,2,morgan_only,3,test_oracle,morgan512__random_forest,morgan512,random_forest,0.9109017209500784,morgan512__random_forest,0.9109017209500784,0.0,0.0
bbbp,classification,53,2,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9109017209500784,morgan512__random_forest,0.9109017209500784,0.0,0.0
bbbp,classification,53,2,fingerprints_only,6,validation_best,maccs__random_forest,maccs,random_forest,0.9050561797752809,morgan512__random_forest,0.9109017209500784,0.0058455411747975194,0.04938419945929861
bbbp,classification,53,2,fingerprints_only,6,one_se_stable,maccs__random_forest,maccs,random_forest,0.9050561797752809,morgan512__random_forest,0.9109017209500784,0.0058455411747975194,0.04938419945929861
bbbp,classification,53,2,fingerprints_only,6,risk_adjusted,maccs__random_forest,maccs,random_forest,0.9050561797752809,morgan512__random_forest,0.9109017209500784,0.0058455411747975194,0.04938419945929861
bbbp,classification,53,2,fingerprints_only,6,test_oracle,morgan512__random_forest,morgan512,random_forest,0.9109017209500784,morgan512__random_forest,0.9109017209500784,0.0,0.0
bbbp,classification,53,2,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9109017209500784,rdkit2d__random_forest,0.9174868439766747,0.006585123026596307,0.0527004723692432
bbbp,classification,53,2,no_multiview_concat,9,validation_best,rdkit2d__random_forest,rdkit2d,random_forest,0.9174868439766747,rdkit2d__random_forest,0.9174868439766747,0.0,0.0
bbbp,classification,53,2,no_multiview_concat,9,one_se_stable,maccs__random_forest,maccs,random_forest,0.9050561797752809,rdkit2d__random_forest,0.9174868439766747,0.012430664201393826,0.09948210118945984
bbbp,classification,53,2,no_multiview_concat,9,risk_adjusted,rdkit2d__random_forest,rdkit2d,random_forest,0.9174868439766747,rdkit2d__random_forest,0.9174868439766747,0.0,0.0
bbbp,classification,53,2,no_multiview_concat,9,test_oracle,rdkit2d__random_forest,rdkit2d,random_forest,0.9174868439766747,rdkit2d__random_forest,0.9174868439766747,0.0,0.0
bbbp,classification,53,3,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8561802079322295,multiview__random_forest,0.9210802674414533,0.06490005950922384,0.6033846821436313
bbbp,classification,53,3,full_multiview,12,validation_best,multiview__random_forest,multiview,random_forest,0.9210802674414533,multiview__random_forest,0.9210802674414533,0.0,0.0
bbbp,classification,53,3,full_multiview,12,one_se_stable,multiview__lightgbm,multiview,lightgbm,0.9135249296974364,multiview__random_forest,0.9210802674414533,0.0075553377440169545,0.07024300282056814
