task,task_type,seed,outer_fold,variant,candidate_count,oracle_validation_rank,top3_hit,chance_adjusted_hit,mrr,spearman
clintox,classification,11,1,full_multiview,12,1,1.0,1.0,1.0,0.8671328671328673
clintox,classification,11,1,morgan_only,3,2,1.0,0.0,0.5,0.5
clintox,classification,11,1,fingerprints_only,6,1,1.0,1.0,1.0,0.8285714285714287
clintox,classification,11,1,no_multiview_concat,9,2,1.0,1.0,0.5,0.75
clintox,classification,11,2,full_multiview,12,1,1.0,1.0,1.0,0.8811188811188813
clintox,classification,11,2,morgan_only,3,2,1.0,0.0,0.5,0.5
clintox,classification,11,2,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
clintox,classification,11,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.9166666666666666
clintox,classification,11,3,full_multiview,12,1,1.0,1.0,1.0,0.9300699300699302
clintox,classification,11,3,morgan_only,3,1,1.0,0.0,1.0,1.0
clintox,classification,11,3,fingerprints_only,6,1,1.0,1.0,1.0,1.0
clintox,classification,11,3,no_multiview_concat,9,1,1.0,1.0,1.0,0.9
