task,task_type,seed,outer_fold,variant,candidate_count,policy,selected_candidate,selected_representation,selected_family,outer_utility,oracle_candidate,oracle_utility,raw_regret,normalized_regret
clintox,classification,53,1,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8529502625888167,multiview__lightgbm,0.9212542477602719,0.0683039851714552,0.4014890139822055
clintox,classification,53,1,full_multiview,12,validation_best,multiview__lightgbm,multiview,lightgbm,0.9212542477602719,multiview__lightgbm,0.9212542477602719,0.0,0.0
clintox,classification,53,1,full_multiview,12,one_se_stable,maccs__lightgbm,maccs,lightgbm,0.9102564102564102,multiview__lightgbm,0.9212542477602719,0.01099783750386163,0.06464499727619413
clintox,classification,53,1,full_multiview,12,risk_adjusted,multiview__lightgbm,multiview,lightgbm,0.9212542477602719,multiview__lightgbm,0.9212542477602719,0.0,0.0
clintox,classification,53,1,full_multiview,12,test_oracle,multiview__lightgbm,multiview,lightgbm,0.9212542477602719,multiview__lightgbm,0.9212542477602719,0.0,0.0
clintox,classification,53,1,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8529502625888167,morgan512__lightgbm,0.8746370095767687,0.021686746987952032,0.17558779389695028
clintox,classification,53,1,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,0.8746370095767687,morgan512__lightgbm,0.8746370095767687,0.0,0.0
clintox,classification,53,1,morgan_only,3,one_se_stable,morgan512__random_forest,morgan512,random_forest,0.8529502625888167,morgan512__lightgbm,0.8746370095767687,0.021686746987952032,0.17558779389695028
clintox,classification,53,1,morgan_only,3,risk_adjusted,morgan512__random_forest,morgan512,random_forest,0.8529502625888167,morgan512__lightgbm,0.8746370095767687,0.021686746987952032,0.17558779389695028
clintox,classification,53,1,morgan_only,3,test_oracle,morgan512__lightgbm,morgan512,lightgbm,0.8746370095767687,morgan512__lightgbm,0.8746370095767687,0.0,0.0
clintox,classification,53,1,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8529502625888167,maccs__random_forest,0.9102873030583873,0.057337040469570666,0.36024844720496974
clintox,classification,53,1,fingerprints_only,6,validation_best,maccs__lightgbm,maccs,lightgbm,0.9102564102564102,maccs__random_forest,0.9102873030583873,3.0892801977100426e-05,0.00019409937888174332
clintox,classification,53,1,fingerprints_only,6,one_se_stable,maccs__lightgbm,maccs,lightgbm,0.9102564102564102,maccs__random_forest,0.9102873030583873,3.0892801977100426e-05,0.00019409937888174332
clintox,classification,53,1,fingerprints_only,6,risk_adjusted,maccs__lightgbm,maccs,lightgbm,0.9102564102564102,maccs__random_forest,0.9102873030583873,3.0892801977100426e-05,0.00019409937888174332
clintox,classification,53,1,fingerprints_only,6,test_oracle,maccs__random_forest,maccs,random_forest,0.9102873030583873,maccs__random_forest,0.9102873030583873,0.0,0.0
clintox,classification,53,1,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8529502625888167,maccs__random_forest,0.9102873030583873,0.057337040469570666,0.36024844720496974
clintox,classification,53,1,no_multiview_concat,9,validation_best,maccs__lightgbm,maccs,lightgbm,0.9102564102564102,maccs__random_forest,0.9102873030583873,3.0892801977100426e-05,0.00019409937888174332
clintox,classification,53,1,no_multiview_concat,9,one_se_stable,maccs__lightgbm,maccs,lightgbm,0.9102564102564102,maccs__random_forest,0.9102873030583873,3.0892801977100426e-05,0.00019409937888174332
clintox,classification,53,1,no_multiview_concat,9,risk_adjusted,maccs__lightgbm,maccs,lightgbm,0.9102564102564102,maccs__random_forest,0.9102873030583873,3.0892801977100426e-05,0.00019409937888174332
clintox,classification,53,1,no_multiview_concat,9,test_oracle,maccs__random_forest,maccs,random_forest,0.9102873030583873,maccs__random_forest,0.9102873030583873,0.0,0.0
clintox,classification,53,2,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8352814643451438,multiview__lightgbm,0.9452088152928284,0.10992735094768458,0.4828846496701729
clintox,classification,53,2,full_multiview,12,validation_best,multiview__lightgbm,multiview,lightgbm,0.9452088152928284,multiview__lightgbm,0.9452088152928284,0.0,0.0
clintox,classification,53,2,full_multiview,12,one_se_stable,multiview__lightgbm,multiview,lightgbm,0.9452088152928284,multiview__lightgbm,0.9452088152928284,0.0,0.0
clintox,classification,53,2,full_multiview,12,risk_adjusted,multiview__lightgbm,multiview,lightgbm,0.9452088152928284,multiview__lightgbm,0.9452088152928284,0.0,0.0
clintox,classification,53,2,full_multiview,12,test_oracle,multiview__lightgbm,multiview,lightgbm,0.9452088152928284,multiview__lightgbm,0.9452088152928284,0.0,0.0
clintox,classification,53,2,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8352814643451438,morgan512__random_forest,0.8352814643451438,0.0,0.0
clintox,classification,53,2,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,0.8268598563253379,morgan512__random_forest,0.8352814643451438,0.00842160801980596,0.0715393897603858
clintox,classification,53,2,morgan_only,3,one_se_stable,morgan512__random_forest,morgan512,random_forest,0.8352814643451438,morgan512__random_forest,0.8352814643451438,0.0,0.0
clintox,classification,53,2,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,0.8268598563253379,morgan512__random_forest,0.8352814643451438,0.00842160801980596,0.0715393897603858
clintox,classification,53,2,morgan_only,3,test_oracle,morgan512__random_forest,morgan512,random_forest,0.8352814643451438,morgan512__random_forest,0.8352814643451438,0.0,0.0
clintox,classification,53,2,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8352814643451438,maccs__lightgbm,0.9149316124842729,0.07965014813912907,0.4035574748097883
clintox,classification,53,2,fingerprints_only,6,validation_best,maccs__lightgbm,maccs,lightgbm,0.9149316124842729,maccs__lightgbm,0.9149316124842729,0.0,0.0
clintox,classification,53,2,fingerprints_only,6,one_se_stable,maccs__lightgbm,maccs,lightgbm,0.9149316124842729,maccs__lightgbm,0.9149316124842729,0.0,0.0
clintox,classification,53,2,fingerprints_only,6,risk_adjusted,maccs__lightgbm,maccs,lightgbm,0.9149316124842729,maccs__lightgbm,0.9149316124842729,0.0,0.0
clintox,classification,53,2,fingerprints_only,6,test_oracle,maccs__lightgbm,maccs,lightgbm,0.9149316124842729,maccs__lightgbm,0.9149316124842729,0.0,0.0
clintox,classification,53,2,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8352814643451438,rdkit2d__lightgbm,0.9192743211981006,0.08399285685295677,0.4163983903420525
clintox,classification,53,2,no_multiview_concat,9,validation_best,maccs__lightgbm,maccs,lightgbm,0.9149316124842729,rdkit2d__lightgbm,0.9192743211981006,0.004342708713827692,0.021529175050301903
clintox,classification,53,2,no_multiview_concat,9,one_se_stable,maccs__lightgbm,maccs,lightgbm,0.9149316124842729,rdkit2d__lightgbm,0.9192743211981006,0.004342708713827692,0.021529175050301903
clintox,classification,53,2,no_multiview_concat,9,risk_adjusted,maccs__lightgbm,maccs,lightgbm,0.9149316124842729,rdkit2d__lightgbm,0.9192743211981006,0.004342708713827692,0.021529175050301903
clintox,classification,53,2,no_multiview_concat,9,test_oracle,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9192743211981006,rdkit2d__lightgbm,0.9192743211981006,0.0,0.0
clintox,classification,53,3,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.7910964912280701,multiview__lightgbm,0.8999999999999999,0.10890350877192978,0.44916787264833563
clintox,classification,53,3,full_multiview,12,validation_best,maccs__lightgbm,maccs,lightgbm,0.8395614035087718,multiview__lightgbm,0.8999999999999999,0.06043859649122807,0.24927641099855286
clintox,classification,53,3,full_multiview,12,one_se_stable,multiview__lightgbm,multiview,lightgbm,0.8999999999999999,multiview__lightgbm,0.8999999999999999,0.0,0.0
clintox,classification,53,3,full_multiview,12,risk_adjusted,maccs__lightgbm,maccs,lightgbm,0.8395614035087718,multiview__lightgbm,0.8999999999999999,0.06043859649122807,0.24927641099855286
clintox,classification,53,3,full_multiview,12,test_oracle,multiview__lightgbm,multiview,lightgbm,0.8999999999999999,multiview__lightgbm,0.8999999999999999,0.0,0.0
clintox,classification,53,3,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.7910964912280701,morgan512__random_forest,0.7910964912280701,0.0,0.0
clintox,classification,53,3,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,0.7910087719298246,morgan512__random_forest,0.7910964912280701,8.7719298245581e-05,0.0008389261744963281
clintox,classification,53,3,morgan_only,3,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,0.7910087719298246,morgan512__random_forest,0.7910964912280701,8.7719298245581e-05,0.0008389261744963281
clintox,classification,53,3,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,0.7910087719298246,morgan512__random_forest,0.7910964912280701,8.7719298245581e-05,0.0008389261744963281
clintox,classification,53,3,morgan_only,3,test_oracle,morgan512__random_forest,morgan512,random_forest,0.7910964912280701,morgan512__random_forest,0.7910964912280701,0.0,0.0
clintox,classification,53,3,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.7910964912280701,maccs__lightgbm,0.8395614035087718,0.04846491228070171,0.2842809364548493
clintox,classification,53,3,fingerprints_only,6,validation_best,maccs__lightgbm,maccs,lightgbm,0.8395614035087718,maccs__lightgbm,0.8395614035087718,0.0,0.0
clintox,classification,53,3,fingerprints_only,6,one_se_stable,maccs__lightgbm,maccs,lightgbm,0.8395614035087718,maccs__lightgbm,0.8395614035087718,0.0,0.0
clintox,classification,53,3,fingerprints_only,6,risk_adjusted,maccs__lightgbm,maccs,lightgbm,0.8395614035087718,maccs__lightgbm,0.8395614035087718,0.0,0.0
clintox,classification,53,3,fingerprints_only,6,test_oracle,maccs__lightgbm,maccs,lightgbm,0.8395614035087718,maccs__lightgbm,0.8395614035087718,0.0,0.0
clintox,classification,53,3,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.7910964912280701,rdkit2d__random_forest,0.8482456140350877,0.05714912280701756,0.31897184822521424
clintox,classification,53,3,no_multiview_concat,9,validation_best,maccs__lightgbm,maccs,lightgbm,0.8395614035087718,rdkit2d__random_forest,0.8482456140350877,0.00868421052631585,0.04847001223990241
clintox,classification,53,3,no_multiview_concat,9,one_se_stable,maccs__lightgbm,maccs,lightgbm,0.8395614035087718,rdkit2d__random_forest,0.8482456140350877,0.00868421052631585,0.04847001223990241
clintox,classification,53,3,no_multiview_concat,9,risk_adjusted,maccs__lightgbm,maccs,lightgbm,0.8395614035087718,rdkit2d__random_forest,0.8482456140350877,0.00868421052631585,0.04847001223990241
clintox,classification,53,3,no_multiview_concat,9,test_oracle,rdkit2d__random_forest,rdkit2d,random_forest,0.8482456140350877,rdkit2d__random_forest,0.8482456140350877,0.0,0.0
