task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
clintox,classification,71,1,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1066,414,0.7467287866772404,0.19141159998252988,0.7467287866772404,0.28746312275600217,
clintox,classification,71,1,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1066,414,0.8322759714512292,0.16867959999945015,0.8322759714512292,0.33272045357277125,
clintox,classification,71,1,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1066,414,0.8256344171292624,0.12189279997255653,0.8256344171292624,0.347469745806597,
clintox,classification,71,1,stratified_scaffold_group,4,maccs__linear,maccs,linear,1066,414,0.7993655828707376,0.0640373999485746,0.7993655828707376,0.2846548094339802,
clintox,classification,71,1,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1066,414,0.8730174464710547,0.1731294000055641,0.8730174464710547,0.40173709934716,
clintox,classification,71,1,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1066,414,0.8899187153053133,0.05358489998616278,0.8899187153053133,0.5822735891678399,
clintox,classification,71,1,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1066,414,0.8211736716891356,0.08675239991862327,0.8211736716891356,0.25641977447618225,
clintox,classification,71,1,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1066,414,0.8875892149088026,0.17596579995006323,0.8875892149088026,0.37805100528576063,
clintox,classification,71,1,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1066,414,0.8891256938937352,0.16147910000290722,0.8891256938937352,0.44543332374609673,
clintox,classification,71,1,stratified_scaffold_group,10,multiview__linear,multiview,linear,1066,414,0.8240483743061062,0.38413979997858405,0.8240483743061062,0.39133661975922823,
clintox,classification,71,1,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1066,414,0.8984932593180016,0.21057909994851798,0.8984932593180016,0.43719977660699677,
clintox,classification,71,1,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1066,414,0.8803033306899287,0.3414585000136867,0.8803033306899287,0.5107638251256276,
clintox,classification,71,2,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,905,575,0.7267085751128304,0.1192111000418663,0.7267085751128304,0.32213050914835095,
clintox,classification,71,2,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,905,575,0.8208816892327531,0.1695365000050515,0.8208816892327531,0.3597243206979858,
clintox,classification,71,2,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,905,575,0.803755641521599,0.11313930002506822,0.803755641521599,0.36182022186595997,
clintox,classification,71,2,stratified_scaffold_group,4,maccs__linear,maccs,linear,905,575,0.8200757575757576,0.04705999989528209,0.8200757575757576,0.3919165005636416,
clintox,classification,71,2,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,905,575,0.8638982914248874,0.16163500002585351,0.8638982914248874,0.3837791810626078,
clintox,classification,71,2,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,905,575,0.9000644745325597,0.05099939997307956,0.9000644745325597,0.5225185128013683,
clintox,classification,71,2,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,905,575,0.8170132172791749,0.06768269999884069,0.8170132172791749,0.45111305656411405,
clintox,classification,71,2,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,905,575,0.8548718568665378,0.17027329991105944,0.8548718568665378,0.4321795927973584,
clintox,classification,71,2,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,905,575,0.8724613152804642,0.15427149995230138,0.8724613152804642,0.4575036789295855,
clintox,classification,71,2,stratified_scaffold_group,10,multiview__linear,multiview,linear,905,575,0.7664410058027079,0.25238820002414286,0.7664410058027079,0.39034096188136114,
clintox,classification,71,2,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,905,575,0.8567657962604771,0.19385109993163496,0.8567657962604771,0.49488644178690866,
clintox,classification,71,2,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,905,575,0.9111460348162476,0.3301875999895856,0.9111460348162476,0.5527484394239747,
clintox,classification,71,3,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,989,491,0.7510494667574313,0.15504410001449287,0.7510494667574313,0.27916473069887193,
clintox,classification,71,3,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,989,491,0.8255048786022238,0.1807748000137508,0.8255048786022238,0.35131776839923046,
clintox,classification,71,3,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,989,491,0.8342409802586793,0.1301067000022158,0.8342409802586793,0.4200266773527368,
clintox,classification,71,3,stratified_scaffold_group,4,maccs__linear,maccs,linear,989,491,0.8194066258225551,0.05470550002064556,0.8194066258225551,0.3347278677477954,
clintox,classification,71,3,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,989,491,0.8765316541865215,0.16382580006029457,0.8765316541865215,0.45410885705953974,
clintox,classification,71,3,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,989,491,0.9141139096891309,0.05728199996519834,0.9141139096891309,0.5117498290360725,
