task,task_type,seed,outer_fold,variant,candidate_count,policy,selected_candidate,selected_representation,selected_family,outer_utility,oracle_candidate,oracle_utility,raw_regret,normalized_regret
clintox,classification,71,1,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8322759714512292,multiview__random_forest,0.8984932593180016,0.06621728786677239,0.43631613324624446
clintox,classification,71,1,full_multiview,12,validation_best,multiview__lightgbm,multiview,lightgbm,0.8803033306899287,multiview__random_forest,0.8984932593180016,0.018189928628072893,0.1198563030698886
clintox,classification,71,1,full_multiview,12,one_se_stable,multiview__lightgbm,multiview,lightgbm,0.8803033306899287,multiview__random_forest,0.8984932593180016,0.018189928628072893,0.1198563030698886
clintox,classification,71,1,full_multiview,12,risk_adjusted,multiview__lightgbm,multiview,lightgbm,0.8803033306899287,multiview__random_forest,0.8984932593180016,0.018189928628072893,0.1198563030698886
clintox,classification,71,1,full_multiview,12,test_oracle,multiview__random_forest,multiview,random_forest,0.8984932593180016,multiview__random_forest,0.8984932593180016,0.0,0.0
clintox,classification,71,1,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8322759714512292,morgan512__random_forest,0.8322759714512292,0.0,0.0
clintox,classification,71,1,morgan_only,3,validation_best,morgan512__random_forest,morgan512,random_forest,0.8322759714512292,morgan512__random_forest,0.8322759714512292,0.0,0.0
clintox,classification,71,1,morgan_only,3,one_se_stable,morgan512__random_forest,morgan512,random_forest,0.8322759714512292,morgan512__random_forest,0.8322759714512292,0.0,0.0
clintox,classification,71,1,morgan_only,3,risk_adjusted,morgan512__random_forest,morgan512,random_forest,0.8322759714512292,morgan512__random_forest,0.8322759714512292,0.0,0.0
clintox,classification,71,1,morgan_only,3,test_oracle,morgan512__random_forest,morgan512,random_forest,0.8322759714512292,morgan512__random_forest,0.8322759714512292,0.0,0.0
clintox,classification,71,1,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8322759714512292,maccs__lightgbm,0.8899187153053133,0.05764274385408408,0.4025614399446178
clintox,classification,71,1,fingerprints_only,6,validation_best,maccs__lightgbm,maccs,lightgbm,0.8899187153053133,maccs__lightgbm,0.8899187153053133,0.0,0.0
clintox,classification,71,1,fingerprints_only,6,one_se_stable,maccs__lightgbm,maccs,lightgbm,0.8899187153053133,maccs__lightgbm,0.8899187153053133,0.0,0.0
clintox,classification,71,1,fingerprints_only,6,risk_adjusted,maccs__lightgbm,maccs,lightgbm,0.8899187153053133,maccs__lightgbm,0.8899187153053133,0.0,0.0
clintox,classification,71,1,fingerprints_only,6,test_oracle,maccs__lightgbm,maccs,lightgbm,0.8899187153053133,maccs__lightgbm,0.8899187153053133,0.0,0.0
clintox,classification,71,1,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8322759714512292,maccs__lightgbm,0.8899187153053133,0.05764274385408408,0.4025614399446178
clintox,classification,71,1,no_multiview_concat,9,validation_best,maccs__lightgbm,maccs,lightgbm,0.8899187153053133,maccs__lightgbm,0.8899187153053133,0.0,0.0
clintox,classification,71,1,no_multiview_concat,9,one_se_stable,rdkit2d__lightgbm,rdkit2d,lightgbm,0.8891256938937352,maccs__lightgbm,0.8899187153053133,0.0007930214115781098,0.005538248528902718
clintox,classification,71,1,no_multiview_concat,9,risk_adjusted,maccs__lightgbm,maccs,lightgbm,0.8899187153053133,maccs__lightgbm,0.8899187153053133,0.0,0.0
clintox,classification,71,1,no_multiview_concat,9,test_oracle,maccs__lightgbm,maccs,lightgbm,0.8899187153053133,maccs__lightgbm,0.8899187153053133,0.0,0.0
clintox,classification,71,2,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8208816892327531,multiview__lightgbm,0.9111460348162476,0.0902643455834945,0.4894035394363118
clintox,classification,71,2,full_multiview,12,validation_best,maccs__lightgbm,maccs,lightgbm,0.9000644745325597,multiview__lightgbm,0.9111460348162476,0.011081560283687897,0.06008302381472554
clintox,classification,71,2,full_multiview,12,one_se_stable,maccs__lightgbm,maccs,lightgbm,0.9000644745325597,multiview__lightgbm,0.9111460348162476,0.011081560283687897,0.06008302381472554
clintox,classification,71,2,full_multiview,12,risk_adjusted,maccs__lightgbm,maccs,lightgbm,0.9000644745325597,multiview__lightgbm,0.9111460348162476,0.011081560283687897,0.06008302381472554
clintox,classification,71,2,full_multiview,12,test_oracle,multiview__lightgbm,multiview,lightgbm,0.9111460348162476,multiview__lightgbm,0.9111460348162476,0.0,0.0
clintox,classification,71,2,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8208816892327531,morgan512__random_forest,0.8208816892327531,0.0,0.0
clintox,classification,71,2,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,0.803755641521599,morgan512__random_forest,0.8208816892327531,0.017126047711154113,0.18185708172871212
clintox,classification,71,2,morgan_only,3,one_se_stable,morgan512__random_forest,morgan512,random_forest,0.8208816892327531,morgan512__random_forest,0.8208816892327531,0.0,0.0
clintox,classification,71,2,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,0.803755641521599,morgan512__random_forest,0.8208816892327531,0.017126047711154113,0.18185708172871212
clintox,classification,71,2,morgan_only,3,test_oracle,morgan512__random_forest,morgan512,random_forest,0.8208816892327531,morgan512__random_forest,0.8208816892327531,0.0,0.0
clintox,classification,71,2,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8208816892327531,maccs__lightgbm,0.9000644745325597,0.0791827852998066,0.4567642956764295
clintox,classification,71,2,fingerprints_only,6,validation_best,maccs__lightgbm,maccs,lightgbm,0.9000644745325597,maccs__lightgbm,0.9000644745325597,0.0,0.0
clintox,classification,71,2,fingerprints_only,6,one_se_stable,maccs__lightgbm,maccs,lightgbm,0.9000644745325597,maccs__lightgbm,0.9000644745325597,0.0,0.0
clintox,classification,71,2,fingerprints_only,6,risk_adjusted,maccs__lightgbm,maccs,lightgbm,0.9000644745325597,maccs__lightgbm,0.9000644745325597,0.0,0.0
