task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
esol,regression,37,1,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.937498083196948,0.024823500076308846
esol,regression,37,1,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-5.14054254152047,0.018660400062799454
esol,regression,37,1,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.819290298132272,0.01859280001372099
esol,regression,37,1,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.8112245319746618,0.09856140008196235
esol,regression,37,1,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.5119685746714737,0.10288410005159676
esol,regression,37,1,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.5327016480128122,0.09940619999542832
esol,regression,37,1,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-1.5223916681851333,0.05314560001716018
esol,regression,37,1,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-1.5169770277111414,0.06413549999706447
esol,regression,37,1,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-1.398524759472317,0.15337009995710105
esol,regression,37,1,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.3204216146811145,0.006624500034376979
esol,regression,37,1,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.6584276190490277,0.006396899931132793
esol,regression,37,1,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.4201931868024262,0.007717899978160858
esol,regression,37,1,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.2301856192387945,0.1102435999782756
esol,regression,37,1,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.3861949239915832,0.08413289999589324
esol,regression,37,1,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.2610017643783882,0.09130629990249872
esol,regression,37,1,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.1508534191979678,0.05552029993850738
esol,regression,37,1,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.3244023295704583,0.04812080005649477
esol,regression,37,1,3,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.2121319832026065,0.09640310006216168
esol,regression,37,1,1,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-1.5197924697838616,0.00955479999538511
esol,regression,37,1,2,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-1.148152418165271,0.008419200079515576
esol,regression,37,1,3,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.9092741907135767,0.007942100055515766
esol,regression,37,1,1,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.9045775174251939,0.10248509992379695
esol,regression,37,1,2,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.8701949469660234,0.08934249996673316
esol,regression,37,1,3,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.9081823145551127,0.08469639997929335
esol,regression,37,1,1,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.7120414823776844,0.08022960007656366
esol,regression,37,1,2,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.8623290964318298,0.12732820003293455
