task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
esol,regression,37,1,scaffold_group,1,morgan512__linear,morgan512,linear,752,376,-2.5652549141961756,0.03646229999139905,,,2.5652549141961756
esol,regression,37,1,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,752,376,-1.7236399124329165,0.1464933999814093,,,1.7236399124329165
esol,regression,37,1,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,752,376,-1.776840846362247,0.09670510003343225,,,1.776840846362247
esol,regression,37,1,scaffold_group,4,maccs__linear,maccs,linear,752,376,-1.3599322789190151,0.009309599990956485,,,1.3599322789190151
esol,regression,37,1,scaffold_group,5,maccs__random_forest,maccs,random_forest,752,376,-1.257471241641819,0.10954680002760142,,,1.257471241641819
esol,regression,37,1,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,752,376,-1.3812507550756548,0.08323450002353638,,,1.3812507550756548
esol,regression,37,1,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,752,376,-0.6715642518967673,0.016788999899290502,,,0.6715642518967673
esol,regression,37,1,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,752,376,-0.7092020194980624,0.12432740000076592,,,0.7092020194980624
esol,regression,37,1,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,752,376,-0.695818331022376,0.1392276999540627,,,0.695818331022376
esol,regression,37,1,scaffold_group,10,multiview__linear,multiview,linear,752,376,-1.6364038484144852,0.07222460000775754,,,1.6364038484144852
esol,regression,37,1,scaffold_group,11,multiview__random_forest,multiview,random_forest,752,376,-0.7016818910665565,0.12749390001408756,,,0.7016818910665565
esol,regression,37,1,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,752,376,-0.6976445785313415,0.27155429997947067,,,0.6976445785313415
esol,regression,37,2,scaffold_group,1,morgan512__linear,morgan512,linear,752,376,-2.7056892486308697,0.033762100036256015,,,2.7056892486308697
esol,regression,37,2,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,752,376,-1.9360777901884987,0.12054509995505214,,,1.9360777901884987
esol,regression,37,2,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,752,376,-1.8274438151930974,0.09836810000706464,,,1.8274438151930974
esol,regression,37,2,scaffold_group,4,maccs__linear,maccs,linear,752,376,-1.4272813787669696,0.008060700027272105,,,1.4272813787669696
esol,regression,37,2,scaffold_group,5,maccs__random_forest,maccs,random_forest,752,376,-1.4332855369263828,0.11227159993723035,,,1.4332855369263828
esol,regression,37,2,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,752,376,-1.2694886653862114,0.06105520005803555,,,1.2694886653862114
esol,regression,37,2,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,752,376,-0.8583628907748124,0.015223099966533482,,,0.8583628907748124
esol,regression,37,2,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,752,376,-1.0041425136102522,0.13271440006792545,,,1.0041425136102522
esol,regression,37,2,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,752,376,-0.8871272586464826,0.19245169998612255,,,0.8871272586464826
esol,regression,37,2,scaffold_group,10,multiview__linear,multiview,linear,752,376,-1.8319970188077312,0.07159139995928854,,,1.8319970188077312
esol,regression,37,2,scaffold_group,11,multiview__random_forest,multiview,random_forest,752,376,-1.02922343944834,0.1422552999574691,,,1.02922343944834
esol,regression,37,2,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,752,376,-0.8743298920117457,0.2930109000299126,,,0.8743298920117457
esol,regression,37,3,scaffold_group,1,morgan512__linear,morgan512,linear,752,376,-3.6631839360178273,0.03252450004220009,,,3.6631839360178273
esol,regression,37,3,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,752,376,-1.4259773844108592,0.11353089998010546,,,1.4259773844108592
esol,regression,37,3,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,752,376,-1.4598909054883757,0.0731778999324888,,,1.4598909054883757
esol,regression,37,3,scaffold_group,4,maccs__linear,maccs,linear,752,376,-1.6594894505164772,0.008553200052119792,,,1.6594894505164772
esol,regression,37,3,scaffold_group,5,maccs__random_forest,maccs,random_forest,752,376,-1.1907237841823117,0.1085919999750331,,,1.1907237841823117
esol,regression,37,3,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,752,376,-1.2370785595298426,0.05046110006514937,,,1.2370785595298426
esol,regression,37,3,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,752,376,-0.8003434231430485,0.01557620009407401,,,0.8003434231430485
esol,regression,37,3,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,752,376,-0.7649303710816613,0.12234840006567538,,,0.7649303710816613
esol,regression,37,3,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,752,376,-0.7917219743566842,0.16403630003333092,,,0.7917219743566842
esol,regression,37,3,scaffold_group,10,multiview__linear,multiview,linear,752,376,-2.1793319862363307,0.07803889992646873,,,2.1793319862363307
esol,regression,37,3,scaffold_group,11,multiview__random_forest,multiview,random_forest,752,376,-0.7862575486332356,0.13044909993186593,,,0.7862575486332356
esol,regression,37,3,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,752,376,-0.7763587123477073,0.3050572999054566,,,0.7763587123477073
