task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
esol,regression,71,1,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.937498083196948,0.022869399981573224
esol,regression,71,1,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-5.14054254152047,0.020744599984027445
esol,regression,71,1,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.819290298132272,0.02007279999088496
esol,regression,71,1,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.8015464038626656,0.09579689998645335
esol,regression,71,1,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.5207879360101755,0.08884059998672456
esol,regression,71,1,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.5449129113315112,0.088585399906151
esol,regression,71,1,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-1.5223916681851333,0.0602225000038743
esol,regression,71,1,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-1.5169770277111414,0.05233569990377873
esol,regression,71,1,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-1.398524759472317,0.051991699961945415
esol,regression,71,1,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.3204216146811145,0.006387999979779124
esol,regression,71,1,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.6584276190490277,0.005544499959796667
esol,regression,71,1,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.4201931868024262,0.005734100006520748
esol,regression,71,1,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.2696112151442012,0.10193710005842149
esol,regression,71,1,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.3994568627343746,0.08915539993904531
esol,regression,71,1,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.2428103487939384,0.08288200001697987
esol,regression,71,1,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.1508534191979678,0.04293520003557205
esol,regression,71,1,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.3244023295704583,0.04135760001372546
esol,regression,71,1,3,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.2121319832026065,0.04892229998949915
esol,regression,71,1,1,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-1.5197924697838616,0.008883500006049871
esol,regression,71,1,2,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-1.148152418165271,0.0074477000162005424
esol,regression,71,1,3,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.9092741907135767,0.007850900059565902
esol,regression,71,1,1,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.8893714881137099,0.11172329995315522
esol,regression,71,1,2,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.869921251351066,0.08575450000353158
esol,regression,71,1,3,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.8842914177054215,0.08725630003027618
esol,regression,71,1,1,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.7120414823776844,0.08673930005170405
esol,regression,71,1,2,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.8623290964318298,0.08641389990225434
esol,regression,71,1,3,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.8694733493842427,0.07829069998115301
esol,regression,71,1,1,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-1.7699304151536264,0.04056380002293736
esol,regression,71,1,2,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-1.408125479620076,0.043018999975174665
esol,regression,71,1,3,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-1.4303112313080977,0.0314563000574708
esol,regression,71,1,1,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-0.9522821826922753,0.10531660006381571
esol,regression,71,1,2,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-0.8830537801511055,0.11685360001865774
esol,regression,71,1,3,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-0.9300732310682562,0.10891940002329648
esol,regression,71,1,1,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-0.7111169014993148,0.15528369997628033
esol,regression,71,1,2,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-0.8770914554137937,0.16788289998658001
esol,regression,71,1,3,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-0.863021205793905,0.16374139999970794
esol,regression,71,2,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-3.719149607522983,0.02271609997842461
esol,regression,71,2,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-3.8008927778915744,0.023180400021374226
esol,regression,71,2,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.039700696134465,0.018991900025866926
esol,regression,71,2,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.6701176771957553,0.08865390007849783
esol,regression,71,2,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.5527839603759448,0.08616309997159988
esol,regression,71,2,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.540516729988495,0.08898010000120848
esol,regression,71,2,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-1.7922443698011745,0.055969599983654916
esol,regression,71,2,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-1.4170442167146573,0.05413359997328371
esol,regression,71,2,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-1.538787817341016,0.05415610002819449
esol,regression,71,2,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.5769140844968093,0.005789800081402063
esol,regression,71,2,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.525025263689165,0.0062969999853521585
esol,regression,71,2,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.6459664839531565,0.0061543999472633
esol,regression,71,2,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.267659027479761,0.10772810003254563
esol,regression,71,2,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.3407702007391422,0.08759020001161844
esol,regression,71,2,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.2301534551906643,0.08856309996917844
esol,regression,71,2,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.481080380737144,0.038642199942842126
esol,regression,71,2,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.3919214586967854,0.0386541000334546
esol,regression,71,2,3,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.160077797727492,0.04149660002440214
esol,regression,71,2,1,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.8153833838339744,0.008498899987898767
esol,regression,71,2,2,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-1.1989418083325984,0.007869499968364835
esol,regression,71,2,3,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.9874267432860413,0.008537999936379492
esol,regression,71,2,1,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.7598586460929712,0.11119179998058826
esol,regression,71,2,2,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.816326706024181,0.09197800001129508
esol,regression,71,2,3,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.7668644193349866,0.08898530004080385
esol,regression,71,2,1,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.6817180031264479,0.0803596000187099
esol,regression,71,2,2,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.7068618834603075,0.08254879992455244
esol,regression,71,2,3,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.8457265622882305,0.07979399990290403
esol,regression,71,2,1,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-1.5290161048788447,0.03865860006771982
esol,regression,71,2,2,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-1.5593455041316948,0.03787909995298833
esol,regression,71,2,3,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-1.7458943050978954,0.035888100042939186
esol,regression,71,2,1,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-0.772429786811971,0.10326570004690439
esol,regression,71,2,2,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-0.862043399673788,0.10611020005308092
esol,regression,71,2,3,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-0.8152153542768751,0.11094169993884861
esol,regression,71,2,1,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-0.6722245353832833,0.1716851000674069
esol,regression,71,2,2,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-0.7112783254497141,0.17509819997940212
esol,regression,71,2,3,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-0.8364907221485566,0.1749552000546828
esol,regression,71,3,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.5977313836762175,0.02128429990261793
esol,regression,71,3,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-3.7226420180072752,0.020242200000211596
esol,regression,71,3,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.867782326221882,0.017518000095151365
esol,regression,71,3,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.831478518474307,0.08665940002538264
esol,regression,71,3,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-2.0796771101287996,0.09537759993690997
esol,regression,71,3,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.7977633858825135,0.09988880006130785
esol,regression,71,3,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-2.0371314385899217,0.05648759996984154
esol,regression,71,3,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-1.8919179050344561,0.05781189992558211
esol,regression,71,3,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-1.6848669040207718,0.057347599999047816
esol,regression,71,3,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.318256924118014,0.006253200001083314
esol,regression,71,3,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.566331751335552,0.005523200030438602
esol,regression,71,3,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.4825561692493923,0.005675200023688376
