task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
esol,regression,71,1,scaffold_group,1,morgan512__linear,morgan512,linear,752,376,-2.5652549141961756,0.033908899989910424,,,2.5652549141961756
esol,regression,71,1,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,752,376,-1.7321059310041003,0.12458199996035546,,,1.7321059310041003
esol,regression,71,1,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,752,376,-1.776840846362247,0.07436059997417033,,,1.776840846362247
esol,regression,71,1,scaffold_group,4,maccs__linear,maccs,linear,752,376,-1.3599322789190151,0.00838140002451837,,,1.3599322789190151
esol,regression,71,1,scaffold_group,5,maccs__random_forest,maccs,random_forest,752,376,-1.208441586315865,0.10628129995893687,,,1.208441586315865
esol,regression,71,1,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,752,376,-1.3812507550756548,0.0504296999424696,,,1.3812507550756548
esol,regression,71,1,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,752,376,-0.6715642518967673,0.013719500042498112,,,0.6715642518967673
esol,regression,71,1,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,752,376,-0.6856508257757823,0.11969860002864152,,,0.6856508257757823
esol,regression,71,1,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,752,376,-0.695818331022376,0.14055530005134642,,,0.695818331022376
esol,regression,71,1,scaffold_group,10,multiview__linear,multiview,linear,752,376,-1.6364038484144852,0.07165289996191859,,,1.6364038484144852
esol,regression,71,1,scaffold_group,11,multiview__random_forest,multiview,random_forest,752,376,-0.7024521886396069,0.12932950002141297,,,0.7024521886396069
esol,regression,71,1,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,752,376,-0.6976445785313415,0.25412070006132126,,,0.6976445785313415
esol,regression,71,2,scaffold_group,1,morgan512__linear,morgan512,linear,752,376,-2.7056892486308697,0.03162219992373139,,,2.7056892486308697
esol,regression,71,2,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,752,376,-1.9782355075449243,0.13454419991467148,,,1.9782355075449243
esol,regression,71,2,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,752,376,-1.8274438151930974,0.11184719996526837,,,1.8274438151930974
esol,regression,71,2,scaffold_group,4,maccs__linear,maccs,linear,752,376,-1.4272813787669696,0.008666799985803664,,,1.4272813787669696
esol,regression,71,2,scaffold_group,5,maccs__random_forest,maccs,random_forest,752,376,-1.4486702794220645,0.10985460004303604,,,1.4486702794220645
esol,regression,71,2,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,752,376,-1.2694886653862114,0.06389320001471788,,,1.2694886653862114
esol,regression,71,2,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,752,376,-0.8583628907748124,0.015074399998411536,,,0.8583628907748124
esol,regression,71,2,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,752,376,-0.9976550880697278,0.12235229997895658,,,0.9976550880697278
esol,regression,71,2,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,752,376,-0.8871272586464826,0.12922580004669726,,,0.8871272586464826
esol,regression,71,2,scaffold_group,10,multiview__linear,multiview,linear,752,376,-1.8319970188077312,0.06851100001949817,,,1.8319970188077312
esol,regression,71,2,scaffold_group,11,multiview__random_forest,multiview,random_forest,752,376,-1.0620219688857813,0.13099410000722855,,,1.0620219688857813
esol,regression,71,2,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,752,376,-0.8743298920117457,0.24808200006373227,,,0.8743298920117457
esol,regression,71,3,scaffold_group,1,morgan512__linear,morgan512,linear,752,376,-3.6631839360178273,0.032525100046768785,,,3.6631839360178273
esol,regression,71,3,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,752,376,-1.425050026383263,0.17136729997582734,,,1.425050026383263
esol,regression,71,3,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,752,376,-1.4598909054883757,0.08548439992591739,,,1.4598909054883757
esol,regression,71,3,scaffold_group,4,maccs__linear,maccs,linear,752,376,-1.6594894505164772,0.008959600003436208,,,1.6594894505164772
esol,regression,71,3,scaffold_group,5,maccs__random_forest,maccs,random_forest,752,376,-1.2030719092391406,0.11548499995842576,,,1.2030719092391406
esol,regression,71,3,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,752,376,-1.2370785595298426,0.04980729997623712,,,1.2370785595298426
esol,regression,71,3,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,752,376,-0.8003434231430485,0.015181399998255074,,,0.8003434231430485
esol,regression,71,3,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,752,376,-0.7650971541261676,0.12207070004660636,,,0.7650971541261676
esol,regression,71,3,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,752,376,-0.7917219743566842,0.1554007000522688,,,0.7917219743566842
esol,regression,71,3,scaffold_group,10,multiview__linear,multiview,linear,752,376,-2.1793319862363307,0.07284779998008162,,,2.1793319862363307
esol,regression,71,3,scaffold_group,11,multiview__random_forest,multiview,random_forest,752,376,-0.7817147148779942,0.13527750002685934,,,0.7817147148779942
esol,regression,71,3,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,752,376,-0.7763587123477073,0.24678159994073212,,,0.7763587123477073
