task,task_type,seed,outer_fold,variant,candidate_count,policy,selected_candidate,selected_representation,selected_family,outer_utility,oracle_candidate,oracle_utility,raw_regret,normalized_regret
esol,regression,71,1,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.7321059310041003,rdkit2d__linear,-0.6715642518967673,1.060541679107333,0.5600395567349808
esol,regression,71,1,full_multiview,12,validation_best,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.695818331022376,rdkit2d__linear,-0.6715642518967673,0.02425407912560873,0.012807835835319737
esol,regression,71,1,full_multiview,12,one_se_stable,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.695818331022376,rdkit2d__linear,-0.6715642518967673,0.02425407912560873,0.012807835835319737
esol,regression,71,1,full_multiview,12,risk_adjusted,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.695818331022376,rdkit2d__linear,-0.6715642518967673,0.02425407912560873,0.012807835835319737
esol,regression,71,1,full_multiview,12,test_oracle,rdkit2d__linear,rdkit2d,linear,-0.6715642518967673,rdkit2d__linear,-0.6715642518967673,0.0,0.0
esol,regression,71,1,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.7321059310041003,morgan512__random_forest,-1.7321059310041003,0.0,0.0
esol,regression,71,1,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,-1.776840846362247,morgan512__random_forest,-1.7321059310041003,0.044734915358146665,0.05369377657613178
esol,regression,71,1,morgan_only,3,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,-1.776840846362247,morgan512__random_forest,-1.7321059310041003,0.044734915358146665,0.05369377657613178
esol,regression,71,1,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,-1.776840846362247,morgan512__random_forest,-1.7321059310041003,0.044734915358146665,0.05369377657613178
esol,regression,71,1,morgan_only,3,test_oracle,morgan512__random_forest,morgan512,random_forest,-1.7321059310041003,morgan512__random_forest,-1.7321059310041003,0.0,0.0
esol,regression,71,1,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.7321059310041003,maccs__random_forest,-1.208441586315865,0.5236643446882352,0.38595165151151106
esol,regression,71,1,fingerprints_only,6,validation_best,maccs__lightgbm,maccs,lightgbm,-1.3812507550756548,maccs__random_forest,-1.208441586315865,0.1728091687597897,0.1273639971017692
esol,regression,71,1,fingerprints_only,6,one_se_stable,maccs__lightgbm,maccs,lightgbm,-1.3812507550756548,maccs__random_forest,-1.208441586315865,0.1728091687597897,0.1273639971017692
esol,regression,71,1,fingerprints_only,6,risk_adjusted,maccs__lightgbm,maccs,lightgbm,-1.3812507550756548,maccs__random_forest,-1.208441586315865,0.1728091687597897,0.1273639971017692
esol,regression,71,1,fingerprints_only,6,test_oracle,maccs__random_forest,maccs,random_forest,-1.208441586315865,maccs__random_forest,-1.208441586315865,0.0,0.0
esol,regression,71,1,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.7321059310041003,rdkit2d__linear,-0.6715642518967673,1.060541679107333,0.5600395567349808
esol,regression,71,1,no_multiview_concat,9,validation_best,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.695818331022376,rdkit2d__linear,-0.6715642518967673,0.02425407912560873,0.012807835835319737
esol,regression,71,1,no_multiview_concat,9,one_se_stable,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.695818331022376,rdkit2d__linear,-0.6715642518967673,0.02425407912560873,0.012807835835319737
esol,regression,71,1,no_multiview_concat,9,risk_adjusted,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.695818331022376,rdkit2d__linear,-0.6715642518967673,0.02425407912560873,0.012807835835319737
esol,regression,71,1,no_multiview_concat,9,test_oracle,rdkit2d__linear,rdkit2d,linear,-0.6715642518967673,rdkit2d__linear,-0.6715642518967673,0.0,0.0
esol,regression,71,2,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.9782355075449243,rdkit2d__linear,-0.8583628907748124,1.1198726167701119,0.6062126553912202
esol,regression,71,2,full_multiview,12,validation_best,multiview__lightgbm,multiview,lightgbm,-0.8743298920117457,rdkit2d__linear,-0.8583628907748124,0.015967001236933287,0.00864330288420939
esol,regression,71,2,full_multiview,12,one_se_stable,rdkit2d__random_forest,rdkit2d,random_forest,-0.9976550880697278,rdkit2d__linear,-0.8583628907748124,0.13929219729491538,0.0754020515663367
esol,regression,71,2,full_multiview,12,risk_adjusted,multiview__lightgbm,multiview,lightgbm,-0.8743298920117457,rdkit2d__linear,-0.8583628907748124,0.015967001236933287,0.00864330288420939
esol,regression,71,2,full_multiview,12,test_oracle,rdkit2d__linear,rdkit2d,linear,-0.8583628907748124,rdkit2d__linear,-0.8583628907748124,0.0,0.0
esol,regression,71,2,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.9782355075449243,morgan512__lightgbm,-1.8274438151930974,0.15079169235182688,0.17169652879557062
esol,regression,71,2,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,-1.8274438151930974,morgan512__lightgbm,-1.8274438151930974,0.0,0.0
esol,regression,71,2,morgan_only,3,one_se_stable,morgan512__random_forest,morgan512,random_forest,-1.9782355075449243,morgan512__lightgbm,-1.8274438151930974,0.15079169235182688,0.17169652879557062
esol,regression,71,2,morgan_only,3,risk_adjusted,morgan512__random_forest,morgan512,random_forest,-1.9782355075449243,morgan512__lightgbm,-1.8274438151930974,0.15079169235182688,0.17169652879557062
esol,regression,71,2,morgan_only,3,test_oracle,morgan512__lightgbm,morgan512,lightgbm,-1.8274438151930974,morgan512__lightgbm,-1.8274438151930974,0.0,0.0
