task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
freesolv,regression,11,1,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.208164866146164,0.009179300046525896
freesolv,regression,11,1,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.814121145375817,0.008780700038187206
freesolv,regression,11,1,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-3.2466936086746476,0.008887799922376871
freesolv,regression,11,1,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-3.4151197007108105,0.08754450001288205
freesolv,regression,11,1,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-2.3950444681361,0.08271470002364367
freesolv,regression,11,1,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-3.3585615276395475,0.08751710003707558
freesolv,regression,11,1,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-3.15069818110766,0.042462200042791665
freesolv,regression,11,1,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-2.3660395931830815,0.0346371999476105
freesolv,regression,11,1,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-3.1417050260470574,0.03413140005432069
freesolv,regression,11,1,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.9369781663970087,0.005907299928367138
freesolv,regression,11,1,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.3961480288596673,0.004866400035098195
freesolv,regression,11,1,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-2.1022501454945197,0.005270299967378378
freesolv,regression,11,1,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-2.0246186618459014,0.09992840001359582
freesolv,regression,11,1,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.6212321275066743,0.07451459998264909
freesolv,regression,11,1,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-2.397848184187991,0.0750175000866875
freesolv,regression,11,1,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.9389629277844511,0.026071500033140182
freesolv,regression,11,1,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.7110253269469435,0.024421000038273633
freesolv,regression,11,1,3,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-2.142808160704506,0.0237456999020651
freesolv,regression,11,1,1,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-2.1445478246882796,0.005834699957631528
freesolv,regression,11,1,2,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-2.060150802626108,0.0060322999488562346
freesolv,regression,11,1,3,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-1.9103909891035138,0.005549199995584786
freesolv,regression,11,1,1,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-2.483373624952963,0.10506370000075549
freesolv,regression,11,1,2,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-1.4199005192464274,0.08684679993893951
freesolv,regression,11,1,3,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-2.3812106374436683,0.09178099990822375
freesolv,regression,11,1,1,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-1.8103955791751591,0.040999499964527786
freesolv,regression,11,1,2,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-1.3405876593820014,0.0413082999875769
freesolv,regression,11,1,3,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-2.0914579340377863,0.04186709993518889
freesolv,regression,11,1,1,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-2.120648383475423,0.020221900078468025
freesolv,regression,11,1,2,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-1.683272588265309,0.023255000007338822
freesolv,regression,11,1,3,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-1.5728327646267757,0.023644400062039495
freesolv,regression,11,1,1,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-2.4522221655535157,0.10209270007908344
freesolv,regression,11,1,2,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-1.4915341926805885,0.08782309992238879
freesolv,regression,11,1,3,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-2.4381215141020083,0.09402149997185916
freesolv,regression,11,1,1,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-1.806243674803836,0.06277610000688583
freesolv,regression,11,1,2,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-1.58031074567751,0.06931449996773154
freesolv,regression,11,1,3,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-1.9928064623161768,0.06715040002018213
freesolv,regression,11,2,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.089703100389754,0.011662799981422722
freesolv,regression,11,2,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-3.7006918117332006,0.011652100016362965
freesolv,regression,11,2,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-3.3182244937714995,0.011832699994556606
freesolv,regression,11,2,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-2.551206537632683,0.09405959991272539
freesolv,regression,11,2,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-2.4488845685802065,0.08023160009179264
freesolv,regression,11,2,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-3.0405268723341976,0.08616579999215901
freesolv,regression,11,2,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-2.4747705500273334,0.02811620000284165
freesolv,regression,11,2,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-2.603337749854512,0.03101889998652041
freesolv,regression,11,2,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-3.1496560984325495,0.028410800034180284
freesolv,regression,11,2,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-2.9550636309143092,0.004938800004310906
freesolv,regression,11,2,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-2.5425230759488087,0.004576600040309131
freesolv,regression,11,2,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-2.487932803295184,0.004221700015477836
freesolv,regression,11,2,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.542248590566569,0.10604979994241148
freesolv,regression,11,2,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.606944315379902,0.08512020006310195
freesolv,regression,11,2,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-2.2300982725582954,0.08025239990092814
freesolv,regression,11,2,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.4433738644455496,0.020821999991312623
freesolv,regression,11,2,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.2709538681042014,0.026386299985460937
freesolv,regression,11,2,3,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-2.0259351495800786,0.024954300024546683
freesolv,regression,11,2,1,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-1.5607369309965735,0.005845900042913854
