task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
freesolv,regression,23,1,scaffold_group,1,morgan512__linear,morgan512,linear,428,214,-6.184039296496714,0.01920869993045926,,,6.184039296496714
freesolv,regression,23,1,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,428,214,-2.578539725677721,0.11527049995493144,,,2.578539725677721
freesolv,regression,23,1,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,428,214,-2.244413831118366,0.04508710000663996,,,2.244413831118366
freesolv,regression,23,1,scaffold_group,4,maccs__linear,maccs,linear,428,214,-1.8781053470394642,0.005701299989596009,,,1.8781053470394642
freesolv,regression,23,1,scaffold_group,5,maccs__random_forest,maccs,random_forest,428,214,-1.6495561196499124,0.10984950000420213,,,1.6495561196499124
freesolv,regression,23,1,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,428,214,-1.3343761110801813,0.034951599896885455,,,1.3343761110801813
freesolv,regression,23,1,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,428,214,-1.6734612309294805,0.007340800017118454,,,1.6734612309294805
freesolv,regression,23,1,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,428,214,-1.4283904910563776,0.11396320001222193,,,1.4283904910563776
freesolv,regression,23,1,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,428,214,-1.4146426187997747,0.06570130004547536,,,1.4146426187997747
freesolv,regression,23,1,scaffold_group,10,multiview__linear,multiview,linear,428,214,-1.293868919977676,0.033317600027658045,,,1.293868919977676
freesolv,regression,23,1,scaffold_group,11,multiview__random_forest,multiview,random_forest,428,214,-1.4153342094254076,0.1196428999537602,,,1.4153342094254076
freesolv,regression,23,1,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,428,214,-1.417379258904852,0.10971560003235936,,,1.417379258904852
freesolv,regression,23,2,scaffold_group,1,morgan512__linear,morgan512,linear,428,214,-6.705997115356247,0.01747089996933937,,,6.705997115356247
freesolv,regression,23,2,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,428,214,-3.5810785949572868,0.10987259994726628,,,3.5810785949572868
freesolv,regression,23,2,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,428,214,-3.5947208724185695,0.04533530003391206,,,3.5947208724185695
freesolv,regression,23,2,scaffold_group,4,maccs__linear,maccs,linear,428,214,-2.3586827291116466,0.005696399952284992,,,2.3586827291116466
freesolv,regression,23,2,scaffold_group,5,maccs__random_forest,maccs,random_forest,428,214,-2.3131676143474835,0.11042119993362576,,,2.3131676143474835
freesolv,regression,23,2,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,428,214,-2.0383635935246884,0.0404409000184387,,,2.0383635935246884
freesolv,regression,23,2,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,428,214,-2.390738543375689,0.008418599958531559,,,2.390738543375689
freesolv,regression,23,2,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,428,214,-2.600099241976357,0.10811069991905242,,,2.600099241976357
freesolv,regression,23,2,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,428,214,-2.1616697873892567,0.06632730003912002,,,2.1616697873892567
freesolv,regression,23,2,scaffold_group,10,multiview__linear,multiview,linear,428,214,-1.9845203527814048,0.03256399999372661,,,1.9845203527814048
freesolv,regression,23,2,scaffold_group,11,multiview__random_forest,multiview,random_forest,428,214,-2.5472074783240464,0.11622610001359135,,,2.5472074783240464
freesolv,regression,23,2,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,428,214,-2.0878655229149734,0.11165139998774976,,,2.0878655229149734
freesolv,regression,23,3,scaffold_group,1,morgan512__linear,morgan512,linear,428,214,-5.247306048251642,0.018920900067314506,,,5.247306048251642
freesolv,regression,23,3,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,428,214,-2.3862622284091,0.11439409991726279,,,2.3862622284091
freesolv,regression,23,3,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,428,214,-2.414594600823617,0.04029240005183965,,,2.414594600823617
freesolv,regression,23,3,scaffold_group,4,maccs__linear,maccs,linear,428,214,-1.7798900168636418,0.005469800089485943,,,1.7798900168636418
freesolv,regression,23,3,scaffold_group,5,maccs__random_forest,maccs,random_forest,428,214,-1.4684806808587583,0.10610989993438125,,,1.4684806808587583
freesolv,regression,23,3,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,428,214,-1.543725679719933,0.04315419995691627,,,1.543725679719933
freesolv,regression,23,3,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,428,214,-1.721764162572532,0.007781799999065697,,,1.721764162572532
freesolv,regression,23,3,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,428,214,-1.1645538494402592,0.11300410004332662,,,1.1645538494402592
freesolv,regression,23,3,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,428,214,-1.2196686065412106,0.06910339999012649,,,1.2196686065412106
freesolv,regression,23,3,scaffold_group,10,multiview__linear,multiview,linear,428,214,-1.47116210695504,0.03183580003678799,,,1.47116210695504
freesolv,regression,23,3,scaffold_group,11,multiview__random_forest,multiview,random_forest,428,214,-1.1897604781227709,0.11399460001848638,,,1.1897604781227709
freesolv,regression,23,3,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,428,214,-1.2277131518661812,0.10305369994603097,,,1.2277131518661812
