task,task_type,seed,outer_fold,variant,candidate_count,oracle_validation_rank,top3_hit,chance_adjusted_hit,mrr,spearman
freesolv,regression,37,1,full_multiview,12,2,1.0,1.0,0.5,0.7832167832167832
freesolv,regression,37,1,morgan_only,3,1,1.0,0.0,1.0,1.0
freesolv,regression,37,1,fingerprints_only,6,2,1.0,1.0,0.5,0.8285714285714287
freesolv,regression,37,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.7333333333333334
freesolv,regression,37,2,full_multiview,12,1,1.0,1.0,1.0,0.8601398601398602
freesolv,regression,37,2,morgan_only,3,1,1.0,0.0,1.0,1.0
freesolv,regression,37,2,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
freesolv,regression,37,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.8499999999999999
freesolv,regression,37,3,full_multiview,12,6,0.0,-0.3333333333333333,0.16666666666666666,0.7202797202797203
freesolv,regression,37,3,morgan_only,3,1,1.0,0.0,1.0,1.0
freesolv,regression,37,3,fingerprints_only,6,2,1.0,1.0,0.5,0.942857142857143
freesolv,regression,37,3,no_multiview_concat,9,4,0.0,-0.49999999999999994,0.25,0.7833333333333333
