task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
freesolv,regression,53,1,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.208164866146164,0.012566399993374944
freesolv,regression,53,1,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-4.814121145375817,0.011762899928726256
freesolv,regression,53,1,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-3.2466936086746476,0.011883399914950132
freesolv,regression,53,1,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-3.5037910875336182,0.08439340000040829
freesolv,regression,53,1,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-2.4280391040295832,0.0814310999121517
freesolv,regression,53,1,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-3.31014205723925,0.08677409996744245
freesolv,regression,53,1,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-3.15069818110766,0.03157049999572337
freesolv,regression,53,1,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-2.3660395931830815,0.03645180002786219
freesolv,regression,53,1,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-3.1417050260470574,0.03911899996455759
freesolv,regression,53,1,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.9369781663970087,0.00587579992134124
freesolv,regression,53,1,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.3961480288596673,0.0046903000911697745
freesolv,regression,53,1,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-2.1022501454945197,0.004714100039564073
freesolv,regression,53,1,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-2.163206542869129,0.10461879998911172
freesolv,regression,53,1,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.612716930368762,0.07907330000307411
freesolv,regression,53,1,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-2.3986427335680798,0.0837648999877274
freesolv,regression,53,1,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.9389629277844511,0.023745999904349446
freesolv,regression,53,1,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-1.7110253269469435,0.02324939996469766
