task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
freesolv,regression,53,1,scaffold_group,1,morgan512__linear,morgan512,linear,428,214,-6.184039296496714,0.016797600081190467,,,6.184039296496714
freesolv,regression,53,1,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,428,214,-2.577747530865051,0.10494250000920147,,,2.577747530865051
freesolv,regression,53,1,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,428,214,-2.244413831118366,0.0391486999578774,,,2.244413831118366
freesolv,regression,53,1,scaffold_group,4,maccs__linear,maccs,linear,428,214,-1.8781053470394642,0.0056169000454247,,,1.8781053470394642
freesolv,regression,53,1,scaffold_group,5,maccs__random_forest,maccs,random_forest,428,214,-1.5218422335532562,0.09973999997600913,,,1.5218422335532562
freesolv,regression,53,1,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,428,214,-1.3343761110801813,0.0374779999256134,,,1.3343761110801813
freesolv,regression,53,1,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,428,214,-1.6734612309294805,0.006990100024268031,,,1.6734612309294805
freesolv,regression,53,1,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,428,214,-1.4066716977279918,0.11377789999824017,,,1.4066716977279918
freesolv,regression,53,1,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,428,214,-1.4146426187997747,0.07322979997843504,,,1.4146426187997747
freesolv,regression,53,1,scaffold_group,10,multiview__linear,multiview,linear,428,214,-1.293868919977676,0.03295399993658066,,,1.293868919977676
freesolv,regression,53,1,scaffold_group,11,multiview__random_forest,multiview,random_forest,428,214,-1.549183790569543,0.11415910010691732,,,1.549183790569543
freesolv,regression,53,1,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,428,214,-1.417379258904852,0.10200469999108464,,,1.417379258904852
freesolv,regression,53,2,scaffold_group,1,morgan512__linear,morgan512,linear,428,214,-6.705997115356247,0.018513299990445375,,,6.705997115356247
freesolv,regression,53,2,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,428,214,-3.532334395373409,0.10769609990529716,,,3.532334395373409
freesolv,regression,53,2,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,428,214,-3.5947208724185695,0.03877480002120137,,,3.5947208724185695
freesolv,regression,53,2,scaffold_group,4,maccs__linear,maccs,linear,428,214,-2.3586827291116466,0.005794900003820658,,,2.3586827291116466
freesolv,regression,53,2,scaffold_group,5,maccs__random_forest,maccs,random_forest,428,214,-2.2973908028774015,0.11130970006342977,,,2.2973908028774015
freesolv,regression,53,2,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,428,214,-2.0383635935246884,0.0358554000267759,,,2.0383635935246884
freesolv,regression,53,2,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,428,214,-2.390738543375689,0.007079700008034706,,,2.390738543375689
freesolv,regression,53,2,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,428,214,-2.462571223115017,0.11068000004161149,,,2.462571223115017
freesolv,regression,53,2,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,428,214,-2.1616697873892567,0.06771110009867698,,,2.1616697873892567
freesolv,regression,53,2,scaffold_group,10,multiview__linear,multiview,linear,428,214,-1.9845203527814048,0.03622759995050728,,,1.9845203527814048
freesolv,regression,53,2,scaffold_group,11,multiview__random_forest,multiview,random_forest,428,214,-2.4282824131826075,0.11703820002730936,,,2.4282824131826075
freesolv,regression,53,2,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,428,214,-2.0878655229149734,0.10063199989963323,,,2.0878655229149734
freesolv,regression,53,3,scaffold_group,1,morgan512__linear,morgan512,linear,428,214,-5.247306048251642,0.017323300009593368,,,5.247306048251642
freesolv,regression,53,3,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,428,214,-2.5420831187980597,0.11616899992804974,,,2.5420831187980597
freesolv,regression,53,3,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,428,214,-2.414594600823617,0.04278819996397942,,,2.414594600823617
freesolv,regression,53,3,scaffold_group,4,maccs__linear,maccs,linear,428,214,-1.7798900168636418,0.00567879993468523,,,1.7798900168636418
freesolv,regression,53,3,scaffold_group,5,maccs__random_forest,maccs,random_forest,428,214,-1.4690967657065939,0.11192629998549819,,,1.4690967657065939
freesolv,regression,53,3,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,428,214,-1.543725679719933,0.0341729000210762,,,1.543725679719933
freesolv,regression,53,3,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,428,214,-1.721764162572532,0.007187200011685491,,,1.721764162572532
freesolv,regression,53,3,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,428,214,-1.1372067031749524,0.11307199997827411,,,1.1372067031749524
freesolv,regression,53,3,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,428,214,-1.2196686065412106,0.06998760008718818,,,1.2196686065412106
freesolv,regression,53,3,scaffold_group,10,multiview__linear,multiview,linear,428,214,-1.47116210695504,0.03649649990256876,,,1.47116210695504
freesolv,regression,53,3,scaffold_group,11,multiview__random_forest,multiview,random_forest,428,214,-1.1667567857687096,0.11853450001217425,,,1.1667567857687096
freesolv,regression,53,3,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,428,214,-1.2277131518661812,0.10669229994527996,,,1.2277131518661812
