task,task_type,seed,outer_fold,variant,candidate_count,policy,selected_candidate,selected_representation,selected_family,outer_utility,oracle_candidate,oracle_utility,raw_regret,normalized_regret
freesolv,regression,71,1,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-2.5580120004153732,multiview__linear,-1.293868919977676,1.2641430804376972,0.2585069605156682
freesolv,regression,71,1,full_multiview,12,validation_best,rdkit2d__lightgbm,rdkit2d,lightgbm,-1.4146426187997747,multiview__linear,-1.293868919977676,0.12077369882209865,0.02469723742183167
freesolv,regression,71,1,full_multiview,12,one_se_stable,multiview__lightgbm,multiview,lightgbm,-1.417379258904852,multiview__linear,-1.293868919977676,0.12351033892717589,0.025256858026916858
freesolv,regression,71,1,full_multiview,12,risk_adjusted,multiview__lightgbm,multiview,lightgbm,-1.417379258904852,multiview__linear,-1.293868919977676,0.12351033892717589,0.025256858026916858
freesolv,regression,71,1,full_multiview,12,test_oracle,multiview__linear,multiview,linear,-1.293868919977676,multiview__linear,-1.293868919977676,0.0,0.0
freesolv,regression,71,1,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-2.5580120004153732,morgan512__lightgbm,-2.244413831118366,0.31359816929700735,0.07960101082017208
freesolv,regression,71,1,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,-2.244413831118366,morgan512__lightgbm,-2.244413831118366,0.0,0.0
freesolv,regression,71,1,morgan_only,3,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,-2.244413831118366,morgan512__lightgbm,-2.244413831118366,0.0,0.0
freesolv,regression,71,1,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,-2.244413831118366,morgan512__lightgbm,-2.244413831118366,0.0,0.0
freesolv,regression,71,1,morgan_only,3,test_oracle,morgan512__lightgbm,morgan512,lightgbm,-2.244413831118366,morgan512__lightgbm,-2.244413831118366,0.0,0.0
freesolv,regression,71,1,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-2.5580120004153732,maccs__lightgbm,-1.3343761110801813,1.223635889335192,0.2523135819029245
freesolv,regression,71,1,fingerprints_only,6,validation_best,maccs__linear,maccs,linear,-1.8781053470394642,maccs__lightgbm,-1.3343761110801813,0.5437292359592829,0.1121169069213582
freesolv,regression,71,1,fingerprints_only,6,one_se_stable,maccs__lightgbm,maccs,lightgbm,-1.3343761110801813,maccs__lightgbm,-1.3343761110801813,0.0,0.0
freesolv,regression,71,1,fingerprints_only,6,risk_adjusted,maccs__linear,maccs,linear,-1.8781053470394642,maccs__lightgbm,-1.3343761110801813,0.5437292359592829,0.1121169069213582
freesolv,regression,71,1,fingerprints_only,6,test_oracle,maccs__lightgbm,maccs,lightgbm,-1.3343761110801813,maccs__lightgbm,-1.3343761110801813,0.0,0.0
freesolv,regression,71,1,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-2.5580120004153732,maccs__lightgbm,-1.3343761110801813,1.223635889335192,0.2523135819029245
freesolv,regression,71,1,no_multiview_concat,9,validation_best,rdkit2d__lightgbm,rdkit2d,lightgbm,-1.4146426187997747,maccs__lightgbm,-1.3343761110801813,0.08026650771959343,0.01655094480807731
freesolv,regression,71,1,no_multiview_concat,9,one_se_stable,maccs__lightgbm,maccs,lightgbm,-1.3343761110801813,maccs__lightgbm,-1.3343761110801813,0.0,0.0
freesolv,regression,71,1,no_multiview_concat,9,risk_adjusted,rdkit2d__lightgbm,rdkit2d,lightgbm,-1.4146426187997747,maccs__lightgbm,-1.3343761110801813,0.08026650771959343,0.01655094480807731
freesolv,regression,71,1,no_multiview_concat,9,test_oracle,maccs__lightgbm,maccs,lightgbm,-1.3343761110801813,maccs__lightgbm,-1.3343761110801813,0.0,0.0
freesolv,regression,71,2,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-3.561525179180132,multiview__linear,-1.9845203527814048,1.5770048263987273,0.3340066902158622
freesolv,regression,71,2,full_multiview,12,validation_best,multiview__linear,multiview,linear,-1.9845203527814048,multiview__linear,-1.9845203527814048,0.0,0.0
freesolv,regression,71,2,full_multiview,12,one_se_stable,multiview__linear,multiview,linear,-1.9845203527814048,multiview__linear,-1.9845203527814048,0.0,0.0
freesolv,regression,71,2,full_multiview,12,risk_adjusted,multiview__linear,multiview,linear,-1.9845203527814048,multiview__linear,-1.9845203527814048,0.0,0.0
freesolv,regression,71,2,full_multiview,12,test_oracle,multiview__linear,multiview,linear,-1.9845203527814048,multiview__linear,-1.9845203527814048,0.0,0.0
freesolv,regression,71,2,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-3.561525179180132,morgan512__random_forest,-3.561525179180132,0.0,0.0
freesolv,regression,71,2,morgan_only,3,validation_best,morgan512__random_forest,morgan512,random_forest,-3.561525179180132,morgan512__random_forest,-3.561525179180132,0.0,0.0
freesolv,regression,71,2,morgan_only,3,one_se_stable,morgan512__random_forest,morgan512,random_forest,-3.561525179180132,morgan512__random_forest,-3.561525179180132,0.0,0.0
