task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
lipo,regression,23,1,scaffold_group,1,morgan512__linear,morgan512,linear,2800,1400,-1.1006515404902455,0.11423109995666891,,,1.1006515404902455
lipo,regression,23,1,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,2800,1400,-1.0422753879133522,0.17876290006097406,,,1.0422753879133522
lipo,regression,23,1,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,2800,1400,-0.9966039761485099,0.2192606000462547,,,0.9966039761485099
lipo,regression,23,1,scaffold_group,4,maccs__linear,maccs,linear,2800,1400,-0.9681807185466476,0.033683600020594895,,,0.9681807185466476
lipo,regression,23,1,scaffold_group,5,maccs__random_forest,maccs,random_forest,2800,1400,-0.9841356041616838,0.13444980001077056,,,0.9841356041616838
lipo,regression,23,1,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,2800,1400,-0.9231612223782253,0.1022282000631094,,,0.9231612223782253
lipo,regression,23,1,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,2800,1400,-0.804983011603706,0.05950400000438094,,,0.804983011603706
lipo,regression,23,1,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,2800,1400,-0.840616199593672,0.23295460001099855,,,0.840616199593672
lipo,regression,23,1,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,2800,1400,-0.7782624957383262,0.39770880003925413,,,0.7782624957383262
lipo,regression,23,1,scaffold_group,10,multiview__linear,multiview,linear,2800,1400,-0.8268184013031437,0.2776063000783324,,,0.8268184013031437
lipo,regression,23,1,scaffold_group,11,multiview__random_forest,multiview,random_forest,2800,1400,-0.8439010036596728,0.3968726000748575,,,0.8439010036596728
lipo,regression,23,1,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,2800,1400,-0.7531590689681468,0.7360435000155121,,,0.7531590689681468
lipo,regression,23,2,scaffold_group,1,morgan512__linear,morgan512,linear,2800,1400,-1.1074840243976385,0.1108572999946773,,,1.1074840243976385
lipo,regression,23,2,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,2800,1400,-1.0346592464515685,0.17221360001713037,,,1.0346592464515685
lipo,regression,23,2,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,2800,1400,-0.9975050764157232,0.20976919995155185,,,0.9975050764157232
lipo,regression,23,2,scaffold_group,4,maccs__linear,maccs,linear,2800,1400,-1.0470719870808118,0.034199600107967854,,,1.0470719870808118
lipo,regression,23,2,scaffold_group,5,maccs__random_forest,maccs,random_forest,2800,1400,-0.987283416767276,0.12303999997675419,,,0.987283416767276
lipo,regression,23,2,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,2800,1400,-0.9367791538648913,0.08529279998037964,,,0.9367791538648913
lipo,regression,23,2,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,2800,1400,-0.8462949450462188,0.05801940010860562,,,0.8462949450462188
lipo,regression,23,2,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,2800,1400,-0.8332864511765082,0.2054350000107661,,,0.8332864511765082
lipo,regression,23,2,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,2800,1400,-0.740121270374736,0.2396500000031665,,,0.740121270374736
lipo,regression,23,2,scaffold_group,10,multiview__linear,multiview,linear,2800,1400,-0.8579392698574517,0.2423570000100881,,,0.8579392698574517
lipo,regression,23,2,scaffold_group,11,multiview__random_forest,multiview,random_forest,2800,1400,-0.8419138270812478,0.33990370004903525,,,0.8419138270812478
lipo,regression,23,2,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,2800,1400,-0.7341546186961053,0.580457599950023,,,0.7341546186961053
lipo,regression,23,3,scaffold_group,1,morgan512__linear,morgan512,linear,2800,1400,-1.0811223483189367,0.10502729995641857,,,1.0811223483189367
lipo,regression,23,3,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,2800,1400,-0.9445868065869243,0.17516680003609508,,,0.9445868065869243
lipo,regression,23,3,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,2800,1400,-0.9165373829785123,0.19041370006743819,,,0.9165373829785123
lipo,regression,23,3,scaffold_group,4,maccs__linear,maccs,linear,2800,1400,-0.9948758321929386,0.03036870004143566,,,0.9948758321929386
lipo,regression,23,3,scaffold_group,5,maccs__random_forest,maccs,random_forest,2800,1400,-0.9026946227963089,0.12013910000678152,,,0.9026946227963089
lipo,regression,23,3,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,2800,1400,-0.8814617960646095,0.10602149995975196,,,0.8814617960646095
lipo,regression,23,3,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,2800,1400,-0.8986557051775557,0.046760300057940185,,,0.8986557051775557
lipo,regression,23,3,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,2800,1400,-0.7736936904544842,0.19091550004668534,,,0.7736936904544842
lipo,regression,23,3,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,2800,1400,-0.7100306849932568,0.27721059997566044,,,0.7100306849932568
lipo,regression,23,3,scaffold_group,10,multiview__linear,multiview,linear,2800,1400,-0.9360827044417248,0.23122369998600334,,,0.9360827044417248
lipo,regression,23,3,scaffold_group,11,multiview__random_forest,multiview,random_forest,2800,1400,-0.7913272551383467,0.31406650005374104,,,0.7913272551383467
lipo,regression,23,3,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,2800,1400,-0.7029213398945534,0.5427658999105915,,,0.7029213398945534
