task,task_type,seed,outer_fold,variant,candidate_count,policy,selected_candidate,selected_representation,selected_family,outer_utility,oracle_candidate,oracle_utility,raw_regret,normalized_regret
lipo,regression,23,1,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.0422753879133522,multiview__lightgbm,-0.7531590689681468,0.2891163189452054,0.8320074322151727
lipo,regression,23,1,full_multiview,12,validation_best,multiview__lightgbm,multiview,lightgbm,-0.7531590689681468,multiview__lightgbm,-0.7531590689681468,0.0,0.0
lipo,regression,23,1,full_multiview,12,one_se_stable,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.7782624957383262,multiview__lightgbm,-0.7531590689681468,0.025103426770179404,0.07224164212887978
lipo,regression,23,1,full_multiview,12,risk_adjusted,multiview__lightgbm,multiview,lightgbm,-0.7531590689681468,multiview__lightgbm,-0.7531590689681468,0.0,0.0
lipo,regression,23,1,full_multiview,12,test_oracle,multiview__lightgbm,multiview,lightgbm,-0.7531590689681468,multiview__lightgbm,-0.7531590689681468,0.0,0.0
lipo,regression,23,1,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.0422753879133522,morgan512__lightgbm,-0.9966039761485099,0.04567141176484224,0.4389474376818499
lipo,regression,23,1,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,-0.9966039761485099,morgan512__lightgbm,-0.9966039761485099,0.0,0.0
lipo,regression,23,1,morgan_only,3,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,-0.9966039761485099,morgan512__lightgbm,-0.9966039761485099,0.0,0.0
lipo,regression,23,1,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,-0.9966039761485099,morgan512__lightgbm,-0.9966039761485099,0.0,0.0
lipo,regression,23,1,morgan_only,3,test_oracle,morgan512__lightgbm,morgan512,lightgbm,-0.9966039761485099,morgan512__lightgbm,-0.9966039761485099,0.0,0.0
lipo,regression,23,1,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.0422753879133522,maccs__lightgbm,-0.9231612223782253,0.11911416553512688,0.6711023271700367
lipo,regression,23,1,fingerprints_only,6,validation_best,maccs__lightgbm,maccs,lightgbm,-0.9231612223782253,maccs__lightgbm,-0.9231612223782253,0.0,0.0
lipo,regression,23,1,fingerprints_only,6,one_se_stable,maccs__lightgbm,maccs,lightgbm,-0.9231612223782253,maccs__lightgbm,-0.9231612223782253,0.0,0.0
lipo,regression,23,1,fingerprints_only,6,risk_adjusted,maccs__lightgbm,maccs,lightgbm,-0.9231612223782253,maccs__lightgbm,-0.9231612223782253,0.0,0.0
lipo,regression,23,1,fingerprints_only,6,test_oracle,maccs__lightgbm,maccs,lightgbm,-0.9231612223782253,maccs__lightgbm,-0.9231612223782253,0.0,0.0
lipo,regression,23,1,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.0422753879133522,rdkit2d__lightgbm,-0.7782624957383262,0.264012892175026,0.8189263762923018
lipo,regression,23,1,no_multiview_concat,9,validation_best,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.7782624957383262,rdkit2d__lightgbm,-0.7782624957383262,0.0,0.0
lipo,regression,23,1,no_multiview_concat,9,one_se_stable,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.7782624957383262,rdkit2d__lightgbm,-0.7782624957383262,0.0,0.0
lipo,regression,23,1,no_multiview_concat,9,risk_adjusted,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.7782624957383262,rdkit2d__lightgbm,-0.7782624957383262,0.0,0.0
lipo,regression,23,1,no_multiview_concat,9,test_oracle,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.7782624957383262,rdkit2d__lightgbm,-0.7782624957383262,0.0,0.0
lipo,regression,23,2,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.0346592464515685,multiview__lightgbm,-0.7341546186961053,0.30050462775546316,0.8049315782955189
lipo,regression,23,2,full_multiview,12,validation_best,multiview__lightgbm,multiview,lightgbm,-0.7341546186961053,multiview__lightgbm,-0.7341546186961053,0.0,0.0
lipo,regression,23,2,full_multiview,12,one_se_stable,multiview__lightgbm,multiview,lightgbm,-0.7341546186961053,multiview__lightgbm,-0.7341546186961053,0.0,0.0
lipo,regression,23,2,full_multiview,12,risk_adjusted,multiview__lightgbm,multiview,lightgbm,-0.7341546186961053,multiview__lightgbm,-0.7341546186961053,0.0,0.0
lipo,regression,23,2,full_multiview,12,test_oracle,multiview__lightgbm,multiview,lightgbm,-0.7341546186961053,multiview__lightgbm,-0.7341546186961053,0.0,0.0
lipo,regression,23,2,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.0346592464515685,morgan512__lightgbm,-0.9975050764157232,0.03715417003584531,0.337829836687971
lipo,regression,23,2,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,-0.9975050764157232,morgan512__lightgbm,-0.9975050764157232,0.0,0.0
lipo,regression,23,2,morgan_only,3,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,-0.9975050764157232,morgan512__lightgbm,-0.9975050764157232,0.0,0.0
lipo,regression,23,2,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,-0.9975050764157232,morgan512__lightgbm,-0.9975050764157232,0.0,0.0
lipo,regression,23,2,morgan_only,3,test_oracle,morgan512__lightgbm,morgan512,lightgbm,-0.9975050764157232,morgan512__lightgbm,-0.9975050764157232,0.0,0.0
lipo,regression,23,2,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.0346592464515685,maccs__lightgbm,-0.9367791538648913,0.09788009258667718,0.5733878141918648
lipo,regression,23,2,fingerprints_only,6,validation_best,maccs__lightgbm,maccs,lightgbm,-0.9367791538648913,maccs__lightgbm,-0.9367791538648913,0.0,0.0
lipo,regression,23,2,fingerprints_only,6,one_se_stable,maccs__lightgbm,maccs,lightgbm,-0.9367791538648913,maccs__lightgbm,-0.9367791538648913,0.0,0.0
lipo,regression,23,2,fingerprints_only,6,risk_adjusted,maccs__lightgbm,maccs,lightgbm,-0.9367791538648913,maccs__lightgbm,-0.9367791538648913,0.0,0.0
lipo,regression,23,2,fingerprints_only,6,test_oracle,maccs__lightgbm,maccs,lightgbm,-0.9367791538648913,maccs__lightgbm,-0.9367791538648913,0.0,0.0
lipo,regression,23,2,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-1.0346592464515685,rdkit2d__lightgbm,-0.740121270374736,0.2945379760768325,0.8017633057554607
lipo,regression,23,2,no_multiview_concat,9,validation_best,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.740121270374736,rdkit2d__lightgbm,-0.740121270374736,0.0,0.0
lipo,regression,23,2,no_multiview_concat,9,one_se_stable,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.740121270374736,rdkit2d__lightgbm,-0.740121270374736,0.0,0.0
lipo,regression,23,2,no_multiview_concat,9,risk_adjusted,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.740121270374736,rdkit2d__lightgbm,-0.740121270374736,0.0,0.0
lipo,regression,23,2,no_multiview_concat,9,test_oracle,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.740121270374736,rdkit2d__lightgbm,-0.740121270374736,0.0,0.0
lipo,regression,23,3,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-0.9445868065869243,multiview__lightgbm,-0.7029213398945534,0.24166546669237088,0.6389868385046598
lipo,regression,23,3,full_multiview,12,validation_best,multiview__lightgbm,multiview,lightgbm,-0.7029213398945534,multiview__lightgbm,-0.7029213398945534,0.0,0.0
lipo,regression,23,3,full_multiview,12,one_se_stable,multiview__lightgbm,multiview,lightgbm,-0.7029213398945534,multiview__lightgbm,-0.7029213398945534,0.0,0.0
lipo,regression,23,3,full_multiview,12,risk_adjusted,multiview__lightgbm,multiview,lightgbm,-0.7029213398945534,multiview__lightgbm,-0.7029213398945534,0.0,0.0
lipo,regression,23,3,full_multiview,12,test_oracle,multiview__lightgbm,multiview,lightgbm,-0.7029213398945534,multiview__lightgbm,-0.7029213398945534,0.0,0.0
