task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
lipo,regression,53,1,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-1.178862636462085,0.06420349993277341
lipo,regression,53,1,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-1.1264859426968339,0.05747160001192242
lipo,regression,53,1,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-1.1044686257060876,0.05927750002592802
lipo,regression,53,1,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.0601280489824179,0.13795470003969967
lipo,regression,53,1,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.9765380443837537,0.13824959995690733
lipo,regression,53,1,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.0267337376067982,0.13924719998613
lipo,regression,53,1,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.9834739136930768,0.14749870006926358
lipo,regression,53,1,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.9285135848305465,0.17460679996293038
lipo,regression,53,1,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.9871058511071237,0.15212509990669787
lipo,regression,53,1,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.048318849039218,0.020725700072944164
lipo,regression,53,1,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.008323162652774,0.01924139994662255
lipo,regression,53,1,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.0283685374181566,0.020501899998635054
lipo,regression,53,1,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.003514114931049,0.10851359996013343
lipo,regression,53,1,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.9323400442627146,0.10008700005710125
lipo,regression,53,1,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.9720480036045989,0.09718689997680485
lipo,regression,53,1,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.9453252578856605,0.06424479989800602
lipo,regression,53,1,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.9009753037799417,0.07169969996903092
lipo,regression,53,1,3,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.916657637863059,0.06782919995021075
lipo,regression,53,1,1,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-1.0375850715131345,0.031892200000584126
lipo,regression,53,1,2,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.9029093211969607,0.03408879996277392
lipo,regression,53,1,3,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.8383919059628939,0.03264320001471788
lipo,regression,53,1,1,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.8429649909518283,0.13411839993204921
lipo,regression,53,1,2,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.8059843047188922,0.1451799999922514
