task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
lipo,regression,53,1,scaffold_group,1,morgan512__linear,morgan512,linear,2800,1400,-1.1006515404902455,0.10690160002559423,,,1.1006515404902455
lipo,regression,53,1,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,2800,1400,-1.0524005880611675,0.18405370006803423,,,1.0524005880611675
lipo,regression,53,1,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,2800,1400,-0.9966039761485099,0.17897190002258867,,,0.9966039761485099
lipo,regression,53,1,scaffold_group,4,maccs__linear,maccs,linear,2800,1400,-0.9681807185466476,0.03164840000681579,,,0.9681807185466476
lipo,regression,53,1,scaffold_group,5,maccs__random_forest,maccs,random_forest,2800,1400,-0.9909176944859583,0.13197920005768538,,,0.9909176944859583
lipo,regression,53,1,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,2800,1400,-0.9231612223782253,0.085318100056611,,,0.9231612223782253
lipo,regression,53,1,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,2800,1400,-0.804983011603706,0.05275709996931255,,,0.804983011603706
lipo,regression,53,1,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,2800,1400,-0.83164478590404,0.1973926000064239,,,0.83164478590404
lipo,regression,53,1,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,2800,1400,-0.7782624957383262,0.24669079994782805,,,0.7782624957383262
lipo,regression,53,1,scaffold_group,10,multiview__linear,multiview,linear,2800,1400,-0.8268184013031437,0.26002340007107705,,,0.8268184013031437
lipo,regression,53,1,scaffold_group,11,multiview__random_forest,multiview,random_forest,2800,1400,-0.8428831400065209,0.32133489998523146,,,0.8428831400065209
lipo,regression,53,1,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,2800,1400,-0.7531590689681468,0.5937487999908626,,,0.7531590689681468
lipo,regression,53,2,scaffold_group,1,morgan512__linear,morgan512,linear,2800,1400,-1.1074840243976385,0.11796079995110631,,,1.1074840243976385
lipo,regression,53,2,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,2800,1400,-1.0347454475008622,0.1785138000268489,,,1.0347454475008622
lipo,regression,53,2,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,2800,1400,-0.9975050764157232,0.16953539999667555,,,0.9975050764157232
lipo,regression,53,2,scaffold_group,4,maccs__linear,maccs,linear,2800,1400,-1.0470719870808118,0.03048229997511953,,,1.0470719870808118
lipo,regression,53,2,scaffold_group,5,maccs__random_forest,maccs,random_forest,2800,1400,-0.9749467181432357,0.12252669990994036,,,0.9749467181432357
lipo,regression,53,2,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,2800,1400,-0.9367791538648913,0.08215389994438738,,,0.9367791538648913
lipo,regression,53,2,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,2800,1400,-0.8462949450462188,0.052643600036390126,,,0.8462949450462188
lipo,regression,53,2,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,2800,1400,-0.8175765278939319,0.2004559999331832,,,0.8175765278939319
lipo,regression,53,2,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,2800,1400,-0.740121270374736,0.24755009997170419,,,0.740121270374736
lipo,regression,53,2,scaffold_group,10,multiview__linear,multiview,linear,2800,1400,-0.8579392698574517,0.26600830000825226,,,0.8579392698574517
lipo,regression,53,2,scaffold_group,11,multiview__random_forest,multiview,random_forest,2800,1400,-0.8448821779112632,0.3115887000458315,,,0.8448821779112632
lipo,regression,53,2,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,2800,1400,-0.7341546186961053,0.5844085999997333,,,0.7341546186961053
lipo,regression,53,3,scaffold_group,1,morgan512__linear,morgan512,linear,2800,1400,-1.0811223483189367,0.11168069997802377,,,1.0811223483189367
lipo,regression,53,3,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,2800,1400,-0.9479454906672113,0.1711129000177607,,,0.9479454906672113
lipo,regression,53,3,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,2800,1400,-0.9165373829785123,0.18761369993444532,,,0.9165373829785123
lipo,regression,53,3,scaffold_group,4,maccs__linear,maccs,linear,2800,1400,-0.9948758321929386,0.03103499999269843,,,0.9948758321929386
lipo,regression,53,3,scaffold_group,5,maccs__random_forest,maccs,random_forest,2800,1400,-0.9094829265335067,0.12550700001884252,,,0.9094829265335067
lipo,regression,53,3,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,2800,1400,-0.8814617960646095,0.08577380003407598,,,0.8814617960646095
lipo,regression,53,3,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,2800,1400,-0.8986557051775557,0.05260930000804365,,,0.8986557051775557
lipo,regression,53,3,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,2800,1400,-0.7719814321605563,0.20192119991406798,,,0.7719814321605563
lipo,regression,53,3,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,2800,1400,-0.7100306849932568,0.23875710007268935,,,0.7100306849932568
lipo,regression,53,3,scaffold_group,10,multiview__linear,multiview,linear,2800,1400,-0.9360827044417248,0.23659520002547652,,,0.9360827044417248
lipo,regression,53,3,scaffold_group,11,multiview__random_forest,multiview,random_forest,2800,1400,-0.7836796374385165,0.3123446999816224,,,0.7836796374385165
lipo,regression,53,3,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,2800,1400,-0.7029213398945534,0.5771592000965029,,,0.7029213398945534
