task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
lipo,regression,71,1,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-1.178862636462085,0.06499980005901307
lipo,regression,71,1,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-1.1264859426968339,0.0615114999236539
lipo,regression,71,1,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-1.1044686257060876,0.06291470001451671
lipo,regression,71,1,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.0440747860169328,0.13742410007398576
lipo,regression,71,1,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.9732186818846551,0.1382458999287337
lipo,regression,71,1,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-1.0257509165443537,0.13349689997266978
lipo,regression,71,1,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.9834739136930768,0.1366080999141559
lipo,regression,71,1,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.9285135848305465,0.16390660009346902
lipo,regression,71,1,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.9871058511071237,0.15414599992800504
lipo,regression,71,1,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.048318849039218,0.01889499998651445
lipo,regression,71,1,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.008323162652774,0.019133799942210317
lipo,regression,71,1,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-1.0283685374181566,0.019791100057773292
lipo,regression,71,1,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-1.0018039185540575,0.10545510007068515
lipo,regression,71,1,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.9472714805117208,0.10252239997498691
lipo,regression,71,1,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.9964302496679898,0.09177359996829182
lipo,regression,71,1,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.9453252578856605,0.11399760004132986
lipo,regression,71,1,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.9009753037799417,0.0926260999403894
lipo,regression,71,1,3,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.916657637863059,0.07890149997547269
lipo,regression,71,1,1,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-1.0375850715131345,0.029944299953058362
lipo,regression,71,1,2,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.9029093211969607,0.03462639998178929
lipo,regression,71,1,3,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.8383919059628939,0.03309349995106459
lipo,regression,71,1,1,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.8504387226053265,0.14699080004356802
lipo,regression,71,1,2,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.8218043056308884,0.151248799986206
lipo,regression,71,1,3,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.8835828714006647,0.13661600009072572
lipo,regression,71,1,1,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.7600969820793101,0.20868809998501092
