task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
tdc_caco2_wang,regression,11,1,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-0.934437599938014,0.014675499987788498
tdc_caco2_wang,regression,11,1,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-0.943033916671779,0.012916799983941019
tdc_caco2_wang,regression,11,1,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-0.9983918612197691,0.012618100037798285
tdc_caco2_wang,regression,11,1,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.642858783570536,0.09173840004950762
tdc_caco2_wang,regression,11,1,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.6064494034556028,0.09377360006328672
tdc_caco2_wang,regression,11,1,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.5895425459870165,0.08424859994556755
tdc_caco2_wang,regression,11,1,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.5756788571377435,0.062475500046275556
tdc_caco2_wang,regression,11,1,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.5424738494267772,0.06038859998807311
tdc_caco2_wang,regression,11,1,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.5485818266362131,0.05842560005839914
tdc_caco2_wang,regression,11,1,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-0.6839049381859686,0.0054775000317022204
tdc_caco2_wang,regression,11,1,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-0.5367985191137339,0.004981699981726706
tdc_caco2_wang,regression,11,1,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-0.7802367243546648,0.004832700011320412
tdc_caco2_wang,regression,11,1,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.5515565682067424,0.10625820001587272
tdc_caco2_wang,regression,11,1,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.5159723148100218,0.08928289997857064
tdc_caco2_wang,regression,11,1,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.5656048180618654,0.08584569999948144
tdc_caco2_wang,regression,11,1,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.5541407338388744,0.040327099966816604
tdc_caco2_wang,regression,11,1,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.45248352338320025,0.05302989995107055
tdc_caco2_wang,regression,11,1,3,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.559375264048361,0.05343690002337098
tdc_caco2_wang,regression,11,1,1,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.5644829221632707,0.010161899961531162
