task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
tdc_caco2_wang,regression,11,1,scaffold_group,1,morgan512__linear,morgan512,linear,604,302,-1.2506871884640738,0.030584600055590272,,,1.2506871884640738
tdc_caco2_wang,regression,11,1,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,604,302,-0.6096798529488368,0.11937650002073497,,,0.6096798529488368
tdc_caco2_wang,regression,11,1,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,604,302,-0.5612774773019102,0.11043939995579422,,,0.5612774773019102
tdc_caco2_wang,regression,11,1,scaffold_group,4,maccs__linear,maccs,linear,604,302,-0.6306353612580736,0.007675200002267957,,,0.6306353612580736
tdc_caco2_wang,regression,11,1,scaffold_group,5,maccs__random_forest,maccs,random_forest,604,302,-0.5412176687160418,0.10952139995060861,,,0.5412176687160418
tdc_caco2_wang,regression,11,1,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,604,302,-0.5393960484836294,0.055490000057034194,,,0.5393960484836294
tdc_caco2_wang,regression,11,1,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,604,302,-0.5163999490947747,0.01742390007711947,,,0.5163999490947747
tdc_caco2_wang,regression,11,1,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,604,302,-0.4931020910401485,0.1226680000545457,,,0.4931020910401485
tdc_caco2_wang,regression,11,1,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,604,302,-0.46772034155605463,0.12652569997590035,,,0.46772034155605463
tdc_caco2_wang,regression,11,1,scaffold_group,10,multiview__linear,multiview,linear,604,302,-0.9111486118829004,0.05443550006020814,,,0.9111486118829004
tdc_caco2_wang,regression,11,1,scaffold_group,11,multiview__random_forest,multiview,random_forest,604,302,-0.49888776364370224,0.14088950003497303,,,0.49888776364370224
tdc_caco2_wang,regression,11,1,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,604,302,-0.47130941210199445,0.2647213999880478,,,0.47130941210199445
tdc_caco2_wang,regression,11,2,scaffold_group,1,morgan512__linear,morgan512,linear,604,302,-1.2511676794586277,0.027048800024203956,,,1.2511676794586277
tdc_caco2_wang,regression,11,2,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,604,302,-0.6522750230711593,0.11276249994989485,,,0.6522750230711593
tdc_caco2_wang,regression,11,2,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,604,302,-0.6629539451239785,0.07974730001296848,,,0.6629539451239785
tdc_caco2_wang,regression,11,2,scaffold_group,4,maccs__linear,maccs,linear,604,302,-0.5504234248714138,0.006779199931770563,,,0.5504234248714138
tdc_caco2_wang,regression,11,2,scaffold_group,5,maccs__random_forest,maccs,random_forest,604,302,-0.5485554661797988,0.11685019999276847,,,0.5485554661797988
tdc_caco2_wang,regression,11,2,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,604,302,-0.4875335289759525,0.04683340003248304,,,0.4875335289759525
tdc_caco2_wang,regression,11,2,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,604,302,-0.4599808321972826,0.01305449998471886,,,0.4599808321972826
tdc_caco2_wang,regression,11,2,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,604,302,-0.5232081589590243,0.11748170002829283,,,0.5232081589590243
tdc_caco2_wang,regression,11,2,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,604,302,-0.44064370654737195,0.12733659998048097,,,0.44064370654737195
tdc_caco2_wang,regression,11,2,scaffold_group,10,multiview__linear,multiview,linear,604,302,-0.9246798199949993,0.05312870000489056,,,0.9246798199949993
tdc_caco2_wang,regression,11,2,scaffold_group,11,multiview__random_forest,multiview,random_forest,604,302,-0.5008128524147335,0.13295080000534654,,,0.5008128524147335
tdc_caco2_wang,regression,11,2,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,604,302,-0.4401240882137068,0.23086570005398244,,,0.4401240882137068
tdc_caco2_wang,regression,11,3,scaffold_group,1,morgan512__linear,morgan512,linear,604,302,-1.3645124333845986,0.027110200026072562,,,1.3645124333845986
tdc_caco2_wang,regression,11,3,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,604,302,-0.5440055527092851,0.12085149995982647,,,0.5440055527092851
tdc_caco2_wang,regression,11,3,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,604,302,-0.5113633120227917,0.08335989993065596,,,0.5113633120227917
tdc_caco2_wang,regression,11,3,scaffold_group,4,maccs__linear,maccs,linear,604,302,-0.6332608273309398,0.007945199962705374,,,0.6332608273309398
tdc_caco2_wang,regression,11,3,scaffold_group,5,maccs__random_forest,maccs,random_forest,604,302,-0.4934517692305238,0.11500499991234392,,,0.4934517692305238
tdc_caco2_wang,regression,11,3,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,604,302,-0.5126211284942023,0.04540440009441227,,,0.5126211284942023
tdc_caco2_wang,regression,11,3,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,604,302,-0.5281048892671567,0.013753199949860573,,,0.5281048892671567
tdc_caco2_wang,regression,11,3,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,604,302,-0.46707135437781805,0.10780490003526211,,,0.46707135437781805
tdc_caco2_wang,regression,11,3,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,604,302,-0.5104325369859287,0.12023180001415312,,,0.5104325369859287
tdc_caco2_wang,regression,11,3,scaffold_group,10,multiview__linear,multiview,linear,604,302,-0.8007712877439642,0.05883869994431734,,,0.8007712877439642
tdc_caco2_wang,regression,11,3,scaffold_group,11,multiview__random_forest,multiview,random_forest,604,302,-0.45714919026480166,0.12700039998162538,,,0.45714919026480166
tdc_caco2_wang,regression,11,3,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,604,302,-0.4988237358398177,0.22820909996517003,,,0.4988237358398177
