task,task_type,seed,outer_fold,variant,candidate_count,policy,selected_candidate,selected_representation,selected_family,outer_utility,oracle_candidate,oracle_utility,raw_regret,normalized_regret
tdc_caco2_wang,regression,11,1,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-0.6096798529488368,rdkit2d__lightgbm,-0.46772034155605463,0.14195951139278212,0.18130973482898843
tdc_caco2_wang,regression,11,1,full_multiview,12,validation_best,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.46772034155605463,rdkit2d__lightgbm,-0.46772034155605463,0.0,0.0
tdc_caco2_wang,regression,11,1,full_multiview,12,one_se_stable,multiview__lightgbm,multiview,lightgbm,-0.47130941210199445,rdkit2d__lightgbm,-0.46772034155605463,0.003589070545939821,0.004583936804110246
tdc_caco2_wang,regression,11,1,full_multiview,12,risk_adjusted,multiview__lightgbm,multiview,lightgbm,-0.47130941210199445,rdkit2d__lightgbm,-0.46772034155605463,0.003589070545939821,0.004583936804110246
tdc_caco2_wang,regression,11,1,full_multiview,12,test_oracle,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.46772034155605463,rdkit2d__lightgbm,-0.46772034155605463,0.0,0.0
tdc_caco2_wang,regression,11,1,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-0.6096798529488368,morgan512__lightgbm,-0.5612774773019102,0.04840237564692651,0.07020843319037794
tdc_caco2_wang,regression,11,1,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,-0.5612774773019102,morgan512__lightgbm,-0.5612774773019102,0.0,0.0
tdc_caco2_wang,regression,11,1,morgan_only,3,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,-0.5612774773019102,morgan512__lightgbm,-0.5612774773019102,0.0,0.0
tdc_caco2_wang,regression,11,1,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,-0.5612774773019102,morgan512__lightgbm,-0.5612774773019102,0.0,0.0
tdc_caco2_wang,regression,11,1,morgan_only,3,test_oracle,morgan512__lightgbm,morgan512,lightgbm,-0.5612774773019102,morgan512__lightgbm,-0.5612774773019102,0.0,0.0
tdc_caco2_wang,regression,11,1,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-0.6096798529488368,maccs__lightgbm,-0.5393960484836294,0.07028380446520732,0.09881158433540961
tdc_caco2_wang,regression,11,1,fingerprints_only,6,validation_best,maccs__lightgbm,maccs,lightgbm,-0.5393960484836294,maccs__lightgbm,-0.5393960484836294,0.0,0.0
tdc_caco2_wang,regression,11,1,fingerprints_only,6,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,-0.5612774773019102,maccs__lightgbm,-0.5393960484836294,0.021881428818280813,0.030762971149735398
tdc_caco2_wang,regression,11,1,fingerprints_only,6,risk_adjusted,maccs__lightgbm,maccs,lightgbm,-0.5393960484836294,maccs__lightgbm,-0.5393960484836294,0.0,0.0
tdc_caco2_wang,regression,11,1,fingerprints_only,6,test_oracle,maccs__lightgbm,maccs,lightgbm,-0.5393960484836294,maccs__lightgbm,-0.5393960484836294,0.0,0.0
