task,task_type,seed,outer_fold,variant,candidate_count,oracle_validation_rank,top3_hit,chance_adjusted_hit,mrr,spearman
tdc_caco2_wang,regression,11,1,full_multiview,12,1,1.0,1.0,1.0,0.9440559440559443
tdc_caco2_wang,regression,11,1,morgan_only,3,1,1.0,0.0,1.0,1.0
tdc_caco2_wang,regression,11,1,fingerprints_only,6,1,1.0,1.0,1.0,1.0
tdc_caco2_wang,regression,11,1,no_multiview_concat,9,1,1.0,1.0,1.0,0.9
tdc_caco2_wang,regression,11,2,full_multiview,12,1,1.0,1.0,1.0,0.7622377622377624
tdc_caco2_wang,regression,11,2,morgan_only,3,2,1.0,0.0,0.5,0.5
tdc_caco2_wang,regression,11,2,fingerprints_only,6,2,1.0,1.0,0.5,0.7142857142857143
tdc_caco2_wang,regression,11,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.6
tdc_caco2_wang,regression,11,3,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.6993006993006995
tdc_caco2_wang,regression,11,3,morgan_only,3,1,1.0,0.0,1.0,1.0
tdc_caco2_wang,regression,11,3,fingerprints_only,6,2,1.0,1.0,0.5,0.8285714285714287
tdc_caco2_wang,regression,11,3,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.6833333333333333
