task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
tdc_caco2_wang,regression,23,1,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-0.934437599938014,0.016980299958959222
tdc_caco2_wang,regression,23,1,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-0.943033916671779,0.016163600026629865
tdc_caco2_wang,regression,23,1,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-0.9983918612197691,0.01505909999832511
tdc_caco2_wang,regression,23,1,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.6632307143138383,0.09299779997672886
tdc_caco2_wang,regression,23,1,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.6096403017931071,0.09357469994574785
tdc_caco2_wang,regression,23,1,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.5811877764816495,0.0928088000509888
tdc_caco2_wang,regression,23,1,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.5756788571377435,0.05693800002336502
tdc_caco2_wang,regression,23,1,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.5424738494267772,0.057946500019170344
tdc_caco2_wang,regression,23,1,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.5485818266362131,0.05634140002075583
tdc_caco2_wang,regression,23,1,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-0.6839049381859686,0.00523889996111393
tdc_caco2_wang,regression,23,1,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-0.5367985191137339,0.00514699995983392
tdc_caco2_wang,regression,23,1,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-0.7802367243546648,0.004990700050257146
tdc_caco2_wang,regression,23,1,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.5479272397674279,0.10894089995417744
tdc_caco2_wang,regression,23,1,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.4856636330502998,0.08735569997224957
tdc_caco2_wang,regression,23,1,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.5731972151005754,0.09080020000692457
tdc_caco2_wang,regression,23,1,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.5541407338388744,0.038005199981853366
tdc_caco2_wang,regression,23,1,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.45248352338320025,0.03248840000014752
tdc_caco2_wang,regression,23,1,3,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.559375264048361,0.03087670006789267
tdc_caco2_wang,regression,23,1,1,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.5644829221632707,0.007193600060418248
tdc_caco2_wang,regression,23,1,2,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.47857743162722743,0.006936999969184399
tdc_caco2_wang,regression,23,1,3,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.6593218859695367,0.00656929996330291
tdc_caco2_wang,regression,23,1,1,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.4993010039709891,0.10735379997640848
tdc_caco2_wang,regression,23,1,2,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.49861764125581715,0.08355129999108613
tdc_caco2_wang,regression,23,1,3,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.5303827227738938,0.08060460002161562
tdc_caco2_wang,regression,23,1,1,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.45449805347914396,0.07541699998546392
tdc_caco2_wang,regression,23,1,2,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.4661513720676159,0.07152460003271699
tdc_caco2_wang,regression,23,1,3,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.5034992840030296,0.06590040004812181
tdc_caco2_wang,regression,23,1,1,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-0.6150108993860254,0.032083600061014295
tdc_caco2_wang,regression,23,1,2,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-0.5520960262854094,0.03413639997597784
tdc_caco2_wang,regression,23,1,3,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-0.7381382947086405,0.03208519995678216
tdc_caco2_wang,regression,23,1,1,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-0.4866688623271236,0.08972540008835495
tdc_caco2_wang,regression,23,1,2,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-0.5005249767779827,0.09471299999859184
tdc_caco2_wang,regression,23,1,3,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-0.5089723591615543,0.09555349999573082
tdc_caco2_wang,regression,23,1,1,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-0.45497628985307137,0.13565379998181015
tdc_caco2_wang,regression,23,1,2,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-0.4731040034057702,0.15548040007706732
tdc_caco2_wang,regression,23,1,3,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-0.4966863355415335,0.14817319996654987
tdc_caco2_wang,regression,23,2,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-0.9555780767117494,0.01850550004746765
tdc_caco2_wang,regression,23,2,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-1.1212883822049728,0.01804879994597286
tdc_caco2_wang,regression,23,2,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-1.1057888903074826,0.014929300057701766
tdc_caco2_wang,regression,23,2,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.5449123937732666,0.10040699993260205
tdc_caco2_wang,regression,23,2,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.6011886747349485,0.08314630005043
tdc_caco2_wang,regression,23,2,3,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.6522376654041652,0.08308200002647936
tdc_caco2_wang,regression,23,2,1,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.5303626443036157,0.05412410001736134
tdc_caco2_wang,regression,23,2,2,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.569635159272781,0.060375799890607595
tdc_caco2_wang,regression,23,2,3,scaffold_group,scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,-0.6183106366657317,0.06757940002717078
tdc_caco2_wang,regression,23,2,1,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-0.6541481548109558,0.009647600003518164
tdc_caco2_wang,regression,23,2,2,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-0.5604185359505814,0.0077771000796929
tdc_caco2_wang,regression,23,2,3,scaffold_group,scaffold_group,4,maccs__linear,maccs,linear,-0.8436994807183987,0.005601700046099722
tdc_caco2_wang,regression,23,2,1,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.5360692680366199,0.10956949996761978
tdc_caco2_wang,regression,23,2,2,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.5437960809023707,0.09875170001760125
tdc_caco2_wang,regression,23,2,3,scaffold_group,scaffold_group,5,maccs__random_forest,maccs,random_forest,-0.5659803526139896,0.07734360010363162
tdc_caco2_wang,regression,23,2,1,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.5557900949068248,0.036689599975943565
tdc_caco2_wang,regression,23,2,2,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.5644634787788326,0.03853520005941391
tdc_caco2_wang,regression,23,2,3,scaffold_group,scaffold_group,6,maccs__lightgbm,maccs,lightgbm,-0.5621928588796298,0.03973640000913292
tdc_caco2_wang,regression,23,2,1,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.5689217091422837,0.00766440003644675
tdc_caco2_wang,regression,23,2,2,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.60151692100941,0.007254299940541387
tdc_caco2_wang,regression,23,2,3,scaffold_group,scaffold_group,7,rdkit2d__linear,rdkit2d,linear,-0.6787027848180992,0.0068011999828740954
tdc_caco2_wang,regression,23,2,1,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.4816411445460754,0.11069609993137419
tdc_caco2_wang,regression,23,2,2,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.5293383486425478,0.08891330007463694
tdc_caco2_wang,regression,23,2,3,scaffold_group,scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,-0.5338264700143547,0.08829749992582947
tdc_caco2_wang,regression,23,2,1,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.4497996005751769,0.07452469994314015
tdc_caco2_wang,regression,23,2,2,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.5287991007540479,0.07530829997267574
tdc_caco2_wang,regression,23,2,3,scaffold_group,scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.5452944955073643,0.066237400053069
tdc_caco2_wang,regression,23,2,1,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-0.6956322526736461,0.033406300004571676
tdc_caco2_wang,regression,23,2,2,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-0.7828175530097023,0.03309489996172488
tdc_caco2_wang,regression,23,2,3,scaffold_group,scaffold_group,10,multiview__linear,multiview,linear,-0.8231307401934866,0.03351069998461753
tdc_caco2_wang,regression,23,2,1,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-0.47507409614550733,0.10079219995532185
tdc_caco2_wang,regression,23,2,2,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-0.533778621529812,0.10430459992494434
tdc_caco2_wang,regression,23,2,3,scaffold_group,scaffold_group,11,multiview__random_forest,multiview,random_forest,-0.5264141359632298,0.10095140000339597
tdc_caco2_wang,regression,23,2,1,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-0.44679926984135077,0.1357884999597445
tdc_caco2_wang,regression,23,2,2,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-0.5314061708261998,0.1333103000652045
tdc_caco2_wang,regression,23,2,3,scaffold_group,scaffold_group,12,multiview__lightgbm,multiview,lightgbm,-0.5237189765939633,0.133814400061965
tdc_caco2_wang,regression,23,3,1,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-1.0675278547074187,0.016183100058697164
tdc_caco2_wang,regression,23,3,2,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-1.0190660341902864,0.016339799971319735
tdc_caco2_wang,regression,23,3,3,scaffold_group,scaffold_group,1,morgan512__linear,morgan512,linear,-0.9227764389958266,0.01612579997163266
tdc_caco2_wang,regression,23,3,1,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.6700148748284982,0.08978520007804036
tdc_caco2_wang,regression,23,3,2,scaffold_group,scaffold_group,2,morgan512__random_forest,morgan512,random_forest,-0.5682246127363353,0.09349499992094934
