task,task_type,seed,outer_fold,variant,candidate_count,policy,selected_candidate,selected_representation,selected_family,outer_utility,oracle_candidate,oracle_utility,raw_regret,normalized_regret
tdc_caco2_wang,regression,37,1,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-0.6129997247620528,rdkit2d__lightgbm,-0.46772034155605463,0.14527938320599815,0.18554985281907496
tdc_caco2_wang,regression,37,1,full_multiview,12,validation_best,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.46772034155605463,rdkit2d__lightgbm,-0.46772034155605463,0.0,0.0
tdc_caco2_wang,regression,37,1,full_multiview,12,one_se_stable,multiview__lightgbm,multiview,lightgbm,-0.47130941210199445,rdkit2d__lightgbm,-0.46772034155605463,0.003589070545939821,0.004583936804110246
tdc_caco2_wang,regression,37,1,full_multiview,12,risk_adjusted,multiview__lightgbm,multiview,lightgbm,-0.47130941210199445,rdkit2d__lightgbm,-0.46772034155605463,0.003589070545939821,0.004583936804110246
tdc_caco2_wang,regression,37,1,full_multiview,12,test_oracle,rdkit2d__lightgbm,rdkit2d,lightgbm,-0.46772034155605463,rdkit2d__lightgbm,-0.46772034155605463,0.0,0.0
tdc_caco2_wang,regression,37,1,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,-0.6129997247620528,morgan512__lightgbm,-0.5612774773019102,0.051722247460142534,0.07502396125658344
tdc_caco2_wang,regression,37,1,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,-0.5612774773019102,morgan512__lightgbm,-0.5612774773019102,0.0,0.0
tdc_caco2_wang,regression,37,1,morgan_only,3,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,-0.5612774773019102,morgan512__lightgbm,-0.5612774773019102,0.0,0.0
tdc_caco2_wang,regression,37,1,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,-0.5612774773019102,morgan512__lightgbm,-0.5612774773019102,0.0,0.0
tdc_caco2_wang,regression,37,1,morgan_only,3,test_oracle,morgan512__lightgbm,morgan512,lightgbm,-0.5612774773019102,morgan512__lightgbm,-0.5612774773019102,0.0,0.0
