task,task_type,seed,outer_fold,variant,candidate_count,policy,selected_candidate,selected_representation,selected_family,outer_utility,oracle_candidate,oracle_utility,raw_regret,normalized_regret
tdc_hia_hou,classification,11,1,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9114347898878286,rdkit2d__linear,0.9922986773815503,0.08086388749372175,0.780290791599354
tdc_hia_hou,classification,11,1,full_multiview,12,validation_best,multiview__linear,multiview,linear,0.9837602544784865,rdkit2d__linear,0.9922986773815503,0.008538422903063836,0.08239095315024281
tdc_hia_hou,classification,11,1,full_multiview,12,one_se_stable,multiview__lightgbm,multiview,lightgbm,0.9735476310061946,rdkit2d__linear,0.9922986773815503,0.01875104637535574,0.18093699515347308
tdc_hia_hou,classification,11,1,full_multiview,12,risk_adjusted,multiview__lightgbm,multiview,lightgbm,0.9735476310061946,rdkit2d__linear,0.9922986773815503,0.01875104637535574,0.18093699515347308
tdc_hia_hou,classification,11,1,full_multiview,12,test_oracle,rdkit2d__linear,rdkit2d,linear,0.9922986773815503,rdkit2d__linear,0.9922986773815503,0.0,0.0
tdc_hia_hou,classification,11,1,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9114347898878286,morgan512__random_forest,0.9114347898878286,0.0,0.0
tdc_hia_hou,classification,11,1,morgan_only,3,validation_best,morgan512__random_forest,morgan512,random_forest,0.9114347898878286,morgan512__random_forest,0.9114347898878286,0.0,0.0
tdc_hia_hou,classification,11,1,morgan_only,3,one_se_stable,morgan512__random_forest,morgan512,random_forest,0.9114347898878286,morgan512__random_forest,0.9114347898878286,0.0,0.0
tdc_hia_hou,classification,11,1,morgan_only,3,risk_adjusted,morgan512__random_forest,morgan512,random_forest,0.9114347898878286,morgan512__random_forest,0.9114347898878286,0.0,0.0
tdc_hia_hou,classification,11,1,morgan_only,3,test_oracle,morgan512__random_forest,morgan512,random_forest,0.9114347898878286,morgan512__random_forest,0.9114347898878286,0.0,0.0
tdc_hia_hou,classification,11,1,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9114347898878286,maccs__linear,0.9651766281600537,0.05374183827222512,0.7024070021881844
tdc_hia_hou,classification,11,1,fingerprints_only,6,validation_best,maccs__random_forest,maccs,random_forest,0.9616608069646744,maccs__linear,0.9651766281600537,0.0035158211953792984,0.045951859956237476
tdc_hia_hou,classification,11,1,fingerprints_only,6,one_se_stable,maccs__random_forest,maccs,random_forest,0.9616608069646744,maccs__linear,0.9651766281600537,0.0035158211953792984,0.045951859956237476
tdc_hia_hou,classification,11,1,fingerprints_only,6,risk_adjusted,maccs__random_forest,maccs,random_forest,0.9616608069646744,maccs__linear,0.9651766281600537,0.0035158211953792984,0.045951859956237476
tdc_hia_hou,classification,11,1,fingerprints_only,6,test_oracle,maccs__linear,maccs,linear,0.9651766281600537,maccs__linear,0.9651766281600537,0.0,0.0
tdc_hia_hou,classification,11,1,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9114347898878286,rdkit2d__linear,0.9922986773815503,0.08086388749372175,0.780290791599354
tdc_hia_hou,classification,11,1,no_multiview_concat,9,validation_best,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9680227691277414,rdkit2d__linear,0.9922986773815503,0.024275908253808876,0.2342487883683367
tdc_hia_hou,classification,11,1,no_multiview_concat,9,one_se_stable,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9680227691277414,rdkit2d__linear,0.9922986773815503,0.024275908253808876,0.2342487883683367
tdc_hia_hou,classification,11,1,no_multiview_concat,9,risk_adjusted,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9680227691277414,rdkit2d__linear,0.9922986773815503,0.024275908253808876,0.2342487883683367
tdc_hia_hou,classification,11,1,no_multiview_concat,9,test_oracle,rdkit2d__linear,rdkit2d,linear,0.9922986773815503,rdkit2d__linear,0.9922986773815503,0.0,0.0
tdc_hia_hou,classification,11,2,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9003726708074534,multiview__random_forest,0.9773913043478261,0.07701863354037264,0.8266666666666658
tdc_hia_hou,classification,11,2,full_multiview,12,validation_best,maccs__random_forest,maccs,random_forest,0.9664596273291924,multiview__random_forest,0.9773913043478261,0.010931677018633623,0.11733333333333414
tdc_hia_hou,classification,11,2,full_multiview,12,one_se_stable,rdkit2d__lightgbm,rdkit2d,lightgbm,0.972670807453416,multiview__random_forest,0.9773913043478261,0.004720496894410009,0.050666666666667394
tdc_hia_hou,classification,11,2,full_multiview,12,risk_adjusted,rdkit2d__lightgbm,rdkit2d,lightgbm,0.972670807453416,multiview__random_forest,0.9773913043478261,0.004720496894410009,0.050666666666667394
tdc_hia_hou,classification,11,2,full_multiview,12,test_oracle,multiview__random_forest,multiview,random_forest,0.9773913043478261,multiview__random_forest,0.9773913043478261,0.0,0.0
tdc_hia_hou,classification,11,2,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9003726708074534,morgan512__lightgbm,0.9428571428571428,0.042484472049689415,0.7245762711864393
tdc_hia_hou,classification,11,2,morgan_only,3,validation_best,morgan512__random_forest,morgan512,random_forest,0.9003726708074534,morgan512__lightgbm,0.9428571428571428,0.042484472049689415,0.7245762711864393
tdc_hia_hou,classification,11,2,morgan_only,3,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,0.9428571428571428,morgan512__lightgbm,0.9428571428571428,0.0,0.0
tdc_hia_hou,classification,11,2,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,0.9428571428571428,morgan512__lightgbm,0.9428571428571428,0.0,0.0
tdc_hia_hou,classification,11,2,morgan_only,3,test_oracle,morgan512__lightgbm,morgan512,lightgbm,0.9428571428571428,morgan512__lightgbm,0.9428571428571428,0.0,0.0
tdc_hia_hou,classification,11,2,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9003726708074534,maccs__lightgbm,0.9705590062111801,0.07018633540372665,0.8129496402877687
tdc_hia_hou,classification,11,2,fingerprints_only,6,validation_best,maccs__random_forest,maccs,random_forest,0.9664596273291924,maccs__lightgbm,0.9705590062111801,0.0040993788819876364,0.04748201438848987
tdc_hia_hou,classification,11,2,fingerprints_only,6,one_se_stable,maccs__linear,maccs,linear,0.9455900621118013,maccs__lightgbm,0.9705590062111801,0.024968944099378776,0.2892086330935238
tdc_hia_hou,classification,11,2,fingerprints_only,6,risk_adjusted,maccs__random_forest,maccs,random_forest,0.9664596273291924,maccs__lightgbm,0.9705590062111801,0.0040993788819876364,0.04748201438848987
tdc_hia_hou,classification,11,2,fingerprints_only,6,test_oracle,maccs__lightgbm,maccs,lightgbm,0.9705590062111801,maccs__lightgbm,0.9705590062111801,0.0,0.0
tdc_hia_hou,classification,11,2,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9003726708074534,rdkit2d__random_forest,0.9761490683229814,0.075776397515528,0.8243243243243236
tdc_hia_hou,classification,11,2,no_multiview_concat,9,validation_best,maccs__random_forest,maccs,random_forest,0.9664596273291924,rdkit2d__random_forest,0.9761490683229814,0.00968944099378899,0.10540540540540708
tdc_hia_hou,classification,11,2,no_multiview_concat,9,one_se_stable,rdkit2d__lightgbm,rdkit2d,lightgbm,0.972670807453416,rdkit2d__random_forest,0.9761490683229814,0.003478260869565375,0.03783783783783949
tdc_hia_hou,classification,11,2,no_multiview_concat,9,risk_adjusted,rdkit2d__lightgbm,rdkit2d,lightgbm,0.972670807453416,rdkit2d__random_forest,0.9761490683229814,0.003478260869565375,0.03783783783783949
tdc_hia_hou,classification,11,2,no_multiview_concat,9,test_oracle,rdkit2d__random_forest,rdkit2d,random_forest,0.9761490683229814,rdkit2d__random_forest,0.9761490683229814,0.0,0.0
tdc_hia_hou,classification,11,3,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9034810126582278,maccs__random_forest,0.9712025316455697,0.06772151898734191,0.5911602209944761
tdc_hia_hou,classification,11,3,full_multiview,12,validation_best,multiview__linear,multiview,linear,0.9477848101265823,maccs__random_forest,0.9712025316455697,0.023417721518987356,0.20441988950276246
tdc_hia_hou,classification,11,3,full_multiview,12,one_se_stable,multiview__linear,multiview,linear,0.9477848101265823,maccs__random_forest,0.9712025316455697,0.023417721518987356,0.20441988950276246
tdc_hia_hou,classification,11,3,full_multiview,12,risk_adjusted,multiview__linear,multiview,linear,0.9477848101265823,maccs__random_forest,0.9712025316455697,0.023417721518987356,0.20441988950276246
tdc_hia_hou,classification,11,3,full_multiview,12,test_oracle,maccs__random_forest,maccs,random_forest,0.9712025316455697,maccs__random_forest,0.9712025316455697,0.0,0.0
tdc_hia_hou,classification,11,3,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9034810126582278,morgan512__lightgbm,0.9373417721518988,0.033860759493671067,0.41960784313725663
tdc_hia_hou,classification,11,3,morgan_only,3,validation_best,morgan512__random_forest,morgan512,random_forest,0.9034810126582278,morgan512__lightgbm,0.9373417721518988,0.033860759493671067,0.41960784313725663
tdc_hia_hou,classification,11,3,morgan_only,3,one_se_stable,morgan512__linear,morgan512,linear,0.8566455696202532,morgan512__lightgbm,0.9373417721518988,0.08069620253164567,1.0
tdc_hia_hou,classification,11,3,morgan_only,3,risk_adjusted,morgan512__random_forest,morgan512,random_forest,0.9034810126582278,morgan512__lightgbm,0.9373417721518988,0.033860759493671067,0.41960784313725663
tdc_hia_hou,classification,11,3,morgan_only,3,test_oracle,morgan512__lightgbm,morgan512,lightgbm,0.9373417721518988,morgan512__lightgbm,0.9373417721518988,0.0,0.0
tdc_hia_hou,classification,11,3,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9034810126582278,maccs__random_forest,0.9712025316455697,0.06772151898734191,0.5911602209944761
tdc_hia_hou,classification,11,3,fingerprints_only,6,validation_best,maccs__random_forest,maccs,random_forest,0.9712025316455697,maccs__random_forest,0.9712025316455697,0.0,0.0
tdc_hia_hou,classification,11,3,fingerprints_only,6,one_se_stable,maccs__linear,maccs,linear,0.9348101265822786,maccs__random_forest,0.9712025316455697,0.03639240506329111,0.3176795580110493
tdc_hia_hou,classification,11,3,fingerprints_only,6,risk_adjusted,maccs__random_forest,maccs,random_forest,0.9712025316455697,maccs__random_forest,0.9712025316455697,0.0,0.0
tdc_hia_hou,classification,11,3,fingerprints_only,6,test_oracle,maccs__random_forest,maccs,random_forest,0.9712025316455697,maccs__random_forest,0.9712025316455697,0.0,0.0
tdc_hia_hou,classification,11,3,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9034810126582278,maccs__random_forest,0.9712025316455697,0.06772151898734191,0.5911602209944761
tdc_hia_hou,classification,11,3,no_multiview_concat,9,validation_best,rdkit2d__random_forest,rdkit2d,random_forest,0.9613924050632913,maccs__random_forest,0.9712025316455697,0.009810126582278422,0.08563535911602155
tdc_hia_hou,classification,11,3,no_multiview_concat,9,one_se_stable,rdkit2d__random_forest,rdkit2d,random_forest,0.9613924050632913,maccs__random_forest,0.9712025316455697,0.009810126582278422,0.08563535911602155
tdc_hia_hou,classification,11,3,no_multiview_concat,9,risk_adjusted,rdkit2d__random_forest,rdkit2d,random_forest,0.9613924050632913,maccs__random_forest,0.9712025316455697,0.009810126582278422,0.08563535911602155
tdc_hia_hou,classification,11,3,no_multiview_concat,9,test_oracle,maccs__random_forest,maccs,random_forest,0.9712025316455697,maccs__random_forest,0.9712025316455697,0.0,0.0
