task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
tdc_hia_hou,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7819602272727273,0.020087299984879792
tdc_hia_hou,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.9260752688172043,0.01655980001669377
tdc_hia_hou,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8781512605042017,0.017801000038161874
tdc_hia_hou,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8125,0.12399440002627671
tdc_hia_hou,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.9471326164874552,0.13096840004436672
tdc_hia_hou,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.9243697478991597,0.12912559998221695
tdc_hia_hou,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.7819602272727273,0.03902239992748946
tdc_hia_hou,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.9157706093189963,0.03286260005552322
tdc_hia_hou,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8961584633853542,0.03768629999831319
tdc_hia_hou,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8231534090909092,0.008875100058503449
tdc_hia_hou,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.9417562724014337,0.007540400023572147
tdc_hia_hou,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.9345738295318127,0.008478400064632297
tdc_hia_hou,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8465909090909091,0.141083599999547
tdc_hia_hou,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9856630824372761,0.12595180002972484
tdc_hia_hou,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.975390156062425,0.12644350004848093
tdc_hia_hou,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.8544034090909091,0.02683769993018359
tdc_hia_hou,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.9932795698924731,0.02454999997280538
tdc_hia_hou,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.9255702280912365,0.02718169998843223
tdc_hia_hou,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8927556818181819,0.011842899955809116
tdc_hia_hou,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.9780465949820789,0.009993999963626266
tdc_hia_hou,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.9843937575030012,0.01173429994378239
tdc_hia_hou,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.9431818181818181,0.14782740001101047
tdc_hia_hou,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.9395161290322581,0.12188240000978112
tdc_hia_hou,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.9831932773109243,0.1182738000061363
tdc_hia_hou,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9580965909090909,0.055224700015969574
