task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
tdc_hia_hou,classification,23,1,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,361,217,0.7594541910331385,0.03548889991361648,0.7594541910331385,0.9448250513739831,
tdc_hia_hou,classification,23,1,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,361,217,0.8282651072124756,0.14276580000296235,0.8282651072124756,0.9663378275515201,
tdc_hia_hou,classification,23,1,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,361,217,0.8500974658869397,0.04983999999240041,0.8500974658869397,0.9759286200384613,
tdc_hia_hou,classification,23,1,stratified_scaffold_group,4,maccs__linear,maccs,linear,361,217,0.980896686159844,0.013093200046569109,0.980896686159844,0.9973055364236029,
tdc_hia_hou,classification,23,1,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,361,217,0.9590643274853801,0.14655950001906604,0.9590643274853801,0.9936734542377783,
tdc_hia_hou,classification,23,1,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,361,217,0.9742690058479532,0.03637290000915527,0.9742690058479532,0.9962009388628059,
tdc_hia_hou,classification,23,1,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,361,217,0.9791423001949318,0.016890999977476895,0.9791423001949318,0.9970753845940832,
tdc_hia_hou,classification,23,1,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,361,217,0.9545808966861599,0.15424090006854385,0.9545808966861599,0.9933835346620585,
tdc_hia_hou,classification,23,1,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,361,217,0.9385964912280701,0.09263309999369085,0.9385964912280701,0.9876795243734687,
tdc_hia_hou,classification,23,1,stratified_scaffold_group,10,multiview__linear,multiview,linear,361,217,0.9555555555555556,0.08025619992986321,0.9555555555555556,0.9932665681172882,
tdc_hia_hou,classification,23,1,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,361,217,0.9495126705653022,0.13592540007084608,0.9495126705653022,0.9924464823957172,
tdc_hia_hou,classification,23,1,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,361,217,0.9454191033138402,0.11901600006967783,0.9454191033138402,0.9906777228420418,
tdc_hia_hou,classification,23,2,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,396,182,0.9053254437869823,0.03757769998628646,0.9053254437869823,0.9791358540487769,
tdc_hia_hou,classification,23,2,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,396,182,0.939595660749507,0.14698969991877675,0.939595660749507,0.9885544287434009,
tdc_hia_hou,classification,23,2,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,396,182,0.9203648915187377,0.057221499970182776,0.9203648915187377,0.9858571854901238,
tdc_hia_hou,classification,23,2,stratified_scaffold_group,4,maccs__linear,maccs,linear,396,182,0.9423076923076923,0.014104900066740811,0.9423076923076923,0.9886652729557236,
tdc_hia_hou,classification,23,2,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,396,182,0.9635108481262328,0.14250760001596063,0.9635108481262328,0.991516112944146,
tdc_hia_hou,classification,23,2,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,396,182,0.9711538461538461,0.03929490002337843,0.9711538461538461,0.9943693541822776,
tdc_hia_hou,classification,23,2,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,396,182,0.9526627218934911,0.019426399958319962,0.9526627218934911,0.9788231810613135,
tdc_hia_hou,classification,23,2,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,396,182,0.9778106508875739,0.14900719991419464,0.9778106508875739,0.9963147947495039,
tdc_hia_hou,classification,23,2,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,396,182,0.9696745562130177,0.0933788000838831,0.9696745562130177,0.9948702525766502,
tdc_hia_hou,classification,23,2,stratified_scaffold_group,10,multiview__linear,multiview,linear,396,182,0.9780571992110454,0.07433810003567487,0.9780571992110454,0.9962436632136693,
tdc_hia_hou,classification,23,2,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,396,182,0.9733727810650887,0.13599940005224198,0.9733727810650887,0.9954524027502711,
tdc_hia_hou,classification,23,2,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,396,182,0.9758382642998027,0.1704128000419587,0.9758382642998027,0.995959271707944,
tdc_hia_hou,classification,23,3,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,399,179,0.8646753246753247,0.042917000013403594,0.8646753246753247,0.9711313290541042,
tdc_hia_hou,classification,23,3,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,399,179,0.8844155844155844,0.14369479997549206,0.8844155844155844,0.9759983340356345,
tdc_hia_hou,classification,23,3,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,399,179,0.9077922077922078,0.06148519995622337,0.9077922077922078,0.9799927818574525,
tdc_hia_hou,classification,23,3,stratified_scaffold_group,4,maccs__linear,maccs,linear,399,179,0.9514285714285715,0.013081899960525334,0.9514285714285715,0.9915390737269323,
tdc_hia_hou,classification,23,3,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,399,179,0.9755844155844157,0.1506111000198871,0.9755844155844157,0.9958660248169535,
tdc_hia_hou,classification,23,3,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,399,179,0.9646753246753248,0.03637480002362281,0.9646753246753248,0.9931096520326435,
tdc_hia_hou,classification,23,3,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,399,179,0.9732467532467532,0.0191052999580279,0.9732467532467532,0.9954104922210751,
tdc_hia_hou,classification,23,3,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,399,179,0.9789610389610389,0.14317830000072718,0.9789610389610389,0.9965647223366222,
tdc_hia_hou,classification,23,3,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,399,179,0.9857142857142858,0.08521000004839152,0.9857142857142858,0.9976822612446723,
tdc_hia_hou,classification,23,3,stratified_scaffold_group,10,multiview__linear,multiview,linear,399,179,0.9742857142857143,0.07541609997861087,0.9742857142857143,0.9955187730979348,
tdc_hia_hou,classification,23,3,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,399,179,0.9846753246753247,0.14224580000154674,0.9846753246753247,0.9974994123583534,
tdc_hia_hou,classification,23,3,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,399,179,0.9844155844155844,0.1402535999659449,0.9844155844155844,0.9974403762889302,
