task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
tdc_hia_hou,classification,53,1,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,436,142,0.8297405918889296,0.046222600038163364,0.8297405918889296,0.9476510728840026,
tdc_hia_hou,classification,53,1,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,436,142,0.8618925831202046,0.15052160003688186,0.8618925831202046,0.9585446655246261,
tdc_hia_hou,classification,53,1,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,436,142,0.8739495798319328,0.05671709997113794,0.8739495798319328,0.970319392298274,
tdc_hia_hou,classification,53,1,stratified_scaffold_group,4,maccs__linear,maccs,linear,436,142,0.9265619291194739,0.014345700037665665,0.9265619291194739,0.9832910459013191,
tdc_hia_hou,classification,53,1,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,436,142,0.9042747533796127,0.1436515999957919,0.9042747533796127,0.9722128666124366,
tdc_hia_hou,classification,53,1,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,436,142,0.9196200219218122,0.05254850001074374,0.9196200219218122,0.9782475236687637,
tdc_hia_hou,classification,53,1,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,436,142,0.9313116550968215,0.020485699991695583,0.9313116550968215,0.9791376258871963,
tdc_hia_hou,classification,53,1,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,436,142,0.9539641943734016,0.14903079997748137,0.9539641943734016,0.9900358589872429,
tdc_hia_hou,classification,53,1,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,436,142,0.9433686518085496,0.10138090001419187,0.9433686518085496,0.9888209695638824,
tdc_hia_hou,classification,53,1,stratified_scaffold_group,10,multiview__linear,multiview,linear,436,142,0.948118377785897,0.093427799991332,0.948118377785897,0.9882337834122344,
tdc_hia_hou,classification,53,1,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,436,142,0.9455608330288637,0.13701819989364594,0.9455608330288637,0.9890638313204616,
tdc_hia_hou,classification,53,1,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,436,142,0.9356960175374498,0.17593900009524077,0.9356960175374498,0.9867465576751313,
