task,task_type,seed,outer_fold,variant,candidate_count,policy,selected_candidate,selected_representation,selected_family,outer_utility,oracle_candidate,oracle_utility,raw_regret,normalized_regret
tdc_hia_hou,classification,53,1,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8618925831202046,rdkit2d__random_forest,0.9539641943734016,0.09207161125319707,0.7411764705882363
tdc_hia_hou,classification,53,1,full_multiview,12,validation_best,multiview__random_forest,multiview,random_forest,0.9455608330288637,rdkit2d__random_forest,0.9539641943734016,0.008403361344537896,0.06764705882353006
tdc_hia_hou,classification,53,1,full_multiview,12,one_se_stable,rdkit2d__random_forest,rdkit2d,random_forest,0.9539641943734016,rdkit2d__random_forest,0.9539641943734016,0.0,0.0
tdc_hia_hou,classification,53,1,full_multiview,12,risk_adjusted,multiview__random_forest,multiview,random_forest,0.9455608330288637,rdkit2d__random_forest,0.9539641943734016,0.008403361344537896,0.06764705882353006
tdc_hia_hou,classification,53,1,full_multiview,12,test_oracle,rdkit2d__random_forest,rdkit2d,random_forest,0.9539641943734016,rdkit2d__random_forest,0.9539641943734016,0.0,0.0
tdc_hia_hou,classification,53,1,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8618925831202046,morgan512__lightgbm,0.8739495798319328,0.012056996711728218,0.2727272727272743
tdc_hia_hou,classification,53,1,morgan_only,3,validation_best,morgan512__random_forest,morgan512,random_forest,0.8618925831202046,morgan512__lightgbm,0.8739495798319328,0.012056996711728218,0.2727272727272743
tdc_hia_hou,classification,53,1,morgan_only,3,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,0.8739495798319328,morgan512__lightgbm,0.8739495798319328,0.0,0.0
tdc_hia_hou,classification,53,1,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,0.8739495798319328,morgan512__lightgbm,0.8739495798319328,0.0,0.0
tdc_hia_hou,classification,53,1,morgan_only,3,test_oracle,morgan512__lightgbm,morgan512,lightgbm,0.8739495798319328,morgan512__lightgbm,0.8739495798319328,0.0,0.0
tdc_hia_hou,classification,53,1,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8618925831202046,maccs__linear,0.9265619291194739,0.06466934599926932,0.6679245283018879
tdc_hia_hou,classification,53,1,fingerprints_only,6,validation_best,maccs__random_forest,maccs,random_forest,0.9042747533796127,maccs__linear,0.9265619291194739,0.022287175739861165,0.23018867924528325
tdc_hia_hou,classification,53,1,fingerprints_only,6,one_se_stable,maccs__random_forest,maccs,random_forest,0.9042747533796127,maccs__linear,0.9265619291194739,0.022287175739861165,0.23018867924528325
tdc_hia_hou,classification,53,1,fingerprints_only,6,risk_adjusted,maccs__random_forest,maccs,random_forest,0.9042747533796127,maccs__linear,0.9265619291194739,0.022287175739861165,0.23018867924528325
tdc_hia_hou,classification,53,1,fingerprints_only,6,test_oracle,maccs__linear,maccs,linear,0.9265619291194739,maccs__linear,0.9265619291194739,0.0,0.0
tdc_hia_hou,classification,53,1,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8618925831202046,rdkit2d__random_forest,0.9539641943734016,0.09207161125319707,0.7411764705882363
tdc_hia_hou,classification,53,1,no_multiview_concat,9,validation_best,rdkit2d__random_forest,rdkit2d,random_forest,0.9539641943734016,rdkit2d__random_forest,0.9539641943734016,0.0,0.0
tdc_hia_hou,classification,53,1,no_multiview_concat,9,one_se_stable,rdkit2d__random_forest,rdkit2d,random_forest,0.9539641943734016,rdkit2d__random_forest,0.9539641943734016,0.0,0.0
tdc_hia_hou,classification,53,1,no_multiview_concat,9,risk_adjusted,rdkit2d__random_forest,rdkit2d,random_forest,0.9539641943734016,rdkit2d__random_forest,0.9539641943734016,0.0,0.0
tdc_hia_hou,classification,53,1,no_multiview_concat,9,test_oracle,rdkit2d__random_forest,rdkit2d,random_forest,0.9539641943734016,rdkit2d__random_forest,0.9539641943734016,0.0,0.0
tdc_hia_hou,classification,53,2,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8085867620751341,rdkit2d__linear,0.9778175313059035,0.1692307692307694,0.6596931659693168
tdc_hia_hou,classification,53,2,full_multiview,12,validation_best,multiview__lightgbm,multiview,lightgbm,0.9379248658318426,rdkit2d__linear,0.9778175313059035,0.039892665474060895,0.15550906555090674
tdc_hia_hou,classification,53,2,full_multiview,12,one_se_stable,multiview__lightgbm,multiview,lightgbm,0.9379248658318426,rdkit2d__linear,0.9778175313059035,0.039892665474060895,0.15550906555090674
tdc_hia_hou,classification,53,2,full_multiview,12,risk_adjusted,multiview__lightgbm,multiview,lightgbm,0.9379248658318426,rdkit2d__linear,0.9778175313059035,0.039892665474060895,0.15550906555090674
