task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
tdc_hia_hou,classification,71,1,1,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8491902834008097,0.026695300010032952
tdc_hia_hou,classification,71,1,2,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.771682340647858,0.017067800043150783
tdc_hia_hou,classification,71,1,3,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7640336134453781,0.02415449998807162
tdc_hia_hou,classification,71,1,1,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.9180161943319837,0.1298788000131026
tdc_hia_hou,classification,71,1,2,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.7536572622779519,0.130150799988769
tdc_hia_hou,classification,71,1,3,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8739495798319328,0.12303790007717907
tdc_hia_hou,classification,71,1,1,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8967611336032388,0.04974940000101924
tdc_hia_hou,classification,71,1,2,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.7609717868338558,0.03247089998330921
tdc_hia_hou,classification,71,1,3,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8561344537815126,0.04484989994671196
tdc_hia_hou,classification,71,1,1,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.9817813765182186,0.01397610001731664
tdc_hia_hou,classification,71,1,2,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.9137931034482758,0.008652899996377528
tdc_hia_hou,classification,71,1,3,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.947563025210084,0.011016399948857725
tdc_hia_hou,classification,71,1,1,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9827935222672065,0.1436903999419883
tdc_hia_hou,classification,71,1,2,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9521943573667712,0.12344789993949234
tdc_hia_hou,classification,71,1,3,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9589915966386554,0.12774020002689213
tdc_hia_hou,classification,71,1,1,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.992914979757085,0.032944199978373945
tdc_hia_hou,classification,71,1,2,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.9472309299895506,0.02352339995559305
tdc_hia_hou,classification,71,1,3,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.9556302521008403,0.029918600106611848
tdc_hia_hou,classification,71,1,1,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.992914979757085,0.01654800004325807
tdc_hia_hou,classification,71,1,2,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.908307210031348,0.009872300084680319
tdc_hia_hou,classification,71,1,3,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.973109243697479,0.013426500023342669
tdc_hia_hou,classification,71,1,1,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.9605263157894737,0.14134160010144114
tdc_hia_hou,classification,71,1,2,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.955067920585162,0.12648650002665818
tdc_hia_hou,classification,71,1,3,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.9673949579831933,0.12288330006413162
tdc_hia_hou,classification,71,1,1,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9838056680161944,0.07047680008690804
tdc_hia_hou,classification,71,1,2,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9067398119122256,0.05109790002461523
tdc_hia_hou,classification,71,1,3,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9889075630252102,0.05982860003132373
tdc_hia_hou,classification,71,1,1,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.9686234817813765,0.06235189992003143
tdc_hia_hou,classification,71,1,2,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.9550679205851619,0.03958719992078841
tdc_hia_hou,classification,71,1,3,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.9549579831932773,0.04310850007459521
tdc_hia_hou,classification,71,1,1,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.964574898785425,0.14311100007034838
tdc_hia_hou,classification,71,1,2,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.9657784743991641,0.13069889997132123
tdc_hia_hou,classification,71,1,3,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.9754621848739495,0.130200200015679
tdc_hia_hou,classification,71,1,1,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.9817813765182186,0.12427689996547997
tdc_hia_hou,classification,71,1,2,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.9555903866248694,0.08532539999578148
tdc_hia_hou,classification,71,1,3,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.9872268907563025,0.09948500001337379
tdc_hia_hou,classification,71,2,1,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.9063829787234042,0.020011099986732006
tdc_hia_hou,classification,71,2,2,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8416289592760181,0.01579830003902316
tdc_hia_hou,classification,71,2,3,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.9292661361626879,0.016550100059248507
tdc_hia_hou,classification,71,2,1,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.9239361702127659,0.12884000001940876
tdc_hia_hou,classification,71,2,2,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8604826546003017,0.1369625999359414
tdc_hia_hou,classification,71,2,3,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.9177718832891246,0.12943030009046197
tdc_hia_hou,classification,71,2,1,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8441489361702128,0.029809199972078204
tdc_hia_hou,classification,71,2,2,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.823529411764706,0.029781199991703033
tdc_hia_hou,classification,71,2,3,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8691423519009726,0.034861400024965405
tdc_hia_hou,classification,71,2,1,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.9148936170212766,0.008387699956074357
tdc_hia_hou,classification,71,2,2,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.918552036199095,0.008570699952542782
tdc_hia_hou,classification,71,2,3,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.9575596816976127,0.007969000027514994
tdc_hia_hou,classification,71,2,1,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.948936170212766,0.13589589996263385
tdc_hia_hou,classification,71,2,2,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.947209653092006,0.13105809991247952
tdc_hia_hou,classification,71,2,3,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9292661361626879,0.12346579995937645
tdc_hia_hou,classification,71,2,1,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.8531914893617021,0.023302999907173216
tdc_hia_hou,classification,71,2,2,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.9581447963800904,0.025799899944104254
tdc_hia_hou,classification,71,2,3,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.9301503094606542,0.029325800016522408
tdc_hia_hou,classification,71,2,1,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.9824468085106384,0.010200100019574165
tdc_hia_hou,classification,71,2,2,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.9660633484162895,0.010080600040964782
tdc_hia_hou,classification,71,2,3,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.9849690539345712,0.009534599957987666
tdc_hia_hou,classification,71,2,1,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.9744680851063829,0.14465529995504767
tdc_hia_hou,classification,71,2,2,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.966817496229261,0.12699479993898422
tdc_hia_hou,classification,71,2,3,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.9938107869142352,0.12272410001605749
tdc_hia_hou,classification,71,2,1,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.971276595744681,0.09615799994207919
tdc_hia_hou,classification,71,2,2,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9796380090497738,0.05769249994773418
tdc_hia_hou,classification,71,2,3,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9946949602122016,0.05137070000637323
tdc_hia_hou,classification,71,2,1,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.9765957446808511,0.03913990000728518
tdc_hia_hou,classification,71,2,2,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.9622926093514329,0.03776470001321286
tdc_hia_hou,classification,71,2,3,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.9876215738284704,0.037749100010842085
