task,task_type,seed,outer_fold,variant,candidate_count,oracle_validation_rank,top3_hit,chance_adjusted_hit,mrr,spearman
tdc_hia_hou,classification,71,1,full_multiview,12,2,1.0,1.0,0.5,0.4825174825174825
tdc_hia_hou,classification,71,1,morgan_only,3,2,1.0,0.0,0.5,0.5
tdc_hia_hou,classification,71,1,fingerprints_only,6,3,1.0,1.0,0.3333333333333333,0.2571428571428572
tdc_hia_hou,classification,71,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.2833333333333333
tdc_hia_hou,classification,71,2,full_multiview,12,4,0.0,-0.3333333333333333,0.25,0.25874125874125875
tdc_hia_hou,classification,71,2,morgan_only,3,3,1.0,0.0,0.3333333333333333,-0.5
tdc_hia_hou,classification,71,2,fingerprints_only,6,3,1.0,1.0,0.3333333333333333,0.6
tdc_hia_hou,classification,71,2,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.4666666666666666
tdc_hia_hou,classification,71,3,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.5174825174825175
tdc_hia_hou,classification,71,3,morgan_only,3,3,1.0,0.0,0.3333333333333333,-1.0
tdc_hia_hou,classification,71,3,fingerprints_only,6,2,1.0,1.0,0.5,0.6
tdc_hia_hou,classification,71,3,no_multiview_concat,9,2,1.0,1.0,0.5,0.6
