task,task_type,seed,outer_fold,variant,candidate_count,oracle_validation_rank,top3_hit,chance_adjusted_hit,mrr,spearman
tdc_pgp_broccatelli,classification,11,1,full_multiview,12,2,1.0,1.0,0.5,0.9020979020979022
tdc_pgp_broccatelli,classification,11,1,morgan_only,3,1,1.0,0.0,1.0,1.0
tdc_pgp_broccatelli,classification,11,1,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
tdc_pgp_broccatelli,classification,11,1,no_multiview_concat,9,1,1.0,1.0,1.0,0.8833333333333333
tdc_pgp_broccatelli,classification,11,2,full_multiview,12,2,1.0,1.0,0.5,0.8251748251748254
tdc_pgp_broccatelli,classification,11,2,morgan_only,3,1,1.0,0.0,1.0,1.0
tdc_pgp_broccatelli,classification,11,2,fingerprints_only,6,1,1.0,1.0,1.0,0.5428571428571429
tdc_pgp_broccatelli,classification,11,2,no_multiview_concat,9,2,1.0,1.0,0.5,0.7166666666666667
tdc_pgp_broccatelli,classification,11,3,full_multiview,12,7,0.0,-0.3333333333333333,0.14285714285714285,0.49650349650349657
tdc_pgp_broccatelli,classification,11,3,morgan_only,3,1,1.0,0.0,1.0,1.0
tdc_pgp_broccatelli,classification,11,3,fingerprints_only,6,2,1.0,1.0,0.5,0.8857142857142858
tdc_pgp_broccatelli,classification,11,3,no_multiview_concat,9,4,0.0,-0.49999999999999994,0.25,0.48333333333333334
