task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
tdc_pgp_broccatelli,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8702050264550264,0.04489889997057617
tdc_pgp_broccatelli,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8166055111878552,0.04732219991274178
tdc_pgp_broccatelli,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.9020155826558265,0.046801900025457144
tdc_pgp_broccatelli,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.900518077601411,0.1591767999343574
tdc_pgp_broccatelli,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8461040362616017,0.1541802000720054
tdc_pgp_broccatelli,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.9268716124661247,0.1572838999563828
tdc_pgp_broccatelli,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.9045414462081128,0.067574999993667
tdc_pgp_broccatelli,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8279012878624362,0.09543560002930462
tdc_pgp_broccatelli,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.9017615176151762,0.08820349990855902
tdc_pgp_broccatelli,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8877865961199296,0.025838700006715953
tdc_pgp_broccatelli,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.7786891143247715,0.0234568000305444
tdc_pgp_broccatelli,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8923187669376693,0.019991799956187606
tdc_pgp_broccatelli,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9193121693121693,0.16073619993403554
tdc_pgp_broccatelli,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8345924167206273,0.13938309997320175
