task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
tdc_pgp_broccatelli,classification,71,1,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,864,348,0.8738167203640349,0.09762410004623234,0.8738167203640349,0.8928161424192765,
tdc_pgp_broccatelli,classification,71,1,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,864,348,0.9026472248978642,0.1670789000345394,0.9026472248978642,0.9177204378010337,
tdc_pgp_broccatelli,classification,71,1,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,864,348,0.8900920051815192,0.10436280001886189,0.8900920051815192,0.9111616775849337,
tdc_pgp_broccatelli,classification,71,1,stratified_scaffold_group,4,maccs__linear,maccs,linear,864,348,0.8637526156707742,0.0431070999475196,0.8637526156707742,0.873163747920988,
tdc_pgp_broccatelli,classification,71,1,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,864,348,0.8890291294383366,0.1690998999401927,0.8890291294383366,0.9159844278833077,
tdc_pgp_broccatelli,classification,71,1,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,864,348,0.8798618261533863,0.05526689998805523,0.8798618261533863,0.9104117845974224,
tdc_pgp_broccatelli,classification,71,1,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,864,348,0.9102534294350151,0.04999490000773221,0.9102534294350151,0.9292374936696324,
tdc_pgp_broccatelli,classification,71,1,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,864,348,0.9420068422625968,0.17203829996287823,0.9420068422625968,0.9522084033354022,
tdc_pgp_broccatelli,classification,71,1,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,864,348,0.9212143355365863,0.14710609999019653,0.9212143355365863,0.9375194896825213,
tdc_pgp_broccatelli,classification,71,1,stratified_scaffold_group,10,multiview__linear,multiview,linear,864,348,0.914671006742618,0.17707960004918277,0.914671006742618,0.9331393364894163,
tdc_pgp_broccatelli,classification,71,1,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,864,348,0.9419736273956223,0.18566580000333488,0.9419736273956223,0.9526504871949797,
tdc_pgp_broccatelli,classification,71,1,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,864,348,0.9332049025143654,0.2967483000829816,0.9332049025143654,0.9451007310498766,
tdc_pgp_broccatelli,classification,71,2,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,737,475,0.8854188910242722,0.07747719995677471,0.8854188910242722,0.9056384108102047,
tdc_pgp_broccatelli,classification,71,2,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,737,475,0.9135525660189336,0.16555219993460923,0.9135525660189336,0.928460763970134,
tdc_pgp_broccatelli,classification,71,2,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,737,475,0.8945120649156523,0.09389599994756281,0.8945120649156523,0.9084040897595705,
tdc_pgp_broccatelli,classification,71,2,stratified_scaffold_group,4,maccs__linear,maccs,linear,737,475,0.8032066339241226,0.02882930007763207,0.8032066339241226,0.825745321640164,
tdc_pgp_broccatelli,classification,71,2,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,737,475,0.8769129475407503,0.17213199997786433,0.8769129475407503,0.9076743243398223,
tdc_pgp_broccatelli,classification,71,2,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,737,475,0.8702754644458681,0.05101489997468889,0.8702754644458681,0.9053202852524087,
tdc_pgp_broccatelli,classification,71,2,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,737,475,0.8867001210050537,0.04163780005183071,0.8867001210050537,0.8818214241498061,
tdc_pgp_broccatelli,classification,71,2,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,737,475,0.9336429639120223,0.17146629991475493,0.9336429639120223,0.9417855692854983,
tdc_pgp_broccatelli,classification,71,2,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,737,475,0.924069328777849,0.13137890002690256,0.924069328777849,0.9337784331893904,
tdc_pgp_broccatelli,classification,71,2,stratified_scaffold_group,10,multiview__linear,multiview,linear,737,475,0.910171542458538,0.1482271000277251,0.910171542458538,0.9196399950473717,
tdc_pgp_broccatelli,classification,71,2,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,737,475,0.9306356324293543,0.19127499999012798,0.9306356324293543,0.9414922824300039,
tdc_pgp_broccatelli,classification,71,2,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,737,475,0.9301373763257171,0.2765512000769377,0.9301373763257171,0.9410082505632256,
tdc_pgp_broccatelli,classification,71,3,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,823,389,0.8682798555036123,0.09146220004186034,0.8682798555036123,0.8424906805902174,
tdc_pgp_broccatelli,classification,71,3,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,823,389,0.9256002974925628,0.1660710999276489,0.9256002974925628,0.9489571451234255,
tdc_pgp_broccatelli,classification,71,3,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,823,389,0.9100616234594135,0.10082779999356717,0.9100616234594135,0.9298922418259823,
tdc_pgp_broccatelli,classification,71,3,stratified_scaffold_group,4,maccs__linear,maccs,linear,823,389,0.836644708882278,0.03799869993235916,0.836644708882278,0.8400784093235087,
tdc_pgp_broccatelli,classification,71,3,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,823,389,0.9143912027199321,0.16459239996038377,0.9143912027199321,0.9369669147976156,
tdc_pgp_broccatelli,classification,71,3,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,823,389,0.895718232044199,0.051547199953347445,0.895718232044199,0.9191831448939871,
tdc_pgp_broccatelli,classification,71,3,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,823,389,0.9028102422439438,0.04752659995574504,0.9028102422439438,0.9136497564705633,
tdc_pgp_broccatelli,classification,71,3,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,823,389,0.9407405439864004,0.17386390001047403,0.9407405439864004,0.9572808209976952,
tdc_pgp_broccatelli,classification,71,3,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,823,389,0.9487622184445389,0.146011000033468,0.9487622184445389,0.959921460763631,
tdc_pgp_broccatelli,classification,71,3,stratified_scaffold_group,10,multiview__linear,multiview,linear,823,389,0.9027571185720357,0.16910040006041527,0.9027571185720357,0.8755353268444592,
tdc_pgp_broccatelli,classification,71,3,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,823,389,0.9378984275393115,0.20320549991447479,0.9378984275393115,0.9529400902563474,
tdc_pgp_broccatelli,classification,71,3,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,823,389,0.9517371440713982,0.3196585000259802,0.9517371440713982,0.9620082425568137,
