task,task_type,seed,outer_fold,variant,candidate_count,policy,selected_candidate,selected_representation,selected_family,outer_utility,oracle_candidate,oracle_utility,raw_regret,normalized_regret
tdc_pgp_broccatelli,classification,71,1,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9026472248978642,rdkit2d__random_forest,0.9420068422625968,0.03935961736473259,0.5029711375212237
tdc_pgp_broccatelli,classification,71,1,full_multiview,12,validation_best,rdkit2d__random_forest,rdkit2d,random_forest,0.9420068422625968,rdkit2d__random_forest,0.9420068422625968,0.0,0.0
tdc_pgp_broccatelli,classification,71,1,full_multiview,12,one_se_stable,rdkit2d__random_forest,rdkit2d,random_forest,0.9420068422625968,rdkit2d__random_forest,0.9420068422625968,0.0,0.0
tdc_pgp_broccatelli,classification,71,1,full_multiview,12,risk_adjusted,rdkit2d__random_forest,rdkit2d,random_forest,0.9420068422625968,rdkit2d__random_forest,0.9420068422625968,0.0,0.0
tdc_pgp_broccatelli,classification,71,1,full_multiview,12,test_oracle,rdkit2d__random_forest,rdkit2d,random_forest,0.9420068422625968,rdkit2d__random_forest,0.9420068422625968,0.0,0.0
tdc_pgp_broccatelli,classification,71,1,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.9026472248978642,morgan512__random_forest,0.9026472248978642,0.0,0.0
tdc_pgp_broccatelli,classification,71,1,morgan_only,3,validation_best,morgan512__random_forest,morgan512,random_forest,0.9026472248978642,morgan512__random_forest,0.9026472248978642,0.0,0.0
tdc_pgp_broccatelli,classification,71,1,morgan_only,3,one_se_stable,morgan512__random_forest,morgan512,random_forest,0.9026472248978642,morgan512__random_forest,0.9026472248978642,0.0,0.0
tdc_pgp_broccatelli,classification,71,1,morgan_only,3,risk_adjusted,morgan512__random_forest,morgan512,random_forest,0.9026472248978642,morgan512__random_forest,0.9026472248978642,0.0,0.0
tdc_pgp_broccatelli,classification,71,1,morgan_only,3,test_oracle,morgan512__random_forest,morgan512,random_forest,0.9026472248978642,morgan512__random_forest,0.9026472248978642,0.0,0.0
