endpoint,8_minus_4,metric,comparison,16_minus_4,32_minus_4
bace,0.06865988813626105,fixed_normalized_regret,K=8 vs K=4,,
bbbp,0.11122133758030787,fixed_normalized_regret,K=8 vs K=4,,
clintox,0.27867623063406877,fixed_normalized_regret,K=8 vs K=4,,
esol,0.11595819401426567,fixed_normalized_regret,K=8 vs K=4,,
freesolv,0.0468272189270821,fixed_normalized_regret,K=8 vs K=4,,
lipo,0.11655043216167,fixed_normalized_regret,K=8 vs K=4,,
tdc_caco2_wang,0.04779138048107121,fixed_normalized_regret,K=8 vs K=4,,
tdc_hia_hou,0.033291804871354934,fixed_normalized_regret,K=8 vs K=4,,
tdc_pgp_broccatelli,-0.07945476527566123,fixed_normalized_regret,K=8 vs K=4,,
bace,,fixed_normalized_regret,K=16 vs K=4,0.10217038869175539,
bbbp,,fixed_normalized_regret,K=16 vs K=4,0.12251384806276645,
clintox,,fixed_normalized_regret,K=16 vs K=4,0.24793722349969347,
esol,,fixed_normalized_regret,K=16 vs K=4,0.11663982772410166,
freesolv,,fixed_normalized_regret,K=16 vs K=4,0.0978357334406511,
lipo,,fixed_normalized_regret,K=16 vs K=4,0.029666199433180666,
tdc_caco2_wang,,fixed_normalized_regret,K=16 vs K=4,0.04652510416024816,
tdc_hia_hou,,fixed_normalized_regret,K=16 vs K=4,0.060040726255289646,
tdc_pgp_broccatelli,,fixed_normalized_regret,K=16 vs K=4,-0.015318560958319476,
bace,,fixed_normalized_regret,K=32 vs K=4,,0.11107208206467264
bbbp,,fixed_normalized_regret,K=32 vs K=4,,0.14953548998047744
clintox,,fixed_normalized_regret,K=32 vs K=4,,0.2653484800920318
esol,,fixed_normalized_regret,K=32 vs K=4,,0.15007289014020592
freesolv,,fixed_normalized_regret,K=32 vs K=4,,0.08945128837803072
lipo,,fixed_normalized_regret,K=32 vs K=4,,0.05858569062297599
tdc_caco2_wang,,fixed_normalized_regret,K=32 vs K=4,,0.06351292634624855
tdc_hia_hou,,fixed_normalized_regret,K=32 vs K=4,,0.21125607279565964
tdc_pgp_broccatelli,,fixed_normalized_regret,K=32 vs K=4,,-0.0008988493525513314
bace,-0.6400000000000001,chance_adjusted_hit,K=8 vs K=4,,
bbbp,-0.32000000000000006,chance_adjusted_hit,K=8 vs K=4,,
clintox,-0.5333333333333333,chance_adjusted_hit,K=8 vs K=4,,
esol,-0.21333333333333335,chance_adjusted_hit,K=8 vs K=4,,
freesolv,0.0,chance_adjusted_hit,K=8 vs K=4,,
lipo,0.0,chance_adjusted_hit,K=8 vs K=4,,
tdc_caco2_wang,-0.7466666666666667,chance_adjusted_hit,K=8 vs K=4,,
tdc_hia_hou,-1.0133333333333334,chance_adjusted_hit,K=8 vs K=4,,
tdc_pgp_broccatelli,0.4799999999999999,chance_adjusted_hit,K=8 vs K=4,,
bace,,chance_adjusted_hit,K=16 vs K=4,-0.7384615384615383,
bbbp,,chance_adjusted_hit,K=16 vs K=4,-0.6564102564102563,
clintox,,chance_adjusted_hit,K=16 vs K=4,-0.9846153846153844,
esol,,chance_adjusted_hit,K=16 vs K=4,-0.9025641025641025,
freesolv,,chance_adjusted_hit,K=16 vs K=4,-0.08205128205128204,
lipo,,chance_adjusted_hit,K=16 vs K=4,-0.16410256410256407,
tdc_caco2_wang,,chance_adjusted_hit,K=16 vs K=4,-0.5743589743589743,
tdc_hia_hou,,chance_adjusted_hit,K=16 vs K=4,-0.7999999999999999,
tdc_pgp_broccatelli,,chance_adjusted_hit,K=16 vs K=4,-0.02051282051282047,
bace,,chance_adjusted_hit,K=32 vs K=4,,-0.6620689655172414
bbbp,,chance_adjusted_hit,K=32 vs K=4,,-0.6620689655172414
clintox,,chance_adjusted_hit,K=32 vs K=4,,-0.9563218390804598
esol,,chance_adjusted_hit,K=32 vs K=4,,-0.6620689655172414
freesolv,,chance_adjusted_hit,K=32 vs K=4,,-0.7356321839080461
lipo,,chance_adjusted_hit,K=32 vs K=4,,-0.6620689655172414
tdc_caco2_wang,,chance_adjusted_hit,K=32 vs K=4,,-0.8091954022988506
tdc_hia_hou,,chance_adjusted_hit,K=32 vs K=4,,-0.6896551724137931
tdc_pgp_broccatelli,,chance_adjusted_hit,K=32 vs K=4,,0.06436781609195404
bace,-0.5277777777777778,mrr,K=8 vs K=4,,
bbbp,-0.49777777777777776,mrr,K=8 vs K=4,,
clintox,-0.3255555555555556,mrr,K=8 vs K=4,,
esol,-0.43333333333333335,mrr,K=8 vs K=4,,
freesolv,-0.03333333333333333,mrr,K=8 vs K=4,,
lipo,-0.26666666666666666,mrr,K=8 vs K=4,,
tdc_caco2_wang,-0.6511111111111112,mrr,K=8 vs K=4,,
