endpoint,repeat,repeat_seed,outer_fold,pool_size,signal_correlation,simulation_replicates,top3_hit,chance_adjusted_hit,mrr,fixed_normalized_regret
bace,1,11,1,4,0.0,500,0.77,0.08,0.5268333333333333,0.2889089083345287
bace,1,11,1,4,0.1,500,0.798,0.192,0.5598333333333333,0.2241204992110167
bace,1,11,1,4,0.25,500,0.818,0.272,0.5795,0.21204762587863968
bace,1,11,1,4,0.5,500,0.922,0.688,0.6601666666666667,0.1354525892985218
bace,1,11,1,4,0.75,500,0.982,0.928,0.7658333333333334,0.08555099698751922
bace,1,11,1,4,1.0,1,1.0,1.0,1.0,0.0
bace,1,11,1,8,0.0,500,0.388,0.020800000000000006,0.34882857142857143,0.3320146320470501
bace,1,11,1,8,0.1,500,0.422,0.0752,0.36269047619047623,0.30304117056376223
bace,1,11,1,8,0.25,500,0.518,0.2288,0.42147380952380953,0.20855487017644345
bace,1,11,1,8,0.5,500,0.596,0.3536,0.5000285714285714,0.14201979629895117
bace,1,11,1,8,0.75,500,0.736,0.5776,0.5704166666666668,0.09155243150193516
bace,1,11,1,8,1.0,1,1.0,1.0,1.0,0.0
bace,1,11,1,16,0.0,500,0.204,0.020307692307692273,0.2257183982683983,0.2722381293931983
bace,1,11,1,16,0.1,500,0.198,0.012923076923076893,0.21512634587634588,0.2459586859847918
bace,1,11,1,16,0.25,500,0.272,0.10399999999999997,0.26516698024198027,0.19255429637067634
bace,1,11,1,16,0.5,500,0.354,0.2049230769230769,0.3215304889554889,0.14464639219623943
bace,1,11,1,16,0.75,500,0.484,0.3649230769230769,0.4275200965700966,0.09980261081623683
bace,1,11,1,16,1.0,1,1.0,1.0,1.0,0.0
bace,1,11,1,32,0.0,500,0.082,-0.012965517241379306,0.12487580802654215,0.22761440252474274
bace,1,11,1,32,0.1,500,0.116,0.024551724137931035,0.14238202128161478,0.20801032850379889
bace,1,11,1,32,0.25,500,0.172,0.0863448275862069,0.1806105568794369,0.16369014488595354
bace,1,11,1,32,0.5,500,0.22,0.13931034482758622,0.2198027677448838,0.11825190073159984
bace,1,11,1,32,0.75,500,0.324,0.25406896551724134,0.29150509055623336,0.0837105149906733
bace,1,11,1,32,1.0,1,1.0,1.0,1.0,0.0
bace,1,11,2,4,0.0,500,0.72,-0.12,0.49266666666666664,0.216169123559369
bace,1,11,2,4,0.1,500,0.75,0.0,0.5361666666666667,0.2042109354060588
bace,1,11,2,4,0.25,500,0.826,0.304,0.5718333333333333,0.1430828196194061
bace,1,11,2,4,0.5,500,0.922,0.688,0.6268333333333334,0.05889439828464278
bace,1,11,2,4,0.75,500,0.976,0.904,0.6613333333333333,0.04241999463950735
bace,1,11,2,4,1.0,1,1.0,1.0,1.0,0.0
bace,1,11,2,8,0.0,500,0.364,-0.017599999999999998,0.3211452380952381,0.19115813454837774
bace,1,11,2,8,0.1,500,0.354,-0.03359999999999999,0.33276666666666666,0.15384722594478614
bace,1,11,2,8,0.25,500,0.442,0.1072,0.36858809523809527,0.11705601715357716
bace,1,11,2,8,0.5,500,0.484,0.17439999999999997,0.4141166666666667,0.08126963280621717
bace,1,11,2,8,0.75,500,0.588,0.3408,0.4752095238095238,0.0727327794157053
bace,1,11,2,8,1.0,1,1.0,1.0,1.0,0.0
bace,1,11,2,16,0.0,500,0.218,0.037538461538461514,0.2275267427017427,0.21882042347895964
bace,1,11,2,16,0.1,500,0.224,0.04492307692307689,0.23094073981573984,0.17988662556955182
bace,1,11,2,16,0.25,500,0.24,0.06461538461538459,0.24750361305361307,0.12109112838381066
bace,1,11,2,16,0.5,500,0.28,0.1138461538461538,0.2688260961260961,0.09934575180916576
bace,1,11,2,16,0.75,500,0.35,0.19999999999999996,0.32285967643467645,0.0682296971321354
bace,1,11,2,16,1.0,1,1.0,1.0,1.0,0.0
bace,1,11,2,32,0.0,500,0.076,-0.019586206896551717,0.11608165731517192,0.24080032162958998
bace,1,11,2,32,0.1,500,0.104,0.011310344827586213,0.1433725910442004,0.18371750201018489
bace,1,11,2,32,0.25,500,0.13,0.04,0.14840844030203232,0.16734896810506547
bace,1,11,2,32,0.5,500,0.2,0.11724137931034483,0.19971419287827882,0.10881131064057878
bace,1,11,2,32,0.75,500,0.276,0.2011034482758621,0.2509160338344495,0.07143714821763575
bace,1,11,2,32,1.0,1,1.0,1.0,1.0,0.0
bace,1,11,3,4,0.0,500,0.766,0.064,0.5405,0.18007276995305252
bace,1,11,3,4,0.1,500,0.794,0.176,0.5611666666666667,0.1644723004694844
bace,1,11,3,4,0.25,500,0.806,0.224,0.5591666666666666,0.1267314553990617
bace,1,11,3,4,0.5,500,0.902,0.608,0.6375,0.08607887323943714
bace,1,11,3,4,0.75,500,0.986,0.944,0.6871666666666667,0.06426384976525865
bace,1,11,3,4,1.0,1,1.0,1.0,1.0,0.0
bace,1,11,3,8,0.0,500,0.366,-0.014400000000000001,0.31447380952380954,0.242997183098591
bace,1,11,3,8,0.1,500,0.408,0.0528,0.3739476190476191,0.1914011737089197
bace,1,11,3,8,0.25,500,0.466,0.14560000000000003,0.4039333333333333,0.16420422535211207
bace,1,11,3,8,0.5,500,0.596,0.3536,0.4784285714285714,0.10826267605633742
bace,1,11,3,8,0.75,500,0.68,0.48800000000000004,0.5580119047619048,0.07005140845070368
bace,1,11,3,8,1.0,1,1.0,1.0,1.0,0.0
bace,1,11,3,16,0.0,500,0.166,-0.02646153846153849,0.2007723387723388,0.32181830985915516
bace,1,11,3,16,0.1,500,0.238,0.062153846153846115,0.24530537240537242,0.27612394366197207
bace,1,11,3,16,0.25,500,0.28,0.1138461538461538,0.2696134337884338,0.215155868544601
bace,1,11,3,16,0.5,500,0.416,0.28123076923076923,0.35163355255855255,0.15024225352112677
bace,1,11,3,16,0.75,500,0.498,0.3821538461538461,0.41896694971694964,0.10414272300469479
bace,1,11,3,16,1.0,1,1.0,1.0,1.0,0.0
bace,1,11,3,32,0.0,500,0.106,0.013517241379310352,0.13210993946022373,0.31926455399061
bace,1,11,3,32,0.1,500,0.112,0.020137931034482765,0.14654646090046702,0.2744765258215959
bace,1,11,3,32,0.25,500,0.158,0.07089655172413793,0.17486624233775985,0.20743098591549256
bace,1,11,3,32,0.5,500,0.248,0.17020689655172414,0.23135506306523798,0.15803450704225314
bace,1,11,3,32,0.75,500,0.31,0.23862068965517236,0.2949880483639699,0.09853497652582119
bace,1,11,3,32,1.0,1,1.0,1.0,1.0,0.0
bace,2,23,1,4,0.0,500,0.716,-0.136,0.521,0.24997423664122087
bace,2,23,1,4,0.1,500,0.792,0.168,0.5643333333333332,0.2148234732824422
bace,2,23,1,4,0.25,500,0.852,0.408,0.5946666666666668,0.1715267175572513
bace,2,23,1,4,0.5,500,0.916,0.664,0.6583333333333332,0.10841603053435044
bace,2,23,1,4,0.75,500,0.982,0.928,0.7278333333333333,0.07674332061068637
bace,2,23,1,4,1.0,1,1.0,1.0,1.0,0.0
bace,2,23,1,8,0.0,500,0.38,0.008000000000000007,0.3587714285714286,0.32471851145038083
bace,2,23,1,8,0.1,500,0.466,0.1456,0.3777309523809524,0.29552480916030455
bace,2,23,1,8,0.25,500,0.496,0.1936,0.41526428571428575,0.23870324427480835
bace,2,23,1,8,0.5,500,0.618,0.38880000000000003,0.4705214285714286,0.17157156488549533
bace,2,23,1,8,0.75,500,0.76,0.616,0.5690404761904763,0.11311545801526643
bace,2,23,1,8,1.0,1,1.0,1.0,1.0,0.0
bace,2,23,1,16,0.0,500,0.188,0.000615384615384583,0.20245356865356864,0.30766555343511365
bace,2,23,1,16,0.1,500,0.248,0.07446153846153843,0.25007124264624264,0.2681154580152663
bace,2,23,1,16,0.25,500,0.286,0.1212307692307692,0.28200350482850484,0.22054961832060987
bace,2,23,1,16,0.5,500,0.438,0.3083076923076923,0.3636796009546009,0.15886927480915966
bace,2,23,1,16,0.75,500,0.53,0.42153846153846153,0.44738457653457653,0.11710782442748029
bace,2,23,1,16,1.0,1,1.0,1.0,1.0,0.0
bace,2,23,1,32,0.0,500,0.108,0.015724137931034488,0.14035943954368615,0.30482633587786184
bace,2,23,1,32,0.1,500,0.136,0.04662068965517242,0.15390514033340913,0.28630916030534276
bace,2,23,1,32,0.25,500,0.184,0.09958620689655172,0.196686021370947,0.23791173664122062
bace,2,23,1,32,0.5,500,0.31,0.23862068965517239,0.2920572149255268,0.183464694656488
bace,2,23,1,32,0.75,500,0.452,0.39531034482758615,0.41509376836063416,0.13259541984732778
bace,2,23,1,32,1.0,1,1.0,1.0,1.0,0.0
bace,2,23,2,4,0.0,500,0.776,0.104,0.5196666666666666,0.26021855752036605
bace,2,23,2,4,0.1,500,0.792,0.168,0.545,0.236778064772502
bace,2,23,2,4,0.25,500,0.84,0.36,0.5926666666666667,0.18066520961653137
bace,2,23,2,4,0.5,500,0.918,0.672,0.6571666666666668,0.1235477846214986
bace,2,23,2,4,0.75,500,0.992,0.968,0.784,0.07290443075700409
bace,2,23,2,4,1.0,1,1.0,1.0,1.0,0.0
bace,2,23,2,8,0.0,500,0.39,0.024,0.3551333333333333,0.33697052784952636
