task,task_type,seed,outer_fold,candidate_count,selected_candidate,selected_utility,fixed_reference_utility,observed_audit_best_utility,observed_audit_best_gain,selected_model_gain,incremental_observed_audit_gap,realization_ratio
bbbp,classification,11,1,4,logreg_l2_c0.1,0.8548464596164767,0.8548464596164767,0.8548464596164767,0.0,0.0,0.0,
bbbp,classification,11,1,8,rf_120_d20_leaf2,0.8624120910321933,0.8548464596164767,0.8682260953129778,0.013379635696501135,0.007565631415716645,0.0058140042807844905,0.5654587006203098
bbbp,classification,11,1,16,et_120_d20_leaf2,0.8616170881928973,0.8548464596164767,0.8704276416371817,0.01558118202070502,0.006770628576420634,0.008810553444284386,0.4345388281468953
bbbp,classification,11,1,32,et_120_d20_leaf2,0.8616170881928973,0.8548464596164767,0.8704276416371817,0.01558118202070502,0.006770628576420634,0.008810553444284386,0.4345388281468953
bbbp,classification,11,2,4,logreg_l2_c0.1,0.8377146265604363,0.8377146265604363,0.8377146265604363,0.0,0.0,0.0,
bbbp,classification,11,2,8,rf_90_d12,0.8606649340320679,0.8377146265604363,0.8799227415392044,0.042208114978768085,0.022950307471631626,0.01925780750713646,0.5437415881561235
bbbp,classification,11,2,16,et_120_d20_leaf2,0.884992828028915,0.8377146265604363,0.884992828028915,0.04727820146847872,0.04727820146847872,0.0,1.0
bbbp,classification,11,2,32,et_120_d20_leaf2,0.884992828028915,0.8377146265604363,0.884992828028915,0.04727820146847872,0.04727820146847872,0.0,1.0
bbbp,classification,11,3,4,logreg_l2_c0.1,0.9041490587783328,0.9041490587783328,0.9041490587783328,0.0,0.0,0.0,
bbbp,classification,11,3,8,rf_90_leaf2,0.9169744968822956,0.9041490587783328,0.916989272732646,0.012840213954313118,0.01282543810396275,1.4775850350368103e-05,0.9988492520137949
bbbp,classification,11,3,16,et_120_d20_leaf2,0.9187919264753688,0.9041490587783328,0.9210821832796476,0.01693312450131479,0.014642867697035933,0.0022902568042788563,0.8647469458987899
bbbp,classification,11,3,32,et_120_d20_leaf2,0.9187919264753688,0.9041490587783328,0.9210821832796476,0.01693312450131479,0.014642867697035933,0.0022902568042788563,0.8647469458987899
bace,classification,11,1,4,logreg_l2_c0.1,0.8688849527665317,0.8688849527665317,0.8688849527665317,0.0,0.0,0.0,
bace,classification,11,1,8,rf_90_d12,0.8828188259109311,0.8688849527665317,0.8852058029689607,0.016320850202429016,0.013933873144399422,0.0023869770580295935,0.8537467700258445
bace,classification,11,1,16,et_90_leaf2,0.8791919703103914,0.8688849527665317,0.8852058029689607,0.016320850202429016,0.010307017543859764,0.006013832658569251,0.6315245478036298
bace,classification,11,1,32,et_90_leaf2,0.8791919703103914,0.8688849527665317,0.8852058029689607,0.016320850202429016,0.010307017543859764,0.006013832658569251,0.6315245478036298
bace,classification,11,2,4,logreg_l2_c0.1,0.8768985855211651,0.8768985855211651,0.8768985855211651,0.0,0.0,0.0,
bace,classification,11,2,8,rf_90_d12,0.8820267237329714,0.8768985855211651,0.8820267237329714,0.0051281382118063545,0.0051281382118063545,0.0,1.0
bace,classification,11,2,16,et_90_leaf2,0.8808523409363745,0.8768985855211651,0.8820267237329714,0.0051281382118063545,0.003953755415209481,0.0011743827965968734,0.770992366412214
bace,classification,11,2,32,et_90_leaf2,0.8808523409363745,0.8768985855211651,0.8820267237329714,0.0051281382118063545,0.003953755415209481,0.0011743827965968734,0.770992366412214
bace,classification,11,3,4,logreg_l2_c0.1,0.8605955937266617,0.8605955937266617,0.8605955937266617,0.0,0.0,0.0,
bace,classification,11,3,8,rf_90_d12,0.8658793876026885,0.8605955937266617,0.8769324122479462,0.016336818521284435,0.005283793876026732,0.011053024645257703,0.3234285714285641
bace,classification,11,3,16,rf_90_d12,0.8658793876026885,0.8605955937266617,0.8889749813293503,0.028379387602688544,0.005283793876026732,0.02309559372666181,0.18618421052631057
bace,classification,11,3,32,rf_90_d12,0.8658793876026885,0.8605955937266617,0.8908047050037341,0.030209111277072376,0.005283793876026732,0.024925317401045644,0.17490729295425983
clintox,classification,11,1,4,logreg_l2_c0.1,0.7975940900469202,0.7975940900469202,0.7975940900469202,0.0,0.0,0.0,
clintox,classification,11,1,8,rf_120_d20_leaf2,0.8437156833383248,0.7975940900469202,0.8437156833383248,0.04612159329140464,0.04612159329140464,0.0,1.0
clintox,classification,11,1,16,et_90_d12,0.8317360487171807,0.7975940900469202,0.8596885294998502,0.06209443945293003,0.034141958670260486,0.027952480782669542,0.5498392282958187
clintox,classification,11,1,32,xgb_100_d3,0.8428172107417391,0.7975940900469202,0.8596885294998502,0.06209443945293003,0.04522312069481893,0.016871318758111098,0.7282958199356931
clintox,classification,11,2,4,logreg_l1_c1,0.8120673272702593,0.8037192887199675,0.8120673272702593,0.00834803855029187,0.00834803855029187,0.0,1.0
clintox,classification,11,2,8,rf_90_leaf2,0.7651689968779694,0.8037192887199675,0.8120673272702593,0.00834803855029187,-0.0385502918419981,0.046898330392289966,-4.617886178861773
clintox,classification,11,2,16,rf_90_leaf2,0.7651689968779694,0.8037192887199675,0.81437491516221,0.010655626442242494,-0.0385502918419981,0.04920591828424059,-3.6178343949044374
clintox,classification,11,2,32,rf_90_leaf2,0.7651689968779694,0.8037192887199675,0.831240667843084,0.027521379123116585,-0.0385502918419981,0.06607167096511468,-1.4007398273736136
clintox,classification,11,3,4,logreg_l2_c0.1,0.8125708616780045,0.8125708616780045,0.8125708616780045,0.0,0.0,0.0,
clintox,classification,11,3,8,rf_120_d20_leaf2,0.8726969954648526,0.8125708616780045,0.8726969954648526,0.06012613378684806,0.06012613378684806,0.0,1.0
clintox,classification,11,3,16,rf_120_d20_leaf2,0.8726969954648526,0.8125708616780045,0.8726969954648526,0.06012613378684806,0.06012613378684806,0.0,1.0
clintox,classification,11,3,32,lgbm_100_leaf30,0.8667446145124718,0.8125708616780045,0.8765235260770975,0.06395266439909297,0.05417375283446724,0.009778911564625736,0.8470914127423841
esol,regression,11,1,4,ridge_a10,-1.5358168920779205,-2.3151014252127267,-1.5358168920779205,0.7792845331348062,0.7792845331348062,0.0,1.0
esol,regression,11,1,8,rf_60_sqrt,-1.7412940714084448,-2.3151014252127267,-1.5358168920779205,0.7792845331348062,0.5738073538042818,0.20547717933052434,0.7363258596908667
esol,regression,11,1,16,histgb_lr0.1,-1.7093423289853782,-2.3151014252127267,-1.5358168920779205,0.7792845331348062,0.6057590962273485,0.1735254369074577,0.7773272411689967
esol,regression,11,1,32,histgb_lr0.1,-1.7093423289853782,-2.3151014252127267,-1.5358168920779205,0.7792845331348062,0.6057590962273485,0.1735254369074577,0.7773272411689967
esol,regression,11,2,4,ridge_a10,-1.83137317308683,-2.4390717984277,-1.83137317308683,0.6076986253408703,0.6076986253408703,0.0,1.0
esol,regression,11,2,8,ridge_a10,-1.83137317308683,-2.4390717984277,-1.8236294111089333,0.6154423873187669,0.6076986253408703,0.007743761977896613,0.987417568016995
esol,regression,11,2,16,ridge_a10,-1.83137317308683,-2.4390717984277,-1.8106415373924232,0.628430261035277,0.6076986253408703,0.020731635694406725,0.9670104433541227
esol,regression,11,2,32,ridge_a10,-1.83137317308683,-2.4390717984277,-1.776396085361342,0.6626757130663581,0.6076986253408703,0.054977087725487817,0.9170377204996758
esol,regression,11,3,4,ridge_a10,-1.4193838819025708,-3.0284888720263163,-1.4193838819025708,1.6091049901237455,1.6091049901237455,0.0,1.0
esol,regression,11,3,8,ridge_a10,-1.4193838819025708,-3.0284888720263163,-1.357445875431646,1.6710429965946703,1.6091049901237455,0.061938006470924734,0.9629345225723426
esol,regression,11,3,16,ridge_a10,-1.4193838819025708,-3.0284888720263163,-1.357445875431646,1.6710429965946703,1.6091049901237455,0.061938006470924734,0.9629345225723426
esol,regression,11,3,32,ridge_a10,-1.4193838819025708,-3.0284888720263163,-1.357445875431646,1.6710429965946703,1.6091049901237455,0.061938006470924734,0.9629345225723426
freesolv,regression,11,1,4,ridge_a10,-2.142184631112406,-3.9350218080667823,-2.142184631112406,1.792837176954376,1.792837176954376,0.0,1.0
freesolv,regression,11,1,8,ridge_a10,-2.142184631112406,-3.9350218080667823,-2.142184631112406,1.792837176954376,1.792837176954376,0.0,1.0
freesolv,regression,11,1,16,et_60_sqrt,-2.307538014220119,-3.9350218080667823,-2.142184631112406,1.792837176954376,1.6274837938466633,0.16535338310771275,0.9077699942676274
freesolv,regression,11,1,32,lgbm_100_leaf10,-2.441862008253627,-3.9350218080667823,-2.142184631112406,1.792837176954376,1.4931597998131552,0.2996773771412209,0.8328474102426274
freesolv,regression,11,2,4,ridge_a10,-3.3027744625345217,-3.882297716175693,-3.089549378101031,0.792748338074662,0.5795232536411712,0.21322508443349086,0.7310305500591172
freesolv,regression,11,2,8,ridge_a10,-3.3027744625345217,-3.882297716175693,-3.089549378101031,0.792748338074662,0.5795232536411712,0.21322508443349086,0.7310305500591172
freesolv,regression,11,2,16,ridge_a10,-3.3027744625345217,-3.882297716175693,-3.0817261504118063,0.8005715657638866,0.5795232536411712,0.22104831212271536,0.7238868808539356
