task,task_type,candidate_count,transformation,reference_label,n_outer_units,n_columns_after_transform,bootstrap_replicates,split_replication_status,empirical_entropy_rank,ledoit_wolf_entropy_rank,bootstrap_median_entropy_rank,bootstrap_ci95_low_entropy_rank,bootstrap_ci95_high_entropy_rank,mc_1000_entropy_rank_median,mc_1000_entropy_rank_ci_low,mc_1000_entropy_rank_ci_high,mc_2000_entropy_rank_median,mc_2000_entropy_rank_ci_low,mc_2000_entropy_rank_ci_high,mc_3000_entropy_rank_median,mc_3000_entropy_rank_ci_low,mc_3000_entropy_rank_ci_high,mc_4000_entropy_rank_median,mc_4000_entropy_rank_ci_low,mc_4000_entropy_rank_ci_high,mc_5000_entropy_rank_median,mc_5000_entropy_rank_ci_low,mc_5000_entropy_rank_ci_high,empirical_participation_rank,ledoit_wolf_participation_rank,bootstrap_median_participation_rank,bootstrap_ci95_low_participation_rank,bootstrap_ci95_high_participation_rank,mc_1000_participation_rank_median,mc_1000_participation_rank_ci_low,mc_1000_participation_rank_ci_high,mc_2000_participation_rank_median,mc_2000_participation_rank_ci_low,mc_2000_participation_rank_ci_high,mc_3000_participation_rank_median,mc_3000_participation_rank_ci_low,mc_3000_participation_rank_ci_high,mc_4000_participation_rank_median,mc_4000_participation_rank_ci_low,mc_4000_participation_rank_ci_high,mc_5000_participation_rank_median,mc_5000_participation_rank_ci_low,mc_5000_participation_rank_ci_high,empirical_median_correlation,ledoit_wolf_median_correlation,bootstrap_median_median_correlation,bootstrap_ci95_low_median_correlation,bootstrap_ci95_high_median_correlation,mc_1000_median_correlation_median,mc_1000_median_correlation_ci_low,mc_1000_median_correlation_ci_high,mc_2000_median_correlation_median,mc_2000_median_correlation_ci_low,mc_2000_median_correlation_ci_high,mc_3000_median_correlation_median,mc_3000_median_correlation_ci_low,mc_3000_median_correlation_ci_high,mc_4000_median_correlation_median,mc_4000_median_correlation_ci_low,mc_4000_median_correlation_ci_high,mc_5000_median_correlation_median,mc_5000_median_correlation_ci_low,mc_5000_median_correlation_ci_high
bace,classification,32,fixed_reference_relative,candidate_1,15,31,5000,five distinct seeded scaffold partitions,4.584900952740684,9.877838327550483,7.873529207460699,3.5830893000451005,16.49963939319712,7.97516825552127,3.6594677403105362,16.016840804767273,7.844602760786415,3.592394926524122,16.022467363703274,7.908142168417696,3.6241307514469896,16.39085548701386,7.882622991154589,3.594751801414803,16.459057709681137,7.873529207460699,3.5830893000451005,16.49963939319712,2.674246124388792,4.296775091713534,3.745797868724314,1.9485725361900619,9.130362134844303,3.8031191009940053,1.9407896131388573,8.861286161450353,3.736371560546803,1.9512317914744954,8.904562837305933,3.7643845331119974,1.951256508460607,8.987061001253371,3.762690411485866,1.9487316861518071,9.024896415606516,3.745797868724314,1.9485725361900619,9.130362134844303,0.5962288590027097,0.4567026041830046,0.4691793326924398,0.12579341228530272,0.7483361801569252,0.45807767374072383,0.13114074072513096,0.7451070930845768,0.4705801832920502,0.1359037955423607,0.745097461394315,0.46760227614990524,0.13114074072513096,0.7464364562379803,0.46837937317738276,0.12650947756880096,0.7475511648482541,0.4691793326924398,0.12579341228530272,0.7483361801569252
bace,classification,32,fixed_reference_relative,predefined_linear_baseline,15,31,5000,five distinct seeded scaffold partitions,2.89867124455826,5.141314564381572,4.5170527921741765,2.413438024537354,10.373091451348781,4.4537560957371225,2.5413691384313175,9.729608986088039,4.5126143888083305,2.4985900156839054,10.285872617848058,4.496842334409017,2.4669627805030987,10.30055623425071,4.512213085136159,2.4494789744923304,10.27584851600212,4.5170527921741765,2.413438024537354,10.373091451348781,1.7274118580788504,2.263026280913395,2.167003856562098,1.4704224584556695,4.79611823722705,2.139072708410935,1.4969916730084665,4.630691918770464,2.154848714702057,1.4908251238553947,4.713196497638663,2.1551823051394567,1.484854119205059,4.747239245602307,2.1608894967301993,1.478510304707367,4.726440585382079,2.167003856562098,1.4704224584556695,4.79611823722705,0.7908815691825736,0.6846278447816248,0.7006673874732015,0.3791954663552883,0.8685657423478687,0.7056443773649236,0.3766605824148652,0.8585561325871248,0.7027435151258837,0.3839367009776277,0.8632449944719199,0.7023688181728835,0.37763088748762164,0.8661516198027797,0.7012386366251008,0.377164054151013,0.8676866005905555,0.7006673874732015,0.3791954663552883,0.8685657423478687
bace,classification,32,fixed_reference_relative,fixed_morgan_rf,15,31,5000,five distinct seeded scaffold partitions,5.223908887376465,13.084819479334778,9.88984715414307,4.291277427248356,19.14240914042538,9.88363362524138,4.112334545837388,19.561437340379346,9.93674485053127,4.227429671514313,19.300423512998215,9.866877450423502,4.207376040020816,19.142409140425393,9.866170006397201,4.227429671514313,19.219667664434855,9.88984715414307,4.291277427248356,19.14240914042538,3.0783852575319877,5.932642438924925,4.773900819269429,2.2702748004298963,11.23255185380196,4.804804021179051,2.2215723090595936,11.580405932924466,4.8068339835003,2.256474919986061,11.34998947170857,4.774979390616027,2.256474919986061,11.167360493483487,4.779715513671753,2.2520908938755326,11.292711471633488,4.773900819269429,2.2702748004298963,11.23255185380196,0.5190730406859897,0.3542826497572935,0.3848342526373896,0.12475206186720135,0.6692472392576649,0.3803161436733453,0.12618635691070784,0.6784909381127002,0.38372707530738603,0.12286532387918574,0.6692472392576652,0.3857857202244488,0.12475206186720135,0.6698170391271504,0.38496308820685976,0.12374200457852522,0.6724154794668036,0.3848342526373896,0.12475206186720135,0.6692472392576649
bace,classification,32,fixed_reference_relative,registry_median_candidate,15,31,5000,five distinct seeded scaffold partitions,3.802300998770298,7.450959532204143,6.242511898125023,3.1803233548106333,11.87705559726351,6.2366804845831325,3.230221658261831,12.388484582461802,6.235754828693599,3.248621834619411,12.208768100597618,6.2370554038096255,3.1778983493674953,11.991040200152794,6.236667579125099,3.1793304671206797,11.877055597263523,6.242511898125023,3.1803233548106333,11.87705559726351,2.199253023453175,3.1733593714276367,2.9230179325681824,1.7874516591128988,5.614449916801623,2.9133174958161443,1.7987126770163444,5.675982729928201,2.914979650764814,1.800311336767769,5.675982729928196,2.916688234994976,1.7874516591128988,5.6757427486538115,2.916013126440116,1.7874516591128988,5.675309350157098,2.9230179325681824,1.7874516591128988,5.614449916801623,0.6691716471542003,0.547575509115711,0.5743001605413013,0.354158407974095,0.7744696819358743,0.5750688960307853,0.35288853572475753,0.7671497660594294,0.574624226584102,0.3537470157043944,0.7689976128595475,0.5753604922045866,0.35408968872997904,0.7730599422220749,0.5752207431639248,0.35408968872997904,0.7735349783462256,0.5743001605413013,0.354158407974095,0.7744696819358743
bbbp,classification,32,fixed_reference_relative,candidate_1,15,31,5000,five distinct seeded scaffold partitions,3.262210140702649,5.859049310489724,4.974818666933189,2.6952722868243524,9.953198947366628,4.930370549241658,2.6548452608253985,9.587528054711159,5.004950348601557,2.67973608765663,9.900612461046952,4.984466774897783,2.6743296521772852,9.89859694965124,4.969342848757639,2.6691242897762,9.881165405644362,4.974818666933189,2.6952722868243524,9.953198947366628,1.9377488950819357,2.584403737388821,2.3843319888621264,1.5950616963919617,4.597989775091301,2.372925328279325,1.5770849891005359,4.3895401412442645,2.388399800538913,1.5887813986366812,4.546478988635552,2.3830200438081617,1.59029798704794,4.58842457712219,2.3794145515751737,1.5865048115811007,4.58842457712219,2.3843319888621264,1.5950616963919617,4.597989775091301,0.741780985600801,0.6351232726607914,0.6569785641479126,0.39918862544035855,0.8327366137984629,0.6607807709229794,0.4172249897903173,0.8354772239077511,0.655923217873654,0.4070034406330104,0.8334427613828842,0.6573897377169664,0.4064453262701498,0.8332613109661542,0.6574650679483138,0.40573578944300953,0.8345135793597328,0.6569785641479126,0.39918862544035855,0.8327366137984629
bbbp,classification,32,fixed_reference_relative,predefined_linear_baseline,15,31,5000,five distinct seeded scaffold partitions,2.710969963238879,6.084809320847414,5.183102139547273,2.458841910229136,11.236789748447075,5.1715728246988055,2.4839764605333934,10.607874035495618,5.168796717509525,2.479907918415996,10.797274940397,5.1737889585942884,2.458657983009379,10.877811531830536,5.191592892390586,2.458841910229136,11.247774649315515,5.183102139547273,2.458841910229136,11.236789748447075,1.6543171188507568,2.4926973742932734,2.3555146802835116,1.4521642011824418,4.85283890067816,2.350131643239943,1.4660102277039213,4.601286026406067,2.335755575060137,1.4616364209247548,4.7335145768070115,2.3454049588499677,1.4579995416775249,4.755729025577436,2.363501144968393,1.4557966110541718,4.811217424140266,2.3555146802835116,1.4521642011824418,4.85283890067816,0.7973039800562832,0.6401835182118415,0.659950765179772,0.4064228308114674,0.8587714443673716,0.6627511737676268,0.41576783572109155,0.858640541432913,0.6626395346116072,0.4100249715038158,0.8569954297918848,0.6617994733449668,0.4100249715038158,0.8587714443673717,0.6592187660196092,0.4087799785312519,0.8579669684504176,0.659950765179772,0.4064228308114674,0.8587714443673716
bbbp,classification,32,fixed_reference_relative,fixed_morgan_rf,15,31,5000,five distinct seeded scaffold partitions,4.080969287469717,7.983025632938043,6.723901417640459,3.3437333295487393,12.040554774413126,6.739405870596567,3.4036419934042588,12.108460496710395,6.7585852151044294,3.380501656749053,12.096363965790779,6.760673711051699,3.335789225712042,12.1149962142562,6.744969935087633,3.315565105276074,12.06746512141762,6.723901417640459,3.3437333295487393,12.040554774413126,2.3744153674254997,3.45566780998332,3.20592500689722,1.8141479501421036,5.916802160923405,3.2170470932309065,1.8225113354175932,5.920764338123147,3.2313551654318102,1.8225113354175932,5.920764338123136,3.2298280218096096,1.8170630968556414,5.971177596432682,3.216499736954761,1.8051512752138528,5.934486638993985,3.20592500689722,1.8141479501421036,5.916802160923405,0.6208333507184558,0.5048081215628809,0.5308532622843212,0.29541295387875705,0.754569995302837,0.5299272954516059,0.29878480863759727,0.7545235696932447,0.529783479453423,0.29335183547007293,0.7527056110143169,0.5299409334676215,0.291210897309593,0.7545235696932447,0.530547518403865,0.29247792596669525,0.7551458543016917,0.5308532622843212,0.29541295387875705,0.754569995302837
bbbp,classification,32,fixed_reference_relative,registry_median_candidate,15,31,5000,five distinct seeded scaffold partitions,4.007020836876793,9.380890385007445,7.176275411276178,3.397959862877585,13.02097915146467,7.0599449633901585,3.290965753096538,13.09503463092795,7.196087747474078,3.2915507504716612,13.190234290456022,7.161880227195072,3.313166681427246,13.098759012090161,7.177328495985086,3.3769874383504974,13.093988866032404,7.176275411276178,3.397959862877585,13.02097915146467,2.299091462360445,3.8613763058618815,3.332226915256411,1.838527406911102,6.436601634055731,3.2681220544630136,1.7635457970888657,6.440238678899009,3.345482249100341,1.7931530336182164,6.518501424492506,3.32747204345859,1.8285013977463238,6.442974723237756,3.33586269247248,1.8470074015897204,6.520225593995436,3.332226915256411,1.838527406911102,6.436601634055731,0.6301785892928301,0.47284281213701634,0.5195632900747023,0.2666777603551226,0.7558686267660333,0.5269177365575464,0.2678453849974176,0.7626100514167526,0.5158314229288242,0.25960534237299343,0.7613460260418392,0.5191689913345447,0.26329868817651597,0.7576637802461049,0.5191689913345447,0.26390868092302905,0.7551174654241918,0.5195632900747023,0.2666777603551226,0.7558686267660333
clintox,classification,32,fixed_reference_relative,candidate_1,15,31,5000,five distinct seeded scaffold partitions,4.5752343645018145,9.144893513783133,7.49304330445626,3.338958026520646,14.943484019401065,7.501997994084933,3.3725561667505772,14.665278116729946,7.494410551742247,3.387445847650278,14.904202883237625,7.464503259372003,3.3754040404594825,15.04071430447832,7.479165608219754,3.348936648691751,15.040518470790081,7.49304330445626,3.338958026520646,14.943484019401065,2.540618102934584,3.8640704332051925,3.4778274123908233,1.8274600837957553,7.937193802117646,3.493746490491697,1.8408195679824697,7.903970287559074,3.491891819203593,1.8356896707204449,8.025057350995617,3.45617200522497,1.8411377887917548,8.025057350995619,3.4648063161555083,1.8388526007425745,7.959223859138414,3.4778274123908233,1.8274600837957553,7.937193802117646,0.6016484508771122,0.47637569991735923,0.4949714474174599,0.20117934824181588,0.7587932163415297,0.498348920654264,0.2068702958387892,0.7570604837981825,0.49569187414305604,0.19987050270382303,0.7555998992379118,0.4986285659190479,0.19842033909115672,0.7555998992379122,0.4963849715257094,0.20045338054140044,0.7587932163415297,0.4949714474174599,0.20117934824181588,0.7587932163415297
clintox,classification,32,fixed_reference_relative,predefined_linear_baseline,15,31,5000,five distinct seeded scaffold partitions,3.1933238290076584,5.858215199061326,5.222669333927417,2.3775735565943847,13.183021658151775,5.20680565488315,2.3505776352795924,13.880146584481244,5.281542190511921,2.3376376851271754,13.879306179975211,5.24301216866667,2.3373955579471355,13.231380311537574,5.216160483483738,2.3591592189579202,13.37035842751427,5.222669333927417,2.3775735565943847,13.183021658151775,1.8276829144672158,2.478161005341339,2.3984234844877426,1.4405432180250726,6.69820248064408,2.402864651862904,1.4431923590387759,7.2316965491857825,2.4219724540546705,1.4369626893704524,7.2304002963433,2.4060284116506754,1.4360694406463526,6.839080523694337,2.392018158872401,1.4369626893704524,6.838738920917097,2.3984234844877426,1.4405432180250726,6.69820248064408,0.7496085841492464,0.6365368007550937,0.6480648083557253,0.27972223598888474,0.8574557897611303,0.6470567620806551,0.27374303164588093,0.8575943772484448,0.6457852834407825,0.27511861496550577,0.8600444550040102,0.6475282001814671,0.275774922540621,0.8600444550040103,0.6494153734383383,0.275774922540621,0.858569750070515,0.6480648083557253,0.27972223598888474,0.8574557897611303
